job_title,job_country,job_city,job_category,job_responsibility,job_available
0,HY6-赛事平台产品经理,中国,深圳,产品,"1、与团队合作规划和完善大众化赛事体系规则，负责赛事在平台内、游戏内的运营，不断提升参赛和观赛用户规模，促进赛事用户在平台内的增长；
2、对接游戏研发与运营团队，承接大众化赛事平台建设需求，推动并落地赛事工具系统的迭代优化；
3、负责平台自办赛事的策划运营，对接供应商，保证赛事用户的参赛体验和观赛体验；
4、推进公司内外合作，承接内外部与赛事平台的办赛需求，提升赛事场次规模和赛事平台影响力。
",True
1,CSIG16-室内位置服务产品经理,中国,北京,产品,"负责室内地图导航产品的功能设计和策略设计，对室内导航的体验负责；
负责室内场景的检索优化、底图优化；
洞察行业需求和用户，从整体上对室内位置服务产品能力的构建进行规划，提出产品优化迭代方向，把我迭代节奏，对结果负责。",True
2,CSIG16-腾讯地图行业中心产品经理,中国,北京,产品,"负责腾讯地图行业合作构建和项目交付，为腾讯地图行业业务的市场占有率和商业收入负责；
基于行业业界标准、最佳实践、发展趋势以及实际客户、用户需求，充分利用腾讯地图、LBS位置服务及腾讯生态优势等能力，提供行业应用解决方案和产品服务；
负责腾讯地图行业合作项目从售前到交付的全过程管理和控制，包括市场分析、客户咨询与拓展、客户和用户需求挖掘、产品设计、实施开发和持续优化升级等。对解决方案进行成本分析和报价，为商务谈判提供充分的支持；
对外管理客户预期和需求，对客户满意度负责，并推动合作伙伴生态建设，构建共赢合作模式。对内建立跨部门以及外部渠道间的合作机制，与销售侧合力推动项目签单，配合销售完成包括售前、立项、预算、设计、交付等项目生命周期的管理；
带领交付团队完成总体方案设计并推动项目落地。形成完整的交付流程，实现地图能力在行业项目中的实际落地，打造行业标杆。",True
3,CSIG15-智能平台知识图谱产品经理,中国,深圳,产品,"负责部门对话机器人、开放平台、知识图谱平台的核心功能定义，产品定位；能系统思考产品形态，发掘智能产品潜在用户的核心需求，结合当前技术能力提供有市场竞争力的产品；能独立负责产品的需求分析、功能定义、设计评审和开发迭代全过程，协调团队资源按照规划完成产品上线；把控产品交互、视觉设计、产品功能优化和迭代、产品运营策略的制定和实施、合作伙伴沟通和管理等具体工作；
负责推进项目按时间节点实施。",True
4,22989-腾讯云中间件产品经理（深圳）,中国,深圳,产品,"1. 负责腾讯云中间件产品（微服务平台、消息队列、API 网关、APM、分布式事务等）的策划工作； 
2. 负责行业产品调研、竞品分析、需求策略、产品方向决策等工作；
3. 洞察中间件产品和上下游产品的联系，系统化的整理和输出解决方案，设计产品原型，推动研发实现，持续运营优化，提供服务体系效能； 
4. 协助解决方案团队，完成客户化方案的实施",True
5,28481-微信医保的电子凭证产品经理,中国,深圳,产品,"1、负责微信医保电子凭证产品迭代规划。基于项目整体策略目标，分拆迭代计划，并协调项目各团队，如运营、商务、架构师联动，推动产品落地完成发布，并对产品效果负责。
2、对接人社局、医保局，挖掘G端客户需求，并能对需求进行场景细分，对客户和市场需求的优先级能做权衡决策。
3、可以撰写产品需求文档，能结合数据进行效果追踪，并给出优化解决方案。",True
6,26381-智慧文旅高级产品经理（深圳）,中国,深圳,产品,"1、负责旅游平台各商业性产品相关方向的调研、规划、需求的维护，定义开发迭代范围、目标实现路线及具体步骤策略；
2、理解业务诉求，可以撰写产品设计、需求分析文档，持续优化及改进产品，负责准确把握项目目标和周期，与售前、研发等合作部门沟通协调，推进项目的顺利进行；
3、跟踪市场趋势和竞争，以确定产品定位和计划，根据用户价值、商业价值和成本分析，对客户和市场需求的优先级做权衡决策；
4、负责收集各市场渠道反馈的意见，充分了解用户需求以及对场景的准确定义，能独立完成PRD和产品原型设计；
5、跟踪市场趋势和竞争，以确定产品定位和计划，根据用户价值、商业价值和成本分析，对客户和市场需求的优先级做权衡决策；
6、负责产品的全流程管理，协调和组织项目团队成员，如设计、研发、测试和运营，推动产品完成发布，并对产品的使用效果负责。",True
7,30360-QQ空间产品经理,中国,深圳,产品,"负责QQ空间产品策划。
通过数据洞察与用户策略，聚集同好用户，持续提升用户黏性。
独立负责相关产品模块，主动合理定义产品能力、含产品规划、策略逻辑、需求定义、需求文档撰写、用户体验分析和优化等；
密切跟踪行业发展动态和竞品进展，积极思考发展规划和产品创新",True
8,30360-QQ用户增长产品经理,中国,深圳,产品,"负责制定 QQ 的用户增长策略，胜任产品功能策划、数据分析等工作，协调各方面资源推进并快速推进策略落地；
了解社交产品用户生命周期，通过细分用户状态不断完善活跃转化路径，提升产品关键核心指标;
深入了解 QQ 用户使用习惯，探索 QQ 对用户的增量价值，发掘符合用户需求的平台增长机会.",True
9,30360-社交用户增长数据产品经理（深圳）,中国,深圳,产品,"独立承担数据运营分析工作，为业务和IT产品提供数据决策和策略支持，分析方向包括但不限于产品功能、用户行为、活动效果、增长转化和渠道运营等相关分析；
根据业务发展情况，搭建出能够准确反映业务运作健康状况的数据指标体系，围绕业务构建多维度数据模型；
负责社交推荐产品的规划，机制搭建，策略设计，数据分析等，建立推荐策略业务模型，持续提升流量转化率。",True
