job_title,job_country,job_city,job_category,job_responsibility,job_available
0,CB-海外人力资源经理（福利方向）,中国,深圳,人力资源,"•	Constructs overseas employee benefit and global mobility management model
•	Designs company overseas employee benefit policy framework and global mobility system 
•	Designs and maintain overseas employee benefit policies and procedures
•	Designs and maintain global mobility policies and procedures
•	Works with local HR to customize local employee benefit policies and administer benefits programs application
•	Manages employees assignment circle, and manage assignees data
•	Builds cross-functional partnerships specifically with the other HR functions, Legal, Finance, Accounting departments etc., and collaborates with each department to direct compliance issues to appropriate existing channels for resolution
•	Selects and supervises external vendors to provide employee benefit or global mobility services


",True
1,CB-海外人力资源岗,中国,深圳,人力资源,"1，作为公司级海外职能项目的PMO，设计整体项目计划书，推进项目开展、监督项目进度，协同汇报项目成果、并对项目整体进度负责
2，建立与其他人力资源部门的跨职能合作伙伴关系，如法律、财务、会计等部门，并与各部门合作共同进行管理办法、资源统筹、系统搭建等落地建设工作
3，协同当地HR设计本地化的人力资源政策和操作流程
4，负责海外管理委员会的日常管理及运营工作、同时对区域进行管理
5，根据海外业务发展计划，对海外HR建设进行前瞻性研究",True
2,CB-海外人力资源经理（培训&文化方向）,中国,深圳,人力资源,"1.	牵头海外新员工入职整体方案设计，并结合各区域特点支持相关方案的个性化落地
2.	深入了解海外业务动态和团队管理现状，主动挖掘、分析培训需求，挖掘和整合内外部优质资源，支持各区域培训项目的策划、实施； 
3.	负责面向海外分支机构的企业文化体系、沟通传播体系的搭建、优化与运营，并与各海外区域协同，推动文化氛围营造和核心文化落地；
4.	根据集团战略布局、业务动态、员工热点，分析和规划面向海外的传播重点，进行深度内容撰写和文化价值挖掘

",True
3,CB-海外人力资源经理（组织发展方向）,中国,深圳,人力资源,"1.	根据公司海外业务需要，设计和搭建公司海外组织及管理体系，并协同业务和各职能相关方落地实施；
2.	对全球化企业管理进行深入研究，为公司海外组织发展和优化专业视野，配合业务发展探索适合腾讯的全球化管理模式
3.	在具体推进过程中提供有价值的经验沉淀，以及做好知识管理、资源库的建立

",True
4,18427-人力资源主管（腾讯中金合资技术公司）,中国,深圳,人力资源,"1、起草、修改和完善公司人力资源各模块制度体系、管理办法，优化人力资源工作流程，确保流程运转流畅；
2、主导及执行公司招聘、培训、员工关系、薪酬绩效等工作；
3、负责员工入职、离职、辞退、调配等相关手续跟进办理；
4、负责办理员工福利的申请、审核和发放及处理劳资纠纷；
5、负责员工的考勤数据汇总审核、员工职位异动工作、手续的办理及相关事项的处理；
6、定期进行人力资源数据分析，提交公司人力资源分析报告；
7、负责公司人事档案和各类文档案的收、发、存、借的管理；
8、上级交办的其他临时性工作。",True
5,CB-海外人力资源专家,中国,深圳,人力资源,"•	Analyzes business needs and communicates with different parties to support business development
•	Constructs overseas HR management model
•	Designs company overseas HR policy and procedures
•	Works with local HR to customize corporate HR policies and local administration procedures
•	Builds cross-functional partnerships specifically with the other HR functions, Legal, Finance, Accounting departments etc., and collaborates to build up global management system
•	Selects and manages external vendors to provide HR overseas services
",True
6,26832-高级招聘专员(深圳) ,中国,深圳,人力资源,"主要负责高质量简历搜索工作；
负责研究目标行业发展及人才特征；
利用各种工具及渠道，寻找优秀的人才；
人才库的运营及其他平台型产品建设工作。",True
7,CB-绩效管理经理,中国,深圳,人力资源,"1、负责公司组织绩效体系的优化和维护；
2、负责公司中高管绩效管理体系的优化和维护；
3、支持公司相关绩效体系的IT化建设和运营；
4、负责或参与绩效管理相关的专题研究和项目。",True
8,TA-T+平台培训经理（深圳）,中国,深圳,人力资源,"规划和设计腾讯对外人力资源交流与共享平台（T+平台）的建设；
负责生态圈人力资源领域的需求收集并进行分析与诊断；
负责腾讯T+重要项目的策划、组织及效果评估跟进；
负责与腾讯与T+平台相关的内外部资源有效管理\引进和利用；
参与腾讯大学其他相关工作的协同； 
",True
9,26832-海外校园招聘经理（深圳）,中国,深圳,人力资源,"1.	参与腾讯海外校招的策略制定与推行，保障海外校园精兵的开源、甄选和吸引；
2.	负责海外校园招聘在垂直领域的项目设计和落地执行，承担项目经理职责；
3.	负责部分海外校招的关系搭建与维护，开展校企合作，探索更多腾讯在海外本地化高校学生招聘和全球化运营的模式；
4.	负责腾讯在海外地区的校园招聘交付和各类线下活动，以达成海外校招目标和校园雇主品牌建设；
5.	运用数据化校招思维，对校招过程和结果所呈现的数据作深入全面的分析，为不断优化校招策略提供依据。
Participate in the planning and execution of Tencent global campus recruitment projects that attract, select and onboard global talents. 
Design and implement global campus recruitment projects in specific fields as a project manager.
Take charge of the construction and maintenance of the relationship among global schools, carry out school-enterprise cooperation, and explore the localized operation patterns for Tencent in global campus recruitment .
Host Tencent's campus recruitment and various offline events globally to achieve global recruitment goals and enhance employer brand. 
Use data-driven campus recruitment strategy to make a thorough and comprehensive analysis of the data presented in the recruitment，to provide the evidence for how to optimize the recruitment strategy.
",True
