job_title,job_country,job_city,job_category,job_responsibility,job_available
0,28600-113 微信支付后台开发工程师（广州）,中国,广州,技术,"负责微信支付商户质量体系建设开发；
负责微信支付商户平台风控、投诉申诉等业务管理等相关功能开发；
负责微信支付商户平台创新型探索开发。",True
1,PCG04-腾讯看点高级后台开发工程师（深圳）,中国,深圳,技术,负责PCG直播中台、腾讯看点和信息流各业务工具链平台开发；通过对接业务系统，解决研发流程痛点，持续提升研发效率。,True
2,25663-腾讯云泛互联网后台开发高级工程师（北京）,中国,北京,技术,"负责腾讯云互联网行业PAAS产品研发工作；
负责腾讯云互联网行业产品架构设计工作；
负责为互联网客户提供行业云端解决方案、架构优化方案。",True
3,25663-腾讯云泛互联网后台开发高级工程师（深圳）,中国,深圳,技术,"负责腾讯云泛互联网行业PAAS、SASS产品研发工作； 
参与相关系统的架构设计和评审，参与项目的技术攻坚和优化； 
参与系统文档的撰写、维护；
负责为客户提供行业云端解决方案、架构优化方案 。",True
4,30360-增值研发中心后台开发,中国,深圳,技术,"负责手机QQ，QQ空间百亿级广告系统架构设计和开发维护；
负责会员，黄钻等千万级会员包月服务后台架构设计和开发维护；
负责手机QQ，QQ空间自助运营活动配置发布平台架构设计和开发维护。",True
5,30360-QQ增长后台开发工程师,中国,深圳,技术,"负责QQ用户增长及后台大请求量服务端开发方向
参与建设QQ用户增长后台架构的设计和优化工作；
参与建设程序化投放和推送系统，基于数据驱动，自动化评估体系，最大化投入以及拉动收益；
搭建增长中控及试验平台，建立相应的数据监控体系，以驱动精细化运营策略的快速迭代。",True
6,30361-创新产品后台开发,中国,深圳,技术,"负责腾讯新阅读app后台开发；     
负责平台业务的开发和维护；
负责部门相关业务的后台开发及维护。 ",True
7,30361-腾讯文档资深Golang后台开发工程师,中国,深圳,技术,"1.负责腾讯文档后台业务开发。
2.负责腾讯文档后台架构优化。",True
8,30361-腾讯文档资深C++后台开发工程师,中国,深圳,技术,"1.负责腾讯文档后台业务开发。
2.负责腾讯文档后台架构优化。",True
9,WXG10-企业微信基础应用后台开发工程师（成都）,中国,成都,技术,负责企业微信应用类后台系统开发、核心系统的架构设计和开发、基础设施研发等,True
10,WXG10-企业微信基础应用高级后台开发工程师（成都）,中国,成都,技术,负责企业微信应用类后台系统开发、核心系统的架构设计和开发、基础设施研发等,True
11,WXG10-企业微信高级分布式架构后台开发工程师（广州）,中国,广州,技术,负责企业微信核心系统的架构设计和开发；负责分布式存储/数据库、消息队列、分布式事务、票据系统、网络框架等基础设施的研发,True
12,WXG10-企业微信基础应用后台开发工程师（广州）,中国,广州,技术,负责企业微信应用类后台系统开发、核心系统的架构设计和开发、基础设施研发等,True
13,WXG10-企业微信基础应用后台开发工程师（深圳）,中国,深圳,技术,负责企业微信应用类后台系统开发、核心系统的架构设计和开发、基础设施研发等,True
14,WXG10-企业微信基础应用高级后台开发工程师（深圳）,中国,深圳,技术,负责企业微信应用类后台系统开发、核心系统的架构设计和开发、基础设施研发等,True
15,WXG10-企业微信基础应用高级后台开发工程师（广州）,中国,广州,技术,负责企业微信应用类后台系统开发、核心系统的架构设计和开发、基础设施研发等,True
16,18427-理财通后台开发工程师（深圳）,中国,深圳,技术,"负责理财通金融产品接入，清算，零钱通等系统的开发维护；
建设基金销售业务相关的技术基础平台。",True
17,CSIG07-企业安全后台开发工程师,中国,深圳,技术,"1、参与腾讯企业安全产品的后台架构建设工作（需求分析、架构设计、核心框架及组件开发）
2、 持续从技术上提升服务性能、稳定性，提升研发效能
3、 优化和改进现有产品以提升用户体验",True
18,22989-腾讯会议WEB高级后台开发工程师,中国,深圳,技术,"1. 负责部门WEB项目的前后端开发，重点是WEB后台开发；
2. 负责部门内部运营平台的开发与运营
3. 负责部门产品云接口的开发与运营",True
19,22989-腾讯会议C/C++高级后台开发工程师,中国,深圳,技术,"1、负责为腾讯会议规划和建设全球化的后台系统，确保系统的质量和稳定性。
2、运用大数据、分布式系统、多地容灾等技术，不断优化系统架构，提升用户的体验。",True
20,WXG07-QQ邮箱后台开发工程师,中国,广州,技术,负责QQ邮箱账号、邮件反垃圾等业务安全类后台系统的开发和维护,True
21,29777-腾讯云后台开发组长（深圳）,中国,深圳,技术,"负责腾讯CSIG能源行业产品的后台框架设计和研发；
独立承担相关业务的后台开发任务，完成系统设计，功能开发，测试验证和灰度发布，确保开发质量和开发效率，推进能源行业产品版本的落地；
负责整个代码架构的持续优化和技术改进，通过技术改进提升团队工作效率和质量；
能够快速响应并定位解决线上突发问题。",True
22,25923-CodeCC高级后台开发工程师（深圳）,中国,深圳,技术,"负责CodeCC后台功能特性开发；
负责CodeCC后台性能调优；
负责CodeCC安全、容灾等基础设施建设。",True
23,25923-后台开发工程师（深圳）,中国,深圳,技术,"负责TGPA系统后台的设计和开发； 
负责TGPA运营系统的数据分析和开发；
负责TGPA后台系统的性能优化和高并发调优。",True
24,25925-后台开发工程师（深圳）,中国,深圳,技术,"负责用户平台部相关业务的后台开发； 
负责后台技术架构选型，基础组件开发，研发流程优化；
负责游戏社区相关产品后台开发的开发和架构设计。",True
25,15579-游戏后台开发工程师（深圳）,中国,深圳,技术,"手机游戏后台功能模块的设计和开发工作；
手机游戏后台系统运营和问题分析和解决。",True
26,27092-腾讯手游助手后台开发（深圳）,中国,深圳,技术,"负责手游助手平台的高性能后台服务开发，需要参与后台架构设计和性能稳定优化
负责手游助手后台业务组件的开发和维护",True
27,WXG10-企业微信技术合作中心后台开发工程师（成都）,中国,成都,技术,负责企业微信开放相关的后台研发工作,True
