job_title,job_country,job_city,job_category,job_responsibility,job_available
0,25666-华南区商务拓展经理,中国,深圳,销售、服务与支持,"1.识别产业发展方向，整合公司内部产品、资源优势，负责目标产业的商业模式设计，包括不限于人工智能、网络安全、文创、工业云、教育等，负责商业模式文档材料、跨业务部门资源整合。
2.负责项目拓展，有较强的项目运作能力，负责政企客户交流与谈判，有效识别客户诉求，优化商业模式目标与实际执行落地适配，实现项目达成。
3.南区整体拓展规划，识别目标客户，实现拓展目标。
4.负责洞察对标业界及标杆企业商业设计最佳实践，新趋势和市场表现，识别当前服务商业模式能力短板，系统总结能力模型，提出商业模式演进发展目标和路径，并推动落地与能力改进。
",True
1,25667-高级商务拓展经理（深圳）,中国,深圳,产品,"1、商务拓展：根据公司IDC及网络等业务的总体规划，负责：供应商考查及引入、安排技术交流对接、商务谈判、相关资源落地实施、合同签署、计费支付等商务全流程工作，并统筹相关业务需求。
3、供应商沟通与合作：负责所辖地区的各地供应商（含基础电信运营商）商务接口，建立并维护双方长期、深入、全方位的战略合作伙伴关系，支撑公司业务发展与运营商战略落地实施；
3、产品运维支持：作为公司与供应商（含基础电信运营商）的第一接口人，负责建立双方规划、运维、产品团队的沟通机制，协调解决业务运行过程中的各类产品运维问题与优化需求。",True
2,25666-腾讯云与智慧产业华东商务拓展高级经理（泛企业方向）（上海）,中国,上海,销售、服务与支持,"负责腾讯云与智慧产业业务在华东区域的客户拓展和产品/项目销售
聚焦产业园区、社区、地产、零售、医疗、金融等行业的客户需求理解和智慧产业解决方案推广
协调并整合公司内部跨部门资源，实现全面的售前、售中、售后工作开展和客户服务",True
3,PCG15-商务拓展高级经理（北京）,中国,北京,销售、服务与支持,"发掘和拓展各类可与腾讯直播合作的客户资源；
负责洽谈各类腾讯直播的项目合作，跟进合作协议的签署；
提炼合作意向中的可执行内容，参与合作方案的基本策划；
维护好与商家、服务商、合作平台方的关系；
协助解决部分合作项目中的线下权益执行。",True
4,WXG01-微信合作商务拓展（广州）,中国,广州,销售、服务与支持,"1.负责微信产品功能与目标客户的拓展，维护和运营客户关系，传达微信价值观，合作项目落地等工作；
2.分析行业发展，整合内外资源，推动微信与重要客户进行创新合作开展。",True
5,25666-腾讯云与智慧产业华东区域高级商务拓展经理,中国,上海,销售、服务与支持,"1. 负责腾讯云与智慧产业业务在华东区域的客户拓展和产品/项目销售
2. 聚焦园区/社区、地产、医疗等行业的大型企业客户需求理解和智慧产业解决方案推广
3. 协调并整合公司内部跨部门资源，实现全面的售前、售中、售后工作开展和客户服务",True
6,33370-腾讯出行生态商务拓展经理,中国,北京,销售、服务与支持,"1、负责拓展和维护内外部生态合作伙伴资源，构建覆盖广范高质量的智慧出行生态合作伙伴资源池，提升腾讯车联网、出行服务、自动驾驶等解决方案能力和运营能力；
2、负责车载小程序生态合作平台规则的建立和优化，与产品和运营配合搭建业务增强回路使得整个生态良性运转，提升用户新增和用户活跃；
3、负责针对ToC和ToB不同业务类型设计合理的商业模式，完成GMV和营收指标。",True
7,34543-智慧政法合作部政法行业商务拓展经理（成都/重庆）（成都）,中国,成都,法律与公共策略,"负责西南区域政法行业客户的商务拓展工作； 
负责政法西南区域大客户关系管理、合作伙伴关系管理，市场策略制定； 
整合公司及西南区域合作伙伴资源，为客户提供最佳行业解决方案； 
聚焦华东区域政法领域，制定行业/区域打法，并跟进重点项目，以达成公司制定的任务目标和KPI考核目标。
",True
8,34543-智慧政法合作部检法司行业商务拓展经理（成都/重庆）（成都）,中国,成都,法律与公共策略,"负责西南区域检法司行业客户的商务拓展工作； 
负责西南区域大客户关系管理、合作伙伴关系管理，市场策略制定； 
整合公司及西南区域合作伙伴资源，为客户提供最佳行业解决方案； 
聚焦西南区域检法司领域，尤其是监狱、司法行政领域。制定行业/区域打法，并跟进重点项目，以达成公司制定的任务目标和KPI考核目标。
",True
9,34543-智慧政法合作部政法行业商务拓展经理（成都/重庆）（重庆）,中国,重庆,法律与公共策略,"负责西南区域政法行业客户的商务拓展工作； 
负责政法西南区域大客户关系管理、合作伙伴关系管理，市场策略制定； 
整合公司及西南区域合作伙伴资源，为客户提供最佳行业解决方案； 
聚焦华东区域政法领域，制定行业/区域打法，并跟进重点项目，以达成公司制定的任务目标和KPI考核目标。
",True
10,34543-智慧政法合作部检法司行业商务拓展经理（成都/重庆）（重庆）,中国,重庆,法律与公共策略,"负责西南区域检法司行业客户的商务拓展工作； 
负责西南区域大客户关系管理、合作伙伴关系管理，市场策略制定； 
整合公司及西南区域合作伙伴资源，为客户提供最佳行业解决方案； 
聚焦西南区域检法司领域，尤其是监狱、司法行政领域。制定行业/区域打法，并跟进重点项目，以达成公司制定的任务目标和KPI考核目标。
",True
11,34543-智慧政法合作部商务拓展经理（深圳）,中国,深圳,法律与公共策略,"1）负责政法行业客户的商务拓展工作； 
2）负责大客户关系管理、合作伙伴关系管理，市场策略制定； 
3）整合公司及合作伙伴资源，为客户提供最佳行业解决方案； 
4）聚焦在政法领域，制定行业/区域打法，并跟进重点项目，以达成公司制定的任务目标和KPI考核目标。",True
12,WXG01-微信合作商务拓展（北京）,中国,北京,销售、服务与支持,"1.负责微信产品功能与目标客户的拓展，维护和运营客户关系，传达微信价值观，合作项目落地等工作；
2.分析行业发展，整合内外资源，推动微信与重要客户进行创新合作开展。",True
13,35074-商务拓展经理,中国,深圳,销售、服务与支持,"负责腾讯云与智慧产业业务的市场推广与营销合作拓展；
负责腾讯云与智慧产业生态圈层运营与营销；
负责市场策略、BD方案策划、宣讲以及推行；
协助团队完成营销中台能力建设；",True
