job_title,job_country,job_city,job_category,job_responsibility,job_available
0,30933-FFW-开放世界游戏策划（深圳）,中国,深圳,产品,"负责游戏开放世界的规划与搭建，以及玩法设计；
使用相关工具完成开放世界的设计与体验迭代；
协同技术和美术完成开放世界的制作与实现。
",True
1,15573-天天爱消除游戏策划（上海）,中国,上海,产品,"负责游戏玩法、关卡、系统设计，撰写策划文档；
负责与相关产品、美术、开发、测试沟通，确保需求落地符合设计预期；
负责跟进功能上线后的数据分析总结，结合用户反馈和研究，持续优化；
关注市场方向，关注竞品动态，为产品优化和方向提供参考思路。",True
2,15605-FPS高级游戏策划（上海）,中国,上海,产品,"负责FPS游戏核心机制、相关系统和和模式玩法研究、拓展和方案设计；
与策划团队一起进行游戏玩法模块设计，包括并且不限于武器装备设计、载具设计、角色技能设计；
协同技术团队和美术团队，完成设计方案的开发执行，保证最终的体验实现。",True
3,27141-资深游戏策划（深圳）,中国,深圳,产品,"项目会在尊重个人意愿的前提下，根据个人能力与经验来分配具体模块的工作，并负责跟进实现，保证项目开发质量。待开展的工作包括（但不限于）玩法模块、系统设计、社区建设等几个模块。 
战斗模块：负责战斗系统相关模块，包括但不限于战斗体验，HUD设计，技能设计，平衡性调节； 
关卡模块：负责关卡设计，包括但不限于地图整体设计，模式规则设计，地图内关卡和地形结构设计，PVE关卡和怪物设计；
系统模块：负责系统相关模块，包括但不限于局外系统，商业化，线上赛事规则设计。",True
4,37092-游戏策划（深圳）,中国,深圳,产品,"对游戏内各系统的规则及逻辑进行细化设定；
从整体出发，进行模块设计、策划方案的撰写，并能根据研发、运营的实际情况进行调研、论证和优化，保证产品中长期发展；
对市场精品游戏进行系统分析、整理、归纳、总结；
配合美术和程序团队进行良好的设计沟通，保障游戏设计的实现。",True
5,15583-互娱高级游戏策划（深圳）,中国,深圳,产品,"包括但是不限于以下内容：
负责游戏的玩法模块设计；
负责游戏的核心机制研究及拓展；
负责部分系统设计；
游戏研发过程中，各项相关工作的方案和执行，跟进开发过程；
相关内容线上数据反馈收集以及分析，制定后续优化方案推进落地。
",True
6,15569-女性向游戏策划(深圳),中国,深圳,产品,"对市面上女性向游戏进行深入研究分析，同时负责游戏内的系统及玩法设计；
在开发过程中对各项工作进行规划和跟进，并向美术提出适合女性偏好的表现需求和交互设计；
持续研究女性玩家心理，找到流行趋势中可以结合的点，设计相应的活动主题包装；
跟进、分析统计数据，根据数据和反馈来制定后续优化方案并跟进具体开发。
",True
7,32032-射击类项目游戏策划（上海）,中国,上海,产品,"负责游戏的核心战斗体验，对角色表现，镜头表现，交互操作，战斗体验等内容进行规划和制作；
负责游戏AI战斗玩法的设计及规划, 包括AI系统设计和战斗数值模型的搭建；
负责游戏的AI、BOSS技能效果表现，打造优秀的战斗体验；
量化管理并调节游戏单局战斗节奏；
利用战斗技能、BUFF机制，搭建游戏新玩法。",True
8,HY5-游戏评测方向游戏策划（日本）,日本,东京,产品,"以挖掘全球产品在中国市场布局为业务基础目的，关注国内外游戏行业动态，专注游戏产品的研究，从市场/产品/战略层面（游戏性、商业化、公司未来潜力等）进行全方面的评审，并输出专业报告；
通过多样渠道发现和寻找新产品，关注游戏及衍生重点领域的产品方向及市场趋势，对用户属性及重点产品进行分析梳理，构建/刷新有效的产品/团队挖掘与分析方法；
推动后续相关产品/团队的决策执行和落地，连同业务合作伙伴（商务/运营）参互/构建/组织国内相关落地业务决策流程，确保结果反馈。",True
9,15571-3A射击游戏策划专家 Expert Game Designer （深圳）,中国,深圳,产品,"Oversee Multiplayer in our studio.
Provided high-level direction: own a feature or feature set from start to finish. 
Managing every system related to PVP as well as game play balance.
Establish specifications/rules for major PVP system.
Design and build new and exciting PVP levels.
Provide direction and/or inputs for new PVP weapon, skill, or equipment.
Ability to share or teach FPS related experience in organize classes to fellow designers.
把控整个多人PVP的设计；
指导组内的同事各个特性的设计方向；
负责游戏PVP战斗相关的整体游戏性和平衡性的把控；
建立针对于游戏战斗系统相关各个模块的规范；
指导组内场景策划进行PVP战斗场景的优化以及新场景的搭建；
指导组内策划进行武器、技能、装备等等战斗相关系统的内容设计；
设立不同分类的专业课程，在组内进行专业知识的分享，帮助组内的同事一起成长。",True
10,21229-体育类游戏策划（上海）,中国,上海,产品,"负责篮球游戏外围系统的整体设计；
负责篮球游戏核心玩法的优化；
作为Feature owner 负责从系统需求，设计、跟进开发到验证的开发流程。",True
11,24012-休闲游戏策划（深圳）,中国,深圳,产品,"负责休闲游戏核心玩法、系统策划、产品包装创意设计等工作；
配合美术和程序团队进行良好的设计沟通，保障游戏的功能实现及效果分析，对游戏产品生命周期各项数据负责；
参与休闲游戏方向探索，研究并持续跟进市场相关竞品情况。",True
12,32032-高级游戏策划（深圳）,中国,深圳,产品,"参与设计新游戏原型，要求在玩法层面有深刻理解和多次尝试，同时在商业化层面也有认知和尝试;
对游戏模式，战斗系统，商业化系统，成长系统等所有游戏系统都有较为深刻的理解;
管理项目量产过程中的所有问题。

",True
13,HY5-游戏评测方向游戏策划（深圳）,中国,深圳,产品,"以挖掘全球产品在中国市场布局为业务基础目的，关注国内外游戏行业动态，专注游戏产品的研究，从市场/产品/战略层面（游戏性、商业化、公司未来潜力等）进行全方面的评审，并输出专业报告；
通过多样渠道发现和寻找新产品，关注游戏及衍生重点领域的产品方向及市场趋势，对用户属性及重点产品进行分析梳理，构建/刷新有效的产品/团队挖掘与分析方法；
推动后续相关产品/团队的决策执行和落地，连同业务合作伙伴（商务/运营）参互/构建/组织国内相关落地业务决策流程，确保结果反馈。",True
14,15581-SLG高级游戏策划/主策划,中国,深圳,产品,对游戏各系统的规划及逻辑进行细分设定：对市场精品与欧系进行拆分、整理、归纳、总结；从整体出发进行模块设计、策划案攥写，根据运营实际情况进行调研、论证、优化，保证产品的长期发展；配合好美术、程序保证游戏设计的实现。,True
15,15583-互娱高级游戏策划（深圳）,中国,深圳,产品,"包括但是不限于以下内容：
负责游戏的玩法模块设计；
负责游戏的核心机制研究及拓展；
负责部分系统设计；
游戏研发过程中，各项相关工作的方案和执行，跟进开发过程；
相关内容线上数据反馈收集以及分析，制定后续优化方案推进落地。
",True
16,32032-游戏系统策划（上海）,中国,上海,产品,"主导设计并跟进模拟经营类游戏的玩法、操作，商业化模块以及相关系统的设计和制作；
撰写对应的设计文档，参与相关界面的交互设计；
在开发过程中实时跟进并调优，确保按时且保质保量的制作出对应的系统。",True
17,21228-战术竞技手游运营（本地化）（深圳）,中国,深圳,产品,"负责精品战术竞技手游项目的本地化游戏策划工作，主要包括核心玩法及周边系统的具体规划、策划案输出、研发推进及功能系统的把控验收；
掌握市场趋势并响应用户需求，独立主导将用户及产品需求相关的核心玩法、社交、商业化、用户成长、基础体验等功能模块形成本地化策划案并与研发讨论后在版本中实现；
在运营阶段结合运营节奏及产品数据，主导相关游戏系统的调优、更新及进行创新性系统的设计。",True
18,37088-游戏内容运营策划(上海),中国,上海,产品,"沙盒平台PGC内容策划和规划，出具策划案并跟进开发指导验收；
针对PGC和头部扶持作品提供调优方案；
平台类竞品的内容走向和分析；
场景类、逻辑类组件需求和规划。",True
19,15571-射击游戏系统策划（深圳）,中国,深圳,产品,"负责射击游戏的局外系统功能、UI、逻辑设计，跟进及上线后迭代工作；
负责射击游戏的活跃、商业化功能设计，跟进及数据分析工作；
负责跟进相关内容上线后的运营数据，通过运营数据和用户研究进行总结，并持续进行后续优化。",True
20,15575-《王者荣耀》资深系统策划（上海）,中国,上海,产品,"负责游戏内核心玩法的系统设计、以及各系统的功能设计、界面及操作设计;
负责游戏模式及其玩法研究，确保产品具备优良的游戏性和竞争优势;
了解游戏研发步骤，可独立策划游戏中大型系统， 整理和书写需求文档，供设计、开发、测试人员明确功能需求;
与程序、美术密切合作，负责游戏系统设计及推进执行;",True
21,30934-海外游戏数据分析运营,中国,深圳,产品,对游戏数据相关工作负责，通过数据分析和数据挖掘，找出游戏的问题，调优建议和方向。包括： 1、日常游戏运营商业化数据监控及问题分析 2、针对游戏版本、系统玩法、活动、商业化等内容，提出分析思路，并输出结论及一定调整建议 4、通过业务理解和数据挖掘建模，提出精细化的运营方案，包括：预流失、拉回流、付费转化等方向 ,True
22,15573-全球化SLG商业化策划(上海),中国,上海,产品,"规划和搭建游戏商业化体系，制定版本商业化内容；
根据不同用户行为进行针对性的商业化活动设计，养成用户付费习惯，形成游戏商业化节奏； 
能够从玩家处收集并提炼用户需求或通过版本效果分析来梳理需求，深度挖掘用户诉求，拓展游戏内商业化空间，持续进行精细化的深度商业化挖掘；
对商业化模块和活动进行持续性效果分析，并协助制定产品改进策略。",True
23,30934-日本高级运营策划 ,中国,深圳,产品,"提供产品优化方案，并推动研发开发、验收；
负责规划及跟进制作版本策划内容，包含玩法、养成、社交、经济系统、商业化
能够在策划/测试/上线阶段敏锐的发现版本问题，定位原因，并找到解决方案
针对日本游戏市场发展趋势，挖掘用户诉求，提供新的产品方向
",True
24,15571-CF手游后台开发工程师（深圳）,中国,深圳,技术,"负责FPS手游服务端的程序设计和实现；
与客户端开发、游戏策划良好沟通，高效地完成设计、编码任务并推进上线；
与运维人员协作保障业务稳定运行，熟练处理运营事务。",True
