job_title,job_country,job_city,job_category,job_responsibility,job_available
0,TEG17-自然语言处理研究员（深圳）,中国,深圳,技术,负责对话人工智能以及问答系统等前沿问题的研究，结合未来实际应用场景，提供技术解决方案。,True
1,CSIG14-自然语言处理算法工程师,中国,深圳,技术,"通过自然语言处理技术识别网络文本、图片相关风险；
负责语义理解、知命名实体识别，事件分类/聚类，情感分析相关工作。",True
2,25926-自然语言处理算法工程师（深圳）,中国,深圳,技术,"负责腾讯游戏或社区平台内容相关的风险监控，发现风险及风控策略实施；
负责语义理解、知识图谱构建，分类/聚类，情感分析和质量识别工作。",True
3,CSIG15-自然语言处理研究员,中国,成都,技术,"负责对话系统自然语言理解（NLU）研发工作，主要包括领域意图识别、实体抽取、语义槽填充等；
构建对话系统数据闭环，优化提升线上效果；
训练语料的收集和挖掘，提升标注效率和语料质量。",True
4,TEG17-AI LAB自然语言处理工程师（深圳）,中国,深圳,技术,"1、负责虚拟人相关模块的开发和运营，包括整体系统架构设计与实现；
2、负责支持AI Lab科研成果的应用落地，主要是自然语言处理等方向的系统流程建设和优化。",True
5,18435-自然语言处理算法工程师,中国,深圳,技术,"负责自然语言处理相关技术的研究和研发；
负责微信支付风控场景下的文本分类、情感分析、舆情分析的落地；
深入理解风控业务，运用自然语言处理、深度学习等技术，提升风险管理水平，为业务保驾护航。",True
6,TEG13-自然语言处理高级工程师（深圳）,中国,深圳,技术,"负责海量文本的语义聚类，分类，不断提升覆盖度和准确度；
负责不同文本类别的情感分类，意见挖掘和舆情分析；
创建数亿用户级别的领域画像。",True
7,TEG01-自然语言处理工程师（深圳）,中国,深圳,技术,"参与智能客服平台建设，提供基础的自然语言处理解决方案；
应用深度学习模型对文本信息进行语义处理，负责深度模型的训练和调优；
结合业务实际，探索智能客服领域领先的技术解决方案。
",True
8,25924-自然语言处理高级算法工程师（深圳）,中国,深圳,技术,"负责自然语言处理基础模块开发及应用，优化属性预测分类器；
从半结构化或非结构化数据中抽取结构化信息，用于构建垂直领域知识图谱；
调研最前沿的人工智能技术，追踪并实验最新NLP前沿技术，参与搭建和实现相关模型。",True
9,18436-科技金融自然语言处理高级研究员,中国,深圳,技术,"负责机器学习/推荐系统相关算法、算法架构的研究和开发工作；
支持金融科技各个场景的资金推荐、证券新闻推荐、以及金融科技各个场景的数据营销。",True
10,TEG03-自然语言处理高级工程师（深圳）,中国,深圳,技术,"负责基于hadoop集群，spark集群，parameter server集群编写分布式算法实现新词发现，关键词选取，文本分类，主题模型，情感分析，评论观点归纳等文本挖掘和机器学习算法；
负责从腾讯各业务的结构化和非结构化数据中建立基于关键词，主题，分类的多层次兴趣体系的用户兴趣模型及其在广告业务中的应用优化；
负责智能客服算法引擎中的查询串处理，排序模型及辅助工具如查询串聚类，阅读理解等模型优化。",True
11,PCG14-自然语言处理（NLP）高级算法工程师（深圳）,中国,深圳,技术,"1.APP搜索的策略及query理解等算法相关工作；
2.搜索及相关领域的机器学习或NLP算法设计与应用。",True
12,22989-自然语言处理算法工程师,中国,上海,技术,"1、负责自然语言处理相关技术的研究和研发。
2、紧跟前沿算法和技术，推动自然语言处理在实际应用领域的性能优化和落地。",True
13,15851-游戏NLP算法研究员Game NLP Algorithm Researcher（深圳/洛杉矶）,中国,深圳,技术,"负责中文分词、词性标注、句法分析、命名实体识别等NLP研发工作；
负责文本分类，情感分析，数据挖掘等研发工作；
优化现有线上算法，结合实际业务需求与数据，研发高效可靠的NLP解决方案；
利用自然语言处理技术和深度学习算法探索在游戏场景的应用；
跟踪学术界和业界最新进展，能够快速应用到业务中。
Responsible for NLP research and development including Chinese word segmentation, part-of-speech tagging, sentence analysis and named entity recognition;
Responsible for text classification, sentiment analysis, data mining and other research and development job;
Optimize existing online algorithms, develop efficient and reliable NLP solutions by combining business needs and data;
Explore applications of NLP techniques and deep learning algorithms in games;
Follow the latest developments in academia and industry and quickly apply findings in your work.",True
14,TEG17-AI LAB语音识别研发工程师(深圳）,中国,深圳,技术,"语音识别相关模块核心算法的研发和实现；
腾讯业务相关语音识别产品的开发。",True
15,TEG11-NLP算法工程师(北京),中国,北京,技术,"负责个性化推荐中的文本内容理解，为推荐提供丰富的内容测特征，包括但不限于主题分类、tag、主题模型、embedding等
根据用户群体特性针对性挖掘人群偏好内容池
负责构建基于内容的用户画像以及优化画像召回",True
16,30620-腾讯广告微信广告高级算法工程师（深圳）,中国,深圳,技术,"负责针对特定的广告行业需求，基于大规模用户数据，对用户兴趣、偏好进行数据挖掘和分析； 
负责挖掘广告主感兴趣的人群，协助广告主在系统中进行广告定向投放； 
负责通过数据分析追踪广告投放效果，推动特定广告行业的效果优化。 
分析用户社交行为，对社交广告的传播算法做出优化 
研究广告投放效果分析，建设智能投放分析系统",True
17,22989-大数据应用后台开发工程师(深圳),中国,深圳,技术,"负责大数据应用相关产品的后台架构设计、开发与优化；
负责大数据应用项目的数据流设计与开发，以及算法的部署落地；
负责数据后台与上层SaaS系统的对接，以及大数据应用项目的交付工作。",True
18,RP-AI算法应用专家,中国,深圳,技术,负责各种AI技术在人力资源业务领域的探索、实践和落地应用，用AI技术推动人力资源领域业务创新,True
19,PCG19-腾讯视频推荐算法高级工程师（深圳）,中国,深圳,技术,负责视频个性化推荐算法的研究，建模与实现，配合工程团队提升视频用户点击率和观看量；负责团队能力建设；,True
20,22989-人工智能服务平台-产品经理,中国,深圳,产品,"1. 负责AI平台方向的产品规划和设计
2. 能够基于公司战略、客户需求和产品发展方向制定具体产品优化计划，探索AI能力与产业智慧升级的结合点
3. 把握行业趋势，定期跟踪、分析行业动态及竞品，并提出相应的产品对策
4. 可独立完成产品调研、设计、协调内外部资源，高质量地完成项目落地，参与产品运营和推广，并通过效果分析，不断推动产品优化",True
