job_title,job_country,job_city,job_category,job_responsibility,job_available
0,37088-游戏社区内容运营,中国,深圳,产品,"负责MMORPG产品的整体社区运营、内容策划、用户管理工作；
负责游戏长线运营阶段大版本推广的各个阶段的整体内容策略的制定，包括内容规划的产出，利用好内外部资源产出内容，并负责内容在各个核心社区的分发工作；
管理游戏官方自媒体矩阵及打造良性社区生态氛围，调动外团、CP跟进产品更新的各渠道外网反馈，帮助研发商持续打磨产品，优化用户体验。",True
1,31112-腾讯视频游戏内容运营,中国,北京,内容,"负责游戏领域直播、短视频MCN和KOL拓展、运营工作，与推荐、产品、技术等多部门协作，推动品类流量增长、作者粉丝增长等。；
负责腾讯视频游戏内容策划及执行工作，能够指导CP针对新热内容进行迅速、准确的规模生产；
高效推进项目执行，跟踪分析实时效果，能及时沉淀方法论，适时优化调整，不断创新，打造良好的内容体验；
参与大型游戏节目生产制作、电竞赛事报道、频道运营等相关工作。",True
2,29912-微视内容运营编辑,中国,北京,内容,"1、负责微视的热点运营，整合优质内容、策划制作相关的内容专题，在平台内外部输出推荐拉动用户消费
2、负责挖掘各类潜力PGC、UGC，保证内容质量和完成内容相关的原创策划以及数据分析输出
3、制定阶段性内容运营规划，定期输出运营分析及活动总结，挖掘有趣有传播力的运营玩法",True
3,29912-增长内容运营,中国,北京,内容,"1，负责微视外渠道内容运营，以增长为目标，同时兼顾微视内容生态
2，对于新热内容有良好感知，并能准确抓住用户喜好，打造爆款内容
3，针对产品功能提出优化建议，与产品同学紧密协作，提高效率优化体验",True
4,30360-QQ高级内容运营经理（深圳）,中国,深圳,产品,"负责从0到1搭建内容社区生态及迭代运营；
负责内容社区运营策略的制定和实际落地，带领团队进行目标设定/分解以及实现路径的构建；
对于社区运营数据敏感，横向对比相关产品，对各项运营指标负责；
总结提炼运营过程中发现的问题，进行产品需求提炼，推动产品迭代。",True
5,30361-音乐内容运营,中国,深圳,产品,"1.负责音乐内容策划，根据用户特点及产品调性，完成各色创意歌单策划，甄别挑选相应的音乐内容；

2.负责曲库及相关生态建设，制定内容数据监控策略，可对曲库输出内容数据进行分析及总结，并落地优化措施；

3.结合当前流行趋势，策划音乐社区话题活动；

4.为产品及运营侧发展规划，提供相关创意及建议，能与涉及运营的相关部门进行高效沟通及合作。",True
6,21882-腾讯医典-高级内容运营编辑（北京）,中国,北京,内容,"结合腾讯医典产品内容调性，在保证科学性基础上，独立策划并执行医疗健康类高传播力科普内容生产，包括创意策划文案撰写（文章、长图、漫画、短视频等）、人文及社会话题深度内容采写，热点话题健康科普内容采写、疾病健康专题栏目策划与内容筹备等；
负责总结归纳医疗健康类高传播力内容创作经验，不断提升医典产品的内容品牌影响力，通过内容强化用户端的腾讯医典品牌调性。
",True
7,22850-腾讯视频会员数据分析师（策略分析方向—会员内容运营）,中国,北京,战略与投资,"50%会员整体策略相关工作，包括但不限于： 
1、会员大盘业务经营分析，基于内部数据及行业的扫描，识别业务机会和潜在问题，输出业务策略并能够推动策略的落地；
2、参与整体视频会员相关的策略输出，包括但不限于定价策略、渠道、内容、营销、用户等方面的业务策略制定、专项分析复盘等；
3、参与年度商业计划的制定、目标的分解，输出建议为业务决策提供支撑。 

50%会员内容相关工作，包括但不限于： 
1、内容分账相关工作，进行各品类付费内容分账规则的制定。
2、定期复盘各品类会员付费分账情况，并针对问题提供策略及解决方案，并推动落地。
3、及时关注竞品分账规则变化及数据表现，综合内外部信息，针对内容运营及分账业务输出策略建议。
4、会员内容策略输出，支持会员内容运营团队相关策略和分析需求，分析业务现状、识别业务问题并提出相应策略。
",True
8,27092-游戏社区内容运营（深圳）,中国,深圳,产品,"1. 引导高质量高互动社区氛围，引入优质创作者进入社区输出高质量游戏相关内容，把控社区调性，搭建促进用户贡献UGC内容机制 
2. 搭建社区内容成长路径框架，与产品团队共同进行产品优化迭代
3. 通过成熟运营方法提升社区活跃度及用户粘性",True
9,37088-游戏内容运营策划(上海),中国,上海,产品,"沙盒平台PGC内容策划和规划，出具策划案并跟进开发指导验收；
针对PGC和头部扶持作品提供调优方案；
平台类竞品的内容走向和分析；
场景类、逻辑类组件需求和规划。",True
10,26563-平台内容运营(深圳),中国,深圳,产品,"负责端游社区产品运营，包含社区增量用户挖掘、用户画像及数据分析完善; 进一步精细化运营垂类兴趣社群用户，以社区流量转化为目标，对平台社区提升活跃、回流负责; 推进社区产品的功能规划与整合实现，并不断推进优化; 极强的数据意识，善于运营数据分析，以数据驱动，发现问题解决问题；
善于总结，提炼运营方法，建立常规运营模型。
",True
11,26699-智慧零售小程序内容运营经理,中国,深圳,产品,"1、负责商超栏目的平台型导购内容策划，结合用户需求和场景，组织和试验不同维度的内容效果；
2、制定内容选品需求，联合商家完成选品和内容生产；
3、结合数据分析和总结，将已验证的优质内容形态沉淀为固化产品；",True
12,23518-游戏社区内容运营经理（深圳）,中国,深圳,产品,"负责社区内各游戏号的规划和运营； 
负责社区内游戏内容的策划和运营，指导和协助各游戏号发布高质量内容；
负责策划社区内的话题和运营活动。
负责供应商管理和内容入库流程管理 ",True
13,21089-英雄联盟社区内容运营组长,中国,深圳,产品,"1.负责社区内容体系搭建、沉淀及增强社区内容发行能力，服务于各项目的内容推广需求； 
2.负责制定社区用户运营策略，通过社群运营促进用户增长及用户价值的生态转化；
3.负责社区渠道建设，增强内外部合作关系及外部渠道打通，提升英雄联盟的内容生态影响力，并能转化为实际价值服务于游戏产品；
4.利用多种分析方法和手段，分析市场的社区用户、利用全新内容营销方法达成发行目标，对接业务各团队协调资源，并对执行结果负责，发现业务问题与机会，给出有效的行动建议，给部门提供决策支持。
5.负责日常社区内容团队的管理工作。",True
14,23673-腾讯新闻内容运营（房产）（北京）,中国,北京,内容,"负责房产行业原创深度内容的生产；
房产独家线索挖掘，维护业内关系，建立圈内信源；
完成热点内容策划，推动系列选题落地执行，重大突发事件第一时间产出优质内容；
能够针对房产企业需求，输出商业化定制定制策划，达成客户需求和用户需求的平衡。",True
15,28936-移动游戏内容运营(深圳）,中国,深圳,产品,"结合游戏特色，利用数据分析，规划内容平台对应社区运营方案，建立及长线维护游戏社区用户活跃度及口碑；
熟悉内部常规及外部如TAP、微博等头部内容平台，能结合平台特性定制差异化运营及输出优质话题；
总结用户诉求，引导用户进行优质UGC内容创作，对KOL进行激活、培养、管理；
理解游戏并挖掘游戏亮点，运用创意、设计运营活动与话题能力，打造独有社区文化。",True
16,23673-腾讯新闻内容运营（产经）（北京）,中国,北京,内容,"负责产经频道日常资讯更新、节假日值班等；
负责产经类论坛及会议对接、报道、传播；
参与重要策划的筹备和执行，参与热点事件策划报道；
拓展和维护财经部委、相关机构，对接重点财经媒体。",True
