job_title,job_country,job_city,job_category,job_responsibility,job_available
0,CSIG17-云行业测试开发工程师（腾讯云全资子公司）,中国,西安,技术,"1.负责行业产品业务的质量保障工作
2.优化测试全流程，提高测试质量和效率
3.云行业产品质量相关的技术方案质量和推进
注：此岗位为腾讯集团旗下全资子公司编制岗位",True
1,PCG04-看点直播高级测试开发工程师（深圳）,中国,深圳,技术,"1、负责NOW直播和腾讯直播中台业务的质量保障工作； 
2、负责业务前后台自动化（如接口自动化，分层自动化）建设工作；
3、负责业务测试过程中devops工具链的建设。
",True
2,PCG04-测试开发工程师（上海）,中国,上海,技术,"负责支持业务和及优化项目研发效率；
通过工具引入、打通、建设提升项目团队研发流程顺畅度和自动化能力，保障项目效率和质量提升。",True
3,TEG13-测试开发高级工程师,中国,深圳,技术,"负责部门相关系统或服务的测试工作，包括：功能、安全、接口、性能、兼容性等，把控整体测试质量； 
行业优秀自动化测试平台工具的引入及搭建，推动质量保障过程中高效自动化建设； 
负责自动化测试框架设计开发，效率提升工具和平台开发，保障测试交付效率，提升整体研发效能与产品质量；
",True
4,20016-移动游戏测试开发工程师（成都）,中国,成都,技术,"从客户的角度，捍卫产品的质量；
通过对技术、代码到产品的全面理解，定位缺陷并推动修复，确保高品质的产品体验；
设计、开发和维护自动化系统，提高产品开发和测试环节的效率。",True
5,PCG04-高级测试开发工程师,中国,深圳,技术,"负责腾讯的IM和办公产品等业务的后台、Windows或移动端的架构、代码层面的专项分析及优化，包括但不限于性能自动化、接口自动化、可测性分析等质量保障工作； 
结合业务推进测试体系的建设，并配合进行相关工具平台设计及开发工作，加速产品研发效率； 持续探索引用行业相关测试技术和理念，帮助团队提升质量和效率。",True
6,WXG10-116 企业微信测试开发工程师（广州）,中国,广州,技术,"负责企业微信产品的各项专项测试，评估特性潜在性能瓶颈和风险，设计和执行专项测试方案；
负责设计并开发测试相关工具和平台，帮助团队提升测试效率和质量。",True
7,GY0-后台测试开发工程师（深圳）,中国,深圳,技术,"负责Linux平台软件的测试开发工作；
负责Linux平台组件的接口测试、单元测试和自动化测试工作；
能够在关键技术上给予团队技术指引和支持；
按时完成安排的后台测试开发任务；
负责与项目组之间的协调，推动工作，帮助项目组推动整个项目质量的提升和改进。",True
8,25927-移动游戏高级测试开发工程师（成都）,中国,成都,技术,"负责移动游戏自动化测试工具的开发、维护和完善；
负责移动游戏专项测试工具的开发、用例设计和测试执行；
负责游戏整体的质量把控，制定测试方案、计划、跟踪实施，监控项目外网质量并实施改进； 
负责收集和分析业务测试需求，探索更多的测试手段和维度，帮助提升部门的测试质量、效率和深度。",True
9,PCG04-腾讯视频测试开发工程师（北京）,中国,北京,技术,"1、负责小企鹅乐园日常测试工作管理；
2、负责支持和优化项目研发效率；
3、通过工具引入、打通、建设提升项目团队研发流程顺畅度和自动化能力，保障项目效率和质量提升。",True
10,23294-互娱移动电竞测试开发工程师,中国,深圳,技术,"1.负责移动游戏内嵌赛事直播平台的专项技术测试,开展问题挖掘，包括但不限于自动化、性能，压力测试，可测性分析等质量保障工作；
2.结合业务推进测试体系的建设，并配合进行相关测试工具的开发、维护和完善；
3.持续探索引用行业相关测试理念和技术，帮助团队提升产品质量； ",True
11,30628-腾讯广告测试开发工程师（深圳）,中国,深圳,技术,"参与腾讯广告系统后台测试，包括参与需求分析、设计评审、制定测试计划，设计和执行测试用例，进行缺陷跟踪和软件质量分析等；
制定测试计划，构建测试环境，执行集成测试，回归测试等；
保证被测系统的质量，并通过测试流程和方法创新，努力提升研发的质量和效率。
",True
12,PCG04-短视频测试开发工程师（深圳）,中国,深圳,技术,"负责微视终端app、h5或后台的自动化测试工作，包括白盒自动化、性能自动化、接口自动化等；
负责微视的质量保障及研发效能提升工作；
参与PCG研发部DevOps工具链和平台的建设工作，包括需求分析、架构设计、核心框架及组件的编码开发等；",True
13,PCG04-短视频测试开发工程师（北京）,中国,北京,技术,"负责微视终端app、h5或后台的自动化测试工作，包括白盒自动化、性能自动化、接口自动化等；
负责微视的质量保障及研发效能提升工作；
参与PCG研发部DevOps工具链和平台的建设工作，包括需求分析、架构设计、核心框架及组件的编码开发等；",True
