job_title,job_country,job_city,job_category,job_responsibility,job_available
0,15570-游戏美术3D动画设计（深圳）,中国,深圳,设计,"负责角色动作设计制作； 
良好的把控角色动作的节奏和pose还有打击力感； 
通过合理流程的设计赋予角色和物体生命力，实现动作在游戏中的表现效果及功能需要。",True
1,15569-游戏美术3D角色设计师（深圳）,中国,深圳,设计,"负责游戏内高精度3d角色高模制作；
负责周边产品手办高精度3d角色模型修改和制作；
负责宣传相关3D角色高品质表现效果还原；
熟悉游戏角色制作流程，要领，跟进外包资源反馈及修改；
按要求高效完成工作，配合团队调整安排。",True
2,15571-游戏美术3D动画设计,中国,深圳,设计,"次世代级别FPS、TPS3D角色动作设计制作；
对角色动作的节奏、pose、打击力感有良好的把控； 
设计流畅合理，能赋予角色和物体生命力； 
有良好的沟通能力，实现动作在游戏中的表现效果及功能需要。",True
3,15585-游戏美术3D场景设计师（广州）,中国,广州,设计,"根据项目要求完成场景物件资源产出，并保证资源品质；
跟进外包进度，把控外包品质；
配合程序、TA完成项目流程开发、推动技术方案执行；
制定美术资源输出规范；
把控美术资源性能。",True
4,15585-游戏美术3D角色设计师（广州）,中国,广州,设计,"根据原画和参考图片创作出高品质的角色和装备模型，并参与角色外包跟进工作，
根据效果与TA\材质师合作，创建并使用贴图以及材质；
在引擎中对角色模型效果和材质进行迭代，优化并不断打磨模型的质量水准，使其达到项目设定的质量标准和视觉方向；
与动画技术团队合作，结合性能预算，帮助动画团队确定模型标准的绑定，变形和模拟，以及其他要求；",True
5,15585-游戏美术特效设计（广州）,中国,广州,设计,"负责UE4引擎中特效的设计；
负责特效整体风格把控；
负责针对特效做性能优化；
负责验收并优化特效在手机版本内的效果；
负责特效外包管线的搭建，外包产出的审核。
",True
6,27141-独立游戏美术主创（深圳）,中国,深圳,设计,"负责游戏整体美术风格定位；
负责美术落地各个环节的实施把控，制定规范；
负责跟进外包的品质与进度。",True
7,31677-SMAD-腾讯位置服务高级游戏美术（北京）,中国,北京,设计,"负责腾讯位置服务游戏、可视化方向的地图项目
根据用户、客户需求以及实际应用场景，与合作方沟通，制定展现方案，并输出 2D、3D 以及静态或动态的效果图；
负责相关产品的美术效果，并持续打磨优化以达到最佳状态；
建立并且维护可视化产品的美术设计标准以及流程规范。",True
8,24012-游戏美术2D动画设计师（深圳）,中国,深圳,设计,"负责制作界面动效及编辑制作并输出引擎使用文件； 
负责UI动态的表现设计，并能与程序沟通完成技术方案； 
负责对接管理CP，提供明确需求到对应CP并且把控好输出品质。
",True
9,15575-《王者荣耀》高级游戏美术3D动画设计师（上海）,中国,上海,设计,"负责次世代级别3D角色动作设计制作；
负责高质量gameplay动画的创建；
结合游戏玩法，创建核心游戏机制；
负责动画系统的创建、迭代和优化，推动改进动画管线；",True
10,24012-游戏美术2D动画设计师（深圳）,中国,深圳,设计,"负责制作游戏中的角色、场景动画、界面动效及编辑制作并输出引擎使用文件； 
负责UI动态的表现设计，并能与程序沟通完成技术方案； 
负责对接管理CP，提供明确需求到对应CP并且把控好输出品质。
",True
11,29911-游戏美术3D动画特效设计（深圳）,中国,深圳,设计,"具备一定的角色原画设计能力，能够根据原画快速制作3D模型 ，有一定美术效果创造能力。
独立负责3D建模、动画、材质、贴图等的流程。
美术风格兼容多样性，包括写实、二次元、Q版等风格的模型 。
根据项目需求，应用新型技术实现高质量美术效果；
热爱短视频行业，对时尚和热点比较敏感。",True
12,28966-游戏美术动画特效设计(深圳）,中国,深圳,设计,根据项目要求，使用游戏相关引擎编辑器制作角色技能和场景特效; 结合工具粒子、贴图动画，并有手绘特效贴图来制作手绘风格的特效效果; 推动项目动画特效编辑器的持续完善和优化; 与其他团队成员一起解决技术难题和挑战，审核外包提交动画和特效资源。,True
