job_title,job_country,job_city,job_category,job_responsibility,job_available
0,27192-互娱用户研究项目经理,中国,深圳,产品,"1、内外部培训：负责部门内用研学堂的建设，内部初级培训、进阶培训体系的搭建和组织运营；深入了解内部培训需求，引入外部优秀培训和分享资源；
2、知识管理：对部门研究产出进行规范管理，重点产出做知识沉淀，便于内部进行查阅、交流、共享； 推进研究方法论，研究模型/产品的标准化，推动部门内外的知识分享氛围；
3、专业影响力建设：挖掘中心亮点/标杆调研项目并对其进行提炼、包装并扩大其研究成果的内外传播，二次复用，包括（1）搭建线上传播平台； （2）通过多样化的形式（如论坛/讲堂，行业峰会、媒体合作等）加强部门与调研行业、其它公司研究团队的交流，提升部门在腾讯内部及外部的专业影响力；
4、部门内外资源管理：负责部门内包括研究费用，日常管理与统筹，同时协助对接外部研究CP管理，拓展新的调研渠道和方法；
5、外包人员能力建设及考核管理：问卷录入外包人员，用户招募外包人员等的招聘，考核，培训，日常管理等。
6、部门运营数据，流程规范：部门关键运营数据的梳理，汇报，协助制定相关的管理流程和规范，并监督执行，反馈执行情况
",True
1,31677-腾讯AI智能助手用户研究员（深圳）,中国,深圳,设计,"-您将负责AI智能平台，AI智能语音助手等相关项目的用户研究工作;
-针对体验层面开展用户测试，挖掘体验改进点，推动体验优化，成为用户体验质量的重要把关人;
-挖掘用户的特点、行为模式、体验及情感需求，分析用户诉求，引导产品需求，为产品和设计创新提供指引;
-根据业务现状，分析用户行为和后台数据，为产品等相关部门提供有价值的数据洞察和分析报告。
 ",True
2,TEG07-高级用户研究工程师（深圳）,中国,深圳,设计,"负责各种用户研究项目的设计、执行和总结，挖掘用户需求及产品使用习惯，建立用户模型等；
使用可用性测试、用户访谈、焦点小组、问卷调研、后台数据分析和眼动跟踪等方法完成研究项目；
参与互联网金融、效果广告、大数据产品和互联网+等前瞻性产品的用户洞察和研究工作。",True
3,21309-在线教育-高级用户研究员（深圳）,中国,深圳,设计,"1、负责各种用户研究项目的设计、执行和总结，挖掘用户需求及产品使用习惯，建立用户模型等；
2、使用可用性测试、用户访谈、焦点小组、问卷调研、后台数据分析和眼动跟踪等方法完成研究项目；
3、参与在线教育类产品、数据分析等前瞻性产品的用户洞察和研究工作；
",True
4,29911-用户研究员,中国,深圳,设计,"1、用户趋势研究，包括不限于用户画像、用户需求偏好、人群行为和态度等多种研究类型。为产品设计提供深度的用户洞察与信息输入。
2、市场趋势分析，分析行业大环境与竞品动态，并推演其背后所代表的核心逻辑及其演化趋势，及时为业务策略及战略发展方向提供决策依据。
3、基于产品生命周期的各类研究，包括探索性研究、用户体验评估、可用性测试等。
4、独立完成用研项目的方案设计，包括需求描述、研究设计、数据采集、报告撰写并推动研究成果落地。",True
5,27192-市场与用户研究经理（英雄联盟相关）,中国,深圳,战略与投资,"1. 通过对LOL相关产品、市场用户的理解，规划相关研究课题，输出与英雄联盟相关研究专题，不断推动英雄联盟相关产品、运营、营销的业务优化。
2. 负责对接合作方相关市场用户研究需求，紧密协作内部运营团队，通过联合研究项目等多种方式，帮助研发商不断加深对中国市场用户的理解，提升本地化研发运营质量。
3. 负责英雄联盟IP新游戏的相关研究，与运营团队一起协同不同研发团队达成研发目标",True
6,27192-市场与用户研究经理（游戏品类&竞品玩法）,中国,深圳,战略与投资,"1. 通过各种监测手段，更早发掘值得关注研究的外部产品，对各游戏品类、竞品的市场变化进行用户、玩法等层面的研究；
2. 对各个重点的游戏细分品类，覆盖其全球重点区域，持续的市场与用户研究，包括但不限于品类用户规模、用户流转、用户痛点、重点单品玩法等；
3. 对产品玩法与系统进行拆解，结合多种用户体验的研究方法，对细分品类下不同单品的重点玩法系统设计进行细节差异化分析，为游戏研发在关键问题上提供指引。",True
7,28937-UI组组长（深圳）,中国,深圳,设计,"负责UI组的组织和日常管理工作；
团队的工作内容和目标；
参与产品的前期视觉用户研究、设计流行趋势分析；
负责项目整体视觉风格设定；
负责项目UI设计和资源输出；
参与设计流程的制定和规范；
与程序同事沟通在游戏中效果及实现方式；
负责前瞻性产品的创意设计和动态Demo的实现。",True
8,33676-移动游戏市场运营（深圳）,中国,深圳,产品,"负责宝可梦项目的市场运营工作，根据游戏特色、目标用户特点和运营目标，制定游戏品牌策略及不同运营阶段的市场营销及推广方案，并能够推动产出高品质创意内容；
对接项目的市场部，跟进包括官网、公众号、媒介等推广方案的落实与执行；
负责游戏各运营阶段的外部合作沟通，跟进合作方式、活动计划及执行，并通过数据分析对合作效果进行监控。
",True
9,15665-和平精英-高级游戏运营（深圳）,中国,深圳,产品,"根据游戏特色、用户特点、版本规划结合运营目标，制定游戏不同阶段的运营主题包装推广策略，并跟进落地上线；
包括但不限于游戏包装与推广、本地化&产品优化、游戏及用户研究、版本发布相关流程和各环节工作等; 
与相关团队密切合作，推动有效协作支持，保障产品的稳定运营，并有效评估相应的运营效果。",True
10,TEG01-产品经理,中国,深圳,产品,"你将有机会负责或参与服务腾讯用户的各类客服产品的策划与运营工作：
负责腾讯公司平台级客服产品，包括智能客服、生产力平台、自助平台门户；对外toB类SaaS产品腾讯云智服；风控类产品，大型、复杂系统的产品策划和运营，确保产品的可用性和易用性，以及核心运营目标的达成。
负责用户研究、需求挖掘和收集，不断分析用户在使用各类客服产品的痛点、以及用户在腾讯各类明星业务（游戏、支付、社交、帐号）上遇到的问题，为改进客服平台产品、优化业务服务流程&问题解决方案 提供专业的决策。
参与团队的专业化建设，如设计规范、流程建设，知识管理等，与团队一起不断提升专业能力。
",True
11,18432-产品运营经理 (深圳),中国,深圳,产品,"1、负责省份运营商具体对接与运营，针对不同省份运营商定制解决方案，设计针对性运营方案及漏斗优化，提升省份运营商业务转化；
2、负责通讯行业用户研究及画像构建，区分人群制定运营策略；
3、进行运营商创新性业务探索，负责合约终端、宽带续约等泛通讯业务的项目研究及策略制定；
4、运用数据分析工具，对平台活动效果进行监控与分析。

",True
12,27192-互娱用户与行业研究经理,中国,深圳,战略与投资,"1.负责腾讯游戏用户及行业研究，包括不限于行业/用户/相关的规模、画像、品类用户需求偏好、人群行为和态度等多种研究类型；
2.独立完成各个用研项目的方案设计，包括需求分析、研究目的和内容提炼、用研方法及运作方式设计，并实施及把控研究质量。
3.提炼相关的洞察成果，形成有指导意义的趋势建议，并提出策略
4.负责与外部供应商的日常沟通与管理，维护供应商关系。",True
13,22989-高级视觉设计师,中国,深圳,设计,"参与腾讯云用户研究及交互的方案讨论；
以用户体验为基础，通过视觉设计给以产品赋予情感化、同时满足易用性的产品体验；
参与腾讯云的产品和行业相关产品视觉设计工作，并持续优化设计上的细节；
为项目提供概念设计方案，完成客户提案，并推动方案的落地实施；
跟进工程师的页面视觉还原效果。
输出规范，保证生态合作伙伴和供应商输出质量。",True
14,22989-高级交互设计师,中国,深圳,设计,"1、参与腾讯云行业产品各个环节，业务调研，交互设计，最终输出界面原型。
2、负责产品的交互信息架构与任务流程等设计，依据业务需求提出有效设计方案保证产品的可用性，对最终落地的产品体验和效果负责；
3、提供概念设计方案，完成客户提案，并推动方案的落地实施和后续版本体验规划；
4、负责产品的可用性测试和评估提出改进方案，持续优化产品的用户体验。 
",True
15,15712-游戏高级交互设计师（深圳）,中国,深圳,设计,"负责游戏产品相关交互设计，保证产品的可用性和易用性；
基于游戏世界观为游戏产品提供流程的UI体验设计，为最终的产品体验和效果负责; 
参与游戏的用户研究，策划沟通，市场和运营沟通，并结合多方需求提供优秀的交互设计方案；
参与团队的专业化建设，提高团队专业水准。",True
16,15571-射击游戏系统策划（深圳）,中国,深圳,产品,"负责射击游戏的局外系统功能、UI、逻辑设计，跟进及上线后迭代工作；
负责射击游戏的活跃、商业化功能设计，跟进及数据分析工作；
负责跟进相关内容上线后的运营数据，通过运营数据和用户研究进行总结，并持续进行后续优化。",True
17,31967-海外直播平台交互设计师,中国,深圳,设计,"负责海外直播平台的多端交互设计，帮助团队了解海外用户、设计趋势及市场机会；
能够洞察解决用户痛点问题，输出优秀的交互原型以帮助用户研究及设计实现；
有效沟通设计和想法，让上下游同事理解认同你的设计想法，并推动方案落地；
制定设计规范和交互组件库，保证平台用户体验的统一；
",True
18,37088-游戏运营经理（深圳）,中国,深圳,产品,"负责对接外部合作伙伴，进行新产品的孵化、运营统筹工作；
根据游戏特色、用户特点、运营目标，制定游戏不同阶段的运营推广策略；
带领团队进行本地化、商业化及活动方案的跟进落实执行,并建立稳定合作关系；
包括但不限于游戏包装与推广、本地化&商业化&产品优化、用户&社区运营、游戏数据分析、内外部合作支持、游戏及用户研究等; 
基于对接的研发商的产品，提前规划对应的筹备、测试、预热、留存、回流等运营方案，并根据相应的调研、数据表现推动产品的优化、运营方案调整，保障产品的测试数据、上线表现和稳定运营，有效评估相应的运营效果; 
与相关团队密切合作，推动有效协作支持，保障运营各项事项的顺利开展； 
通过数据分析和市场研究，挖掘业务的持续增长点。
",True
19,25926-高级产品策划（深圳）,中国,深圳,产品,"负责腾讯游戏安全相关的产品、平台建设及运营；
相关功能、产品、平台的竞品分析，用户研究，产品体系的建设运营规划工作；
游戏安全功能、产品、平台的开发落地，常规运营，产品功能迭代优化；
",True
20,EC-交互设计师,中国,深圳,设计,"1、负责青少年教育创新产品的交互设计，保证产品最终的用户体验，包括WEB端和移动端。
2、了解与熟悉产品与市场，进行竞品分析，参与产品需求分析和目标制定，提出用户体验优秀的整体解决方案；
3、参与用户研究，结合可用性测试方法，关注用户反馈；
4、结合产品上线后数据的分析和评估，提出改进建议，持续优化用户体验。
",True
