job_title,job_country,job_city,job_category,job_responsibility,job_available
0,22989-CV计算机视觉组产品组长,中国,深圳,产品,1、负责计算机视觉相关AI产品的创新、规划和目标制定； 2、负责统筹策划、运营、推广及渠道等相关的全链条工作，并保证高效率高质量的项目执行； 3、负责团队成员的管理和培养，带领团队高效运转与合作，不断优化产品体验，提升产品质量。4、负责AI计算机视觉产品团队的日常管理，及产品策划管理工作,True
1,PCG19-腾讯视频计算机视觉算法高级工程师（深圳）,中国,深圳,技术,"负责图像、视频处理，分析和理解，包括但不限于大规模图像检索，图像分类，目标检测和分割;
负责图片、视频分析算法的研究和开发，包括但不限于图像/视频语义标签提取、多模态视频理解、大规模人脸识别、视频超分辨率、目标跟踪;
探索与根进前沿技术，推动计算机视觉算法和深度学习在实际应用领域的性能优化和落地。
",True
2,20503-优图计算机视觉算法研究员,中国,深圳,技术,"- 负责计算机视觉和深度学习核心算法的开发，涉及的主要问题包括但不限于视频分类、视频目标检测、时序动作检测等领域；
- 推进算法于实际业务的落地与关键应用，尤其在智能编目、智能拆条、短视频理解等方面。",True
3,20503-优图计算机视觉算法研究员,中国,深圳,技术,"- 负责计算机视觉和深度学习核心算法的开发，涉及的主要问题包括但不限于视频分类、视频目标检测、时序动作检测等领域；
- 推进算法于实际业务的落地与关键应用，尤其在智能编目、智能拆条、短视频理解等方面。",True
4,20503-优图计算机视觉算法研究员,中国,深圳,技术,"1. 负责图像分类，物体检测，道路分割，场景匹配等相关产品及项目的研发和落地；
2. 负责完成核心算法训练部署引擎的开发，测试，文档编写等等；",True
5,20503-优图计算机视觉算法研究总监,中国,深圳,技术,"1-负责带领团队进行图像分类、视频理解、3D重建等计算机视觉算法的研究，并推动算法应用落地；
2-负责预研探索近期几年会大规模兴起并有重要场景落地的AI新技术并推动落地 
3-保持对学术界最新研究动态跟踪，参与计算机视觉、机器学习等人工智能前沿的基础研究，帮助团队提升学术影响力，保持技术在工业界和学术界的领先。
",True
6,TEG03-计算机视觉算法高级研究员（深圳）,中国,深圳,技术,"1. 负责计算机视觉相关技术研究，包括视频/图像的处理、分析、理解，研究内容包括但不限于视频标签提取、目标跟踪、物体检测、文字识别、人脸识别、3D重建等；
2. 跟进计算机视觉和深度学习业界最新进展，领导相关技术的研发与工程实现，加速在业务场景（尤其是广告领域）的落地与优化；
3. 提出和优化最前沿的算法，保持算法在工业界和学术界的领先。",True
7,30361-计算机视觉算法高级研究员,中国,上海,技术,"1. 负责深度学习、图像理解、机器学习等前沿技术的研究，保持行业领先水平，持续突破技术上限；
2. 负责计算机视觉和深度学习算法的开发与性能提升，涉及到的主要问题包括但不限于：视频，图像精细化人景分离算法，体态识别，手势识别，物体追踪等； 
3. 提出和实现最前沿的算法，保持算法在工业界和学术界的领先。",True
8,WXG02-微信计算机视觉高级工程师（视频号）（北京/深圳/广州/成都）,中国,深圳,技术,负责微信视频号业务的视觉相关功能算法开发与应用，以及未来视频图片相关新业务的视觉功能研究和应用。,True
9,WXG02-微信计算机视觉高级工程师（视频号）（北京/深圳/广州/成都）,中国,北京,技术,负责微信视频号业务的视觉相关功能算法开发与应用，以及未来视频图片相关新业务的视觉功能研究和应用。,True
10,PCG22-计算机视觉算法研究员（深圳）,中国,深圳,技术,"负责创新项目相关产品图像/视频内容理解研究和业务落地；
涉及的主要技术包括但不限于：大规模视频内容分析和识别，标签和标题生成；语义分割；
多模态视频内容特征抽取；
实时视频召回，精选和推荐模型；
图像和视频的质量评测模型；
基于图像，视频内容的视频制作工具；
跟踪学术界和业界最新进展，推动计算机视觉算法和深度学习在众多实际应用领域的性能优化和落地。",True
11,31329-计算机视觉专家研究员（深圳）,中国,深圳,技术,"负责设计和开发与视频内容相关的理解，制作和分发算法，以及性能提升； 
结合业务需求进行数据洞察，算法调研，评测，优化，定制和创新；
跟踪学术界和业界最新进展，推动计算机视觉算法和深度学习在众多实际应用领域的性能优化和落地；
对于有创新和学术价值的工作，将其整理成文，并在顶级会议和期刊上与学界同行进行互动交流；
涉及的主要技术包括但不限于：
大规模视频分类，标签和标题生成；
多模态视频内容特征抽取；
实时视频召回，精选和推荐模型；
图像和视频的质量评测模型；
基于图像，视频内容的视频制作工具。
",True
12,31329-计算机视觉博士技术大咖（深圳）,中国,深圳,技术,"负责参与设计和开发与视频内容相关的理解，制作和分发算法，以及性能提升； 
结合业务需求进行数据洞察，算法调研，评测，优化，定制和创新； 
跟踪学术界和业界最新进展，推动计算机视觉算法和深度学习在众多实际应用领域的性能优化和落地； 
对于有创新和学术价值的工作，将其整理成文，并在顶级会议和期刊上与学界同行进行互动交流； 
涉及的主要技术包括但不限于： 
大规模视频分类，标签和标题生成； 
多模态视频内容特征抽取； 
实时视频召回，精选和推荐模型； 
图像和视频的质量评测模型； 
基于图像，视频内容的视频制作工具。",True
13,20503-优图计算机视觉研究员,中国,深圳,技术,"负责计算机视觉和深度学习基本算法的开发与性能提升，涉及的主要问题包括但不限于物体检测、分类、语义分割和图像处理等；工业AI的性能优化和落地；
提出和实现最前沿的算法，保持算法在工业界和学术界的领先。
",True
