job_title,job_country,job_city,job_category,job_responsibility,job_available
0,25923-运营开发工程师（深圳）,中国,深圳,技术,"1、负责腾讯手游加速器的后台系统开发和维护；
2、负责智营网优项目的后台开发支撑工作；
3、负责腾讯合作手游的技术运营类工作，包括日常业务运维，故障监控处理，运营工具的开发等。",True
1,TEG13-运营开发工程师（深圳）,中国,深圳,技术,"1、负责安全运营体系后台设计、规划；
2、负责安全运营体系相关子系统后台设计、开发、运营；
3、负责安全运营体系相关架构及框架开发、维护。",True
2,WXG07-广州研发部运营开发工程师（广州）,中国,广州,技术,负责部门内业务数据分析平台的建设，各产品业务数据分析、统计及报表的开发工作。,True
3,33851-海外游戏运营开发,中国,深圳,技术,"1. 负责海外游戏运营系统前端开发工作
2. 负责数据信息管理平台开发工作",True
4,WXG02-113 微信运营开发工程师（视频号）(广州/深圳）（广州）,中国,广州,技术,负责微信后台视频号基础功能及运营系统开发。,True
5,WXG02-113 微信运营开发工程师（视频号）(广州/深圳）（深圳）,中国,深圳,技术,负责微信后台视频号基础功能及运营系统开发。,True
6,25923-golang运营开发工程师（深圳）,中国,深圳,技术,"参与内部运营平台（资源平台，计算平台，运维平台）微服务化优化工作以及功能模块开发工作。负责服务模块需求分析，功能设计，功能开发；
解决平台开发过程中的高性能、高并发和高可靠性问题。",True
7,25925-运营开发工程师（深圳）,中国,深圳,技术,"负责用户平台部相关业务的后台开发；
负责心悦及部门后台技术架构选型，持续交付运营平台建设，基础组件开发，研发流程优化；
负责心悦平台产品需求分析，技术方案调研制定，和团队协作完成产品功能。",True
8,31871-运营开发高级工程师 ,中国,深圳,技术,"1、负责大规模服务器管理后台系统设计和研发；
2、负责服务器生产交付，质保等生命周期管理系统化建设和自动化运营；
3、对海量服务器数据分析与应用；
4、日常系统稳定高效运营。",True
9,27216-区块链平台运营开发工程师,中国,深圳,技术,"负责腾讯区块链运营平台设计与开发;
参与腾讯区块链运营平台安装部署与日常维护；
参与腾讯区块链应用平台的方案设计与技术实现；
负责公司内外合作伙伴及客户交流沟通；",True
10,22989-CDN运营开发工程师（腾讯全资子公司）,中国,长沙,技术,"负责腾讯云CDN运营支持系统的建设和研发工作，确保相关系统稳定可靠运行；
参与CDN运营系统的需求分析、评审、开发和数据运营工作，为计费/成工作决策提供数据支撑。",True
11,16810-腾讯动漫PHP运营开发工程师,中国,深圳,技术,"负责腾讯动漫移动端产品和网站的后台研发工作；
负责动漫平台数据系统的需求分析、架构设计、开发编码和优化升级工作；
推动平台技术更新，持续提升系统的性能、稳定性和开发效率。",True
12,22989-腾讯云块存储高级运营开发工程师（深圳）,中国,深圳,技术,"1.负责腾讯云块存储产品特性及运营平台系统的架构设计和开发，包括资源调度、运营分析系统、在离线策略系统的开发与维护；
2.通过海量数据分析处理、机器学习等相关技术，探索存储产品的调度及精细化运营。",True
