course_name,course_description
0,['【第4期】郑莉教授的C++编程训练营'],['\n\t\n\t\t我们为什么要学习C++？ \n\t\n\n\n\t1.\xa0人才需求大： \n\n\n\tC/C++ 语言虽然年头最老，但在世界语言排行榜中仍然稳居前列。据百度招聘数据显示，北京C++工程师招聘数量达11018个；据职友网数据显示，上海C/C++工程师招聘数量达51343个，人才需求数量极大（缺口大）。\n\n\n\t\n\n\n\t2.\xa0就业薪水高：\n所谓“物以稀为贵”，需求大又稀缺就是C++的核心竞争力，就意味着有很多高薪职位。据智联招聘数据不完全显示，北京C++工程师薪资基本上在10K以上。\n\n\n\t\n\n\n\t3.就业前景广：\nC/C++被称为“永不过时的开发语言”，应用特别广泛，无论是在PC、移动设备、网络、通讯、图像、游戏、硬件驱动、嵌入式等行业，都占据了足够大的市场份额，其稳定性及跨平台性远非其他编程语言能比。\n\n\n\t\n\n\n\t\n\t\t为什么要选择C++训练营？ \n\t\n\n\n\t\xa0√ 双师教学，深入浅出：\n清华大学郑莉教授携计算机系学霸助教团，用心打磨课程，深入浅出，使晦涩难懂的知识更容易学！\n\n\n\t√\xa0金牌助教，24h带练：\n每周1-2次习题课+1-2次知识串讲直播，24h内在线答疑、审验代码，1-2次直播，快狠准消灭“拦路虎”，清除盲点，不怕学不会！\n√\xa0海量题库，讲练结合：\n科学规划学习计划，200+个课程视频+近300道习题，讲练结合，循序渐进，让你不断巩固所学！\n√\xa0小班精学，全程督导：\n小班授课，小群互动，班主任日日陪伴，全程督学，关注你的点滴进步，比男朋友更懂你，不怕拖延症！\n√\xa0每周复盘，因材施教：\n每周组织1次阶段性测试，出具个性化学习报告，实时调整学习计划，找准疑难点，不错过任何一次进步的机会！\n√\xa0线上认证，权威靠谱：\n学堂在线将特别为完成课程学习和考核的学员颁发郑莉老师亲笔签名的训练营毕业证书，助力你的IT高薪之路！\n\n\n\t\n\t\t你将获得什么？ \n\t\n\n\n\t☑\xa0掌握一门永不过时、一通万通的编程语言！\n☑ 可获得专业、权威的结业证书，证明自己！\n☑ 优秀学员可获得高额奖学金，最高可减免学费！\n\n\n\t\n\t\t适合人群 \n\t\n\n①计算机专业的在校大学生\n②期望稳固编程基础的新手程序猿\n③试图学好却缺乏正确指点的学员\n④想学/转行却对编程语言一无所知的小白\n\n\t\n\n\n\t \n']
1,['【第3期】郑莉教授的C++编程训练营'],['\n\t\n\t\t我们为什么要学习C++？\n\t\n\n\n\t1.\xa0人才需求大： \n\n\n\tC/C++ 语言虽然年头最老，但在世界语言排行榜中仍然稳居前列。据百度招聘数据显示，北京C++工程师招聘数量达11018个；据职友网数据显示，上海C/C++工程师招聘数量达51343个，人才需求数量极大（缺口大）。\n\n\n\t\n\n\n\t2.\xa0就业薪水高：\n所谓“物以稀为贵”，需求大又稀缺就是C++的核心竞争力，就意味着有很多高薪职位。据智联招聘数据不完全显示，北京C++工程师薪资基本上在10K以上。\n\n\n\t\n\n\n\t3.就业前景广：\nC/C++被称为“永不过时的开发语言”，应用特别广泛，无论是在PC、移动设备、网络、通讯、图像、游戏、硬件驱动、嵌入式等行业，都占据了足够大的市场份额，其稳定性及跨平台性远非其他编程语言能比。\n\n\n\t\n\n\n\t\n\t\t为什么要选择C++训练营？\n\t\n\n\n\t\xa0√ 双师教学，深入浅出：\n清华大学郑莉教授携计算机系学霸助教团，用心打磨课程，深入浅出，使晦涩难懂的知识更容易学！\n\n\n\t√\xa0金牌助教，24h带练：\n每周1-2次习题课+1-2次知识串讲直播，24h内在线答疑、审验代码，1-2次直播，快狠准消灭“拦路虎”，清除盲点，不怕学不会！\n√\xa0海量题库，讲练结合：\n科学规划学习计划，200+个课程视频+近300道习题，讲练结合，循序渐进，让你不断巩固所学！\n√\xa0小班精学，全程督导：\n小班授课，小群互动，班主任日日陪伴，全程督学，关注你的点滴进步，比男朋友更懂你，不怕拖延症！\n√\xa0每周复盘，因材施教：\n每周组织1次阶段性测试，出具个性化学习报告，实时调整学习计划，找准疑难点，不错过任何一次进步的机会！\n√\xa0线上认证，权威靠谱：\n学堂在线将特别为完成课程学习和考核的学员颁发郑莉老师亲笔签名的训练营毕业证书，助力你的IT高薪之路！\n\n\n\t\n\t\t你将获得什么？\n\t\n\n\n\t☑\xa0掌握一门永不过时、一通万通的编程语言！\n☑ 可获得专业、权威的结业证书，证明自己！\n☑ 优秀学员可获得高额奖学金，最高可减免学费！\n\n\n\t\n\t\t适合人群 \n\t\n\n①计算机专业的在校大学生\n②期望稳固编程基础的新手程序猿\n③试图学好却缺乏正确指点的学员\n④想学/转行却对编程语言一无所知的小白\n\n\t\n\n\n\t \n']
2,['【第2期】郑莉教授的C++编程训练营'],['\n\t\n\t\t我们为什么要学习C++？ \n\t\n\n\n\t\n\n\n\t1.\xa0人才需求大： \n\n\n\tC/C++ 语言虽然年头最老，但在世界语言排行榜中仍然稳居前列。据百度招聘数据显示，北京C++工程师招聘数量达11018个；据职友网数据显示，上海C/C++工程师招聘数量达51343个，人才需求数量极大（缺口大）。\n\n\n\t\n\n\n\t2.\xa0就业薪水高：\n所谓“物以稀为贵”，需求大又稀缺就是C++的核心竞争力，就意味着有很多高薪职位。据智联招聘数据不完全显示，北京C++工程师薪资基本上在10K以上。\n\n\n\t\n\n\n\t3.就业前景广：\nC/C++被称为“永不过时的开发语言”，应用特别广泛，无论是在PC、移动设备、网络、通讯、图像、游戏、硬件驱动、嵌入式等行业，都占据了足够大的市场份额，其稳定性及跨平台性远非其他编程语言能比。\n\n\n\t\n\n\n\t\n\t\t0基础入门C++，5周逆袭大神 \n\t\n\n\n\t学堂在线特别联合清华大学计算机系郑莉教授一起打造“C++编程大神培养计划”，无论是0基础小白，还是有经验大牛，我们都将拿出十万分的热情助力那些入门C++却不知道怎么学、一直在学却学不会的深陷C++泥潭的童鞋一臂之力，完成小白到大神的完美逆袭，助力大家成为一名真正合格的C++工程师！\n\n\n\t\n\n\n\t双师教学，深入浅出：\n清华大学郑莉教授携计算机系学霸助教团，用心打磨课程，深入浅出，使晦涩难懂的知识更容易学！\n\n\n\t金牌助教，24h带练：\n每周1-2次习题课+1-2次知识串讲直播，24h内在线答疑、审验代码，1-2次直播，快狠准消灭“拦路虎”，清除盲点，不怕学不会！\n\n海量题库，讲练结合：\n科学规划学习计划，200+个课程视频+近300道习题，讲练结合，循序渐进，让你不断巩固所学！\n\n小班精学，全程督导：\n小班授课，小群互动，班主任日日陪伴，全程督学，关注你的点滴进步，比男朋友更懂你，不怕拖延症！\n\n\uf075每周复盘，因材施教：\n每周组织1次阶段性测试，出具个性化学习报告，实时调整学习计划，找准疑难点，不错过任何一次进步的机会！\n\n线上认证，权威靠谱：\n学堂在线将特别为完成课程学习和考核的学员颁发郑莉老师亲笔签名的训练营毕业证书，助力你的IT高薪之路！\n\n\n\t\n\n\n\t\n\t\t你将获得什么？ \n\t\n\n\n\t☑\xa0掌握一门永不过时、一通万通的编程语言！ \n\n\n\t☑\xa0掌握一门永不过时、一通万通的编程语言！\n☑ 可获得专业、权威的结业证书，证明自己！\n☑ 优秀学员可获得高额奖学金，最高可减免学费！\n\n\n\t☑ 优秀学员还可获得名企就业/实习内推机会，更有机会获得免试绿色通道！\n\n\n\t\n\n\n\t\n\t\t适合人群 \n\t\n\n①计算机专业的在校大学生\n②期望稳固编程基础的新手程序猿\n③试图学好却缺乏正确指点的学员\n④想学/转行却对编程语言一无所知的小白\n\n\t\n\n\n\t \n']
3,['【第1期】郑莉教授的C++编程训练营'],['\n\t\n\n\n\t\n\t\t我们为什么要学习C++？ \n\t\n\n\n\t\n\n\n\t\n \n\n\n\t1.\xa0人才需求大： \n\n\n\tC/C++ 语言虽然年头最老，但在世界语言排行榜中仍然稳居前列。据百度招聘数据显示，北京C++工程师招聘数量达11018个；据职友网数据显示，上海C/C++工程师招聘数量达51343个，人才需求数量极大（缺口大）。\n\n\n\t\n\n\n\t2.\xa0就业薪水高：\n所谓“物以稀为贵”，需求大又稀缺就是C++的核心竞争力，就意味着有很多高薪职位。据智联招聘数据不完全显示，北京C++工程师薪资基本上在10K以上。\n\n\n\t\n\n\n\t3.就业前景广：\n相较于其他编程语言，C++可从事的独有领域多：网络安全、算法实现、区块链、图形/视频/多媒体处理、反向代理、底层数据处理、物联网.....\n\n\n\t能做的领域也十分多：互联网、云计算、大数据、机器人、人工智能、大型游戏.....\n\n\n\t且C++可以与其他编程语言完美切换，无需担心被淘汰。\n\n\n\t\n\n\n\t\n\n\n\t\n\t\t0基础入门C++，5周逆袭大神 \n\t\n\n\n\t\n\n\n\t\n\n\n\t学堂在线特别联合清华大学计算机系郑莉教授一起打造“C++编程大神培养计划”，将助那些0基础入门C++却不知道怎么学、一直在学却学不会的深陷C++泥潭的童鞋一臂之力，完成小白到大神的完美逆袭，垒起高薪offer的筑基石！\n\n\n\t\n\n\n\t1.双师教学，不怕看不懂：\n清华大学计算机系郑莉教授沉淀几十年教学经验主讲近200个课程知识视频，金牌助教每周组织1-2次直播答疑、分享学C经验。\n\n2.在线伴学，不怕学不会：\n金牌助教全天候在线伴学，4h内快速响应，24h内批改作业、审验代码，快狠准消灭学习中的“拦路虎”，清除盲点。\n\n3.讲练结合，不怕不会用：\n针对课程内容的精编习题、测例丰富而经典，基于当期学员编程水平的大量解题练习，让你不断走出舒适区，突破自我。\n\n4.因材施教，不怕跟不上：\n每周组织阶段性测试、班会复盘，生成个性化学习报告，学习更具针对性，越来越爱学习，不放过任何一个小问题。\n\n5.全程督导，不怕拖延症：\n按学员当前编程水平划分班级，小群互助+班主任全程督学，关注你的点滴进步，比男朋友都还懂你，学习从未如此有趣哦！\n\n6.权威认证，不怕求职难： \n\n\n\t学堂在线将特别为完成课程学习和考核的学员颁发郑莉老师亲笔签名的训练营毕业证书，助力你的IT高薪之路！\n\n\n\t\n\n\n\t\n\n\n\t\n\t\t你将获得什么？ \n\t\n\n\n\t\n\n\n\t\n\n\n\t☑完成C++编程小白到大神的完美逆袭！\n☑可获得专业、权威的结业证书，证明自己！\n☑优秀学员可获得高额奖学金，最高可减免学费！\n\n\n\t☑优秀学员还可获得名企就业/实习内推机会，更有机会获得免试绿色通道！\n\n\n\t\n\n\n\t\n\t\t\n\t\t\t适合人群\n\t\t\n\t\n\n①计算机专业的在校大学生\n②期望稳固编程基础的新手程序猿\n③试图学好却缺乏正确指点的学员\n④想学/转行却对编程语言一无所知的小白\n\n\n\n\t \n']
4,['2016年清华大学研究生学位论文答辩（一）'],['\r\n\t学位论文答辩环节是研究生培养的重要环节，为了充分发挥该环节的育人作用，搭建学术交流的平台，进一步保障和提高研究生培养质量，清华大学研究生院从2014年开始，从申请学位的博士、硕士研究生中选取了部分具有代表性的学位论文答辩进行录像，并首次将答辩视频上传学堂在线，获得了社会各界的认可和积极反响。\r\n\r\n\r\n\t2016年，清华大学将继续这一形式，遴选不同专业的博士、硕士研究生的学位论文答辩视频，继续以MOOC形式共享呈现给大家，以使更多的人能够分享这些资源，搭建更为广阔的学术交流平台。\r\n\r\n\r\n\t如果这些视频能对您的学术研究有所帮助和启发，则是我们十分期待并愿意看到的事。\r\n']
5,['2016年清华大学研究生学位论文答辩（二）'],['\r\n\t学位论文答辩环节是研究生培养的重要环节，为了充分发挥该环节的育人作用，搭建学术交流的平台，进一步保障和提高研究生培养质量，清华大学研究生院从2014年开始，从申请学位的博士、硕士研究生中选取了部分具有代表性的学位论文答辩进行录像，并首次将答辩视频上传学堂在线，获得了社会各界的认可和积极反响。\r\n\r\n\r\n\t2015年，清华大学将继续这一形式，遴选不同专业的博士、硕士研究生的学位论文答辩视频，继续以MOOC形式共享呈现给大家，以使更多的人能够分享这些资源，搭建更为广阔的学术交流平台。\r\n\r\n\r\n\t如果这些视频能对您的学术研究有所帮助和启发，则是我们十分期待并愿意看到的事。\r\n']
6,['2015年清华大学研究生学位论文答辩（一）'],['学位论文答辩环节是研究生培养的重要环节，为了充分发挥该环节的育人作用，搭建学术交流的平台，进一步保障和提高研究生培养质量，清华大学研究生院从2014年开始，从申请学位的博士、硕士研究生中选取了部分具有代表性的学位论文答辩进行录像，并首次将答辩视频上传学堂在线，获得了社会各界的认可和积极反响。2015年，清华大学将继续这一形式，遴选不同专业的博士、硕士研究生的学位论文答辩视频，继续以MOOC形式共享呈现给大家，以使更多的人能够分享这些资源，搭建更为广阔的学术交流平台。如果这些视频能对您的学术研究有所帮助和启发，则是我们十分期待并愿意看到的事。']
7,['2015年清华大学研究生学位论文答辩（二）'],['学位论文答辩环节是研究生培养的重要环节，为了充分发挥该环节的育人作用，搭建学术交流的平台，进一步保障和提高研究生培养质量，清华大学研究生院从2014年开始，从申请学位的博士、硕士研究生中选取了部分具有代表性的学位论文答辩进行录像，并首次将答辩视频上传学堂在线，获得了社会各界的认可和积极反响。2015年，清华大学将继续这一形式，遴选不同专业的博士、硕士研究生的学位论文答辩视频，继续以MOOC形式共享呈现给大家，以使更多的人能够分享这些资源，搭建更为广阔的学术交流平台。如果这些视频能对您的学术研究有所帮助和启发，则是我们十分期待并愿意看到的事。']
8,['2014年清华大学研究生学位论文答辩（一）'],['学位论文答辩环节是研究生培养的重要环节，为了充分发挥该环节的育人作用，搭建学术交流的平台，进一步保障和提高研究生培养质量，清华大学研究生院从2014年春季学期申请学位的博士、硕士研究生中选取了部分具有代表性的学位论文答辩进行录像，并首次将答辩视频上传学堂在线，以使更多的人能够分享这些资源，搭建更为广阔的学术交流平台。\r\n本学期将会有来自经管学院、五道口金融学院、化学系、马克思主义学院、建筑学院、人文学院、交叉信息研究院、航天航空学院、计算机系、工程物理系、自动化系、物理系、新闻学院等不同院系的二十余名博士、硕士研究生的学位论文答辩视频，涵盖十余个学科。\r\n如果这些视频能对您的学术研究有所帮助和启发，则是我们十分期待并愿意看到的事。']
9,['2017年清华大学研究生学位论文答辩（一）'],['\r\n\t学位论文答辩环节是研究生培养的重要环节，为了充分发挥该环节的育人作用，搭建学术交流的平台，进一步保障和提高研究生培养质量，清华大学研究生院从2014年开始，从申请学位的博士、硕士研究生中选取了部分具有代表性的学位论文答辩进行录像，并首次将答辩视频上传学堂在线，获得了社会各界的认可和积极反响。\r\n\r\n\r\n\t2017年，清华大学继续这一形式，遴选不同专业的博士、硕士研究生的学位论文答辩视频，继续以MOOC形式共享呈现给大家，以使更多的人能够分享这些资源，搭建更为广阔的学术交流平台。\r\n\r\n\r\n\t如果这些视频能对您的学术研究有所帮助和启发，则是我们十分期待并愿意看到的事。\r\n']
