Course_Name,Course_Description,Course_Keywords_List
【第4期】郑莉教授的C++编程训练营,"
	
		我们为什么要学习C++？ 
	


	1. 人才需求大： 


	C/C++ 语言虽然年头最老，但在世界语言排行榜中仍然稳居前列。据百度招聘数据显示，北京C++工程师招聘数量达11018个；据职友网数据显示，上海C/C++工程师招聘数量达51343个，人才需求数量极大（缺口大）。


	


	2. 就业薪水高：
所谓“物以稀为贵”，需求大又稀缺就是C++的核心竞争力，就意味着有很多高薪职位。据智联招聘数据不完全显示，北京C++工程师薪资基本上在10K以上。


	


	3.就业前景广：
C/C++被称为“永不过时的开发语言”，应用特别广泛，无论是在PC、移动设备、网络、通讯、图像、游戏、硬件驱动、嵌入式等行业，都占据了足够大的市场份额，其稳定性及跨平台性远非其他编程语言能比。


	


	
		为什么要选择C++训练营？ 
	


	 √ 双师教学，深入浅出：
清华大学郑莉教授携计算机系学霸助教团，用心打磨课程，深入浅出，使晦涩难懂的知识更容易学！


	√ 金牌助教，24h带练：
每周1-2次习题课+1-2次知识串讲直播，24h内在线答疑、审验代码，1-2次直播，快狠准消灭“拦路虎”，清除盲点，不怕学不会！
√ 海量题库，讲练结合：
科学规划学习计划，200+个课程视频+近300道习题，讲练结合，循序渐进，让你不断巩固所学！
√ 小班精学，全程督导：
小班授课，小群互动，班主任日日陪伴，全程督学，关注你的点滴进步，比男朋友更懂你，不怕拖延症！
√ 每周复盘，因材施教：
每周组织1次阶段性测试，出具个性化学习报告，实时调整学习计划，找准疑难点，不错过任何一次进步的机会！
√ 线上认证，权威靠谱：
学堂在线将特别为完成课程学习和考核的学员颁发郑莉老师亲笔签名的训练营毕业证书，助力你的IT高薪之路！


	
		你将获得什么？ 
	


	☑ 掌握一门永不过时、一通万通的编程语言！
☑ 可获得专业、权威的结业证书，证明自己！
☑ 优秀学员可获得高额奖学金，最高可减免学费！


	
		适合人群 
	

①计算机专业的在校大学生
②期望稳固编程基础的新手程序猿
③试图学好却缺乏正确指点的学员
④想学/转行却对编程语言一无所知的小白

	


	 
","['10k', '24h', 'it', 'pc', '一无所知', '一次', '一通', '一门', '万通', '上海', '不会', '不怕', '不断', '不错', '专业', '世界', '个性化', '串讲', '为什么', '习题', '习题课', '互动', '亲笔签名', '人才需求', '人群', '什么', '仍然', '代码', '以上', '任何', '优秀', '全程', '关注', '其他', '减免', '出具', '前列', '前景', '助力', '助教', '北京', '占据', '双师', '因材施教', '图像', '在校', '在线', '基本上', '基础', '复盘', '大学生', '奖学金', '学习', '学员', '学堂', '学好', '学费', '学霸', '完全', '完成', '实时', '审验', '容易', '小班', '小白', '小群', '就业', '就是', '嵌入式', '工程师', '巩固', '市场份额', '带练', '年头', '广泛', '应用', '开发', '很多', '循序渐进', '快狠准', '意味着', '我们', '所学', '所谓', '打磨', '找准', '报告', '拖延', '招聘', '拦路虎', '指点', '授课', '掌握', '排行榜', '教学', '教授', '数据', '数量', '新手', '无论是', '日日', '显示', '晦涩', '智联', '最老', '最高', '期望', '机会', '权威', '极大', '核心', '正确', '每周', '毕业证书', '永不', '测试', '海量', '消灭', '深入浅出', '清华大学', '清除', '游戏', '点滴', '物以稀为贵', '特别', '班主任', '用心', '男朋友', '疑难', '百度', '盲点', '直播', '督学', '督导', '知识', '硬件', '科学', '称为', '移动', '稀缺', '程序', '稳固', '稳定性', '稳居', '竞争力', '答疑', '精学', '线上', '组织', '结业证书', '结合', '编程', '编程语言', '缺乏', '缺口', '网络', '老师', '考核', '职位', '职友网', '能比', '自己', '获得', '薪水', '薪资', '虽然', '行业', '规划', '视频', '计划', '计算机专业', '计算机系', '认证', '训练营', '讲练', '设备', '证明', '试图', '语言', '课程', '调整', '足够', '跨平台', '转行', '过时', '进步', '远非', '适合', '选择', '通讯', '郑莉', '金牌', '阶段性', '陪伴', '难懂', '需求', '颁发', '题库', '驱动', '高薪', '高额']"
【第3期】郑莉教授的C++编程训练营,"
	
		我们为什么要学习C++？
	


	1. 人才需求大： 


	C/C++ 语言虽然年头最老，但在世界语言排行榜中仍然稳居前列。据百度招聘数据显示，北京C++工程师招聘数量达11018个；据职友网数据显示，上海C/C++工程师招聘数量达51343个，人才需求数量极大（缺口大）。


	


	2. 就业薪水高：
所谓“物以稀为贵”，需求大又稀缺就是C++的核心竞争力，就意味着有很多高薪职位。据智联招聘数据不完全显示，北京C++工程师薪资基本上在10K以上。


	


	3.就业前景广：
C/C++被称为“永不过时的开发语言”，应用特别广泛，无论是在PC、移动设备、网络、通讯、图像、游戏、硬件驱动、嵌入式等行业，都占据了足够大的市场份额，其稳定性及跨平台性远非其他编程语言能比。


	


	
		为什么要选择C++训练营？
	


	 √ 双师教学，深入浅出：
清华大学郑莉教授携计算机系学霸助教团，用心打磨课程，深入浅出，使晦涩难懂的知识更容易学！


	√ 金牌助教，24h带练：
每周1-2次习题课+1-2次知识串讲直播，24h内在线答疑、审验代码，1-2次直播，快狠准消灭“拦路虎”，清除盲点，不怕学不会！
√ 海量题库，讲练结合：
科学规划学习计划，200+个课程视频+近300道习题，讲练结合，循序渐进，让你不断巩固所学！
√ 小班精学，全程督导：
小班授课，小群互动，班主任日日陪伴，全程督学，关注你的点滴进步，比男朋友更懂你，不怕拖延症！
√ 每周复盘，因材施教：
每周组织1次阶段性测试，出具个性化学习报告，实时调整学习计划，找准疑难点，不错过任何一次进步的机会！
√ 线上认证，权威靠谱：
学堂在线将特别为完成课程学习和考核的学员颁发郑莉老师亲笔签名的训练营毕业证书，助力你的IT高薪之路！


	
		你将获得什么？
	


	☑ 掌握一门永不过时、一通万通的编程语言！
☑ 可获得专业、权威的结业证书，证明自己！
☑ 优秀学员可获得高额奖学金，最高可减免学费！


	
		适合人群 
	

①计算机专业的在校大学生
②期望稳固编程基础的新手程序猿
③试图学好却缺乏正确指点的学员
④想学/转行却对编程语言一无所知的小白

	


	 
","['10k', '24h', 'it', 'pc', '一无所知', '一次', '一通', '一门', '万通', '上海', '不会', '不怕', '不断', '不错', '专业', '世界', '个性化', '串讲', '为什么', '习题', '习题课', '互动', '亲笔签名', '人才需求', '人群', '什么', '仍然', '代码', '以上', '任何', '优秀', '全程', '关注', '其他', '减免', '出具', '前列', '前景', '助力', '助教', '北京', '占据', '双师', '因材施教', '图像', '在校', '在线', '基本上', '基础', '复盘', '大学生', '奖学金', '学习', '学员', '学堂', '学好', '学费', '学霸', '完全', '完成', '实时', '审验', '容易', '小班', '小白', '小群', '就业', '就是', '嵌入式', '工程师', '巩固', '市场份额', '带练', '年头', '广泛', '应用', '开发', '很多', '循序渐进', '快狠准', '意味着', '我们', '所学', '所谓', '打磨', '找准', '报告', '拖延', '招聘', '拦路虎', '指点', '授课', '掌握', '排行榜', '教学', '教授', '数据', '数量', '新手', '无论是', '日日', '显示', '晦涩', '智联', '最老', '最高', '期望', '机会', '权威', '极大', '核心', '正确', '每周', '毕业证书', '永不', '测试', '海量', '消灭', '深入浅出', '清华大学', '清除', '游戏', '点滴', '物以稀为贵', '特别', '班主任', '用心', '男朋友', '疑难', '百度', '盲点', '直播', '督学', '督导', '知识', '硬件', '科学', '称为', '移动', '稀缺', '程序', '稳固', '稳定性', '稳居', '竞争力', '答疑', '精学', '线上', '组织', '结业证书', '结合', '编程', '编程语言', '缺乏', '缺口', '网络', '老师', '考核', '职位', '职友网', '能比', '自己', '获得', '薪水', '薪资', '虽然', '行业', '规划', '视频', '计划', '计算机专业', '计算机系', '认证', '训练营', '讲练', '设备', '证明', '试图', '语言', '课程', '调整', '足够', '跨平台', '转行', '过时', '进步', '远非', '适合', '选择', '通讯', '郑莉', '金牌', '阶段性', '陪伴', '难懂', '需求', '颁发', '题库', '驱动', '高薪', '高额']"
【第2期】郑莉教授的C++编程训练营,"
	
		我们为什么要学习C++？ 
	


	


	1. 人才需求大： 


	C/C++ 语言虽然年头最老，但在世界语言排行榜中仍然稳居前列。据百度招聘数据显示，北京C++工程师招聘数量达11018个；据职友网数据显示，上海C/C++工程师招聘数量达51343个，人才需求数量极大（缺口大）。


	


	2. 就业薪水高：
所谓“物以稀为贵”，需求大又稀缺就是C++的核心竞争力，就意味着有很多高薪职位。据智联招聘数据不完全显示，北京C++工程师薪资基本上在10K以上。


	


	3.就业前景广：
C/C++被称为“永不过时的开发语言”，应用特别广泛，无论是在PC、移动设备、网络、通讯、图像、游戏、硬件驱动、嵌入式等行业，都占据了足够大的市场份额，其稳定性及跨平台性远非其他编程语言能比。


	


	
		0基础入门C++，5周逆袭大神 
	


	学堂在线特别联合清华大学计算机系郑莉教授一起打造“C++编程大神培养计划”，无论是0基础小白，还是有经验大牛，我们都将拿出十万分的热情助力那些入门C++却不知道怎么学、一直在学却学不会的深陷C++泥潭的童鞋一臂之力，完成小白到大神的完美逆袭，助力大家成为一名真正合格的C++工程师！


	


	双师教学，深入浅出：
清华大学郑莉教授携计算机系学霸助教团，用心打磨课程，深入浅出，使晦涩难懂的知识更容易学！


	金牌助教，24h带练：
每周1-2次习题课+1-2次知识串讲直播，24h内在线答疑、审验代码，1-2次直播，快狠准消灭“拦路虎”，清除盲点，不怕学不会！

海量题库，讲练结合：
科学规划学习计划，200+个课程视频+近300道习题，讲练结合，循序渐进，让你不断巩固所学！

小班精学，全程督导：
小班授课，小群互动，班主任日日陪伴，全程督学，关注你的点滴进步，比男朋友更懂你，不怕拖延症！

每周复盘，因材施教：
每周组织1次阶段性测试，出具个性化学习报告，实时调整学习计划，找准疑难点，不错过任何一次进步的机会！

线上认证，权威靠谱：
学堂在线将特别为完成课程学习和考核的学员颁发郑莉老师亲笔签名的训练营毕业证书，助力你的IT高薪之路！


	


	
		你将获得什么？ 
	


	☑ 掌握一门永不过时、一通万通的编程语言！ 


	☑ 掌握一门永不过时、一通万通的编程语言！
☑ 可获得专业、权威的结业证书，证明自己！
☑ 优秀学员可获得高额奖学金，最高可减免学费！


	☑ 优秀学员还可获得名企就业/实习内推机会，更有机会获得免试绿色通道！


	


	
		适合人群 
	

①计算机专业的在校大学生
②期望稳固编程基础的新手程序猿
③试图学好却缺乏正确指点的学员
④想学/转行却对编程语言一无所知的小白

	


	 
","['10k', '24h', 'it', 'pc', '一名', '一无所知', '一次', '一直', '一臂之力', '一起', '一通', '一门', '万通', '上海', '不会', '不怕', '不断', '不错', '专业', '世界', '个性化', '串讲', '为什么', '习题', '习题课', '互动', '亲笔签名', '人才需求', '人群', '什么', '仍然', '代码', '以上', '任何', '优秀', '免试', '入门', '全程', '关注', '其他', '减免', '出具', '前列', '前景', '助力', '助教', '北京', '十万分', '占据', '却学', '双师', '合格', '名企', '周逆袭', '因材施教', '图像', '在校', '在线', '培养', '基本上', '基础', '复盘', '大学生', '大家', '大牛', '大神', '奖学金', '学习', '学员', '学堂', '学好', '学费', '学霸', '完全', '完成', '完美', '实习', '实时', '审验', '容易', '小班', '小白', '小白到', '小群', '就业', '就是', '嵌入式', '工程师', '巩固', '市场份额', '带练', '年头', '广泛', '应用', '开发', '很多', '循序渐进', '快狠准', '怎么', '意味着', '成为', '我们', '所学', '所谓', '打磨', '打造', '找准', '报告', '拖延', '招聘', '拦路虎', '拿出', '指点', '授课', '掌握', '排行榜', '教学', '教授', '数据', '数量', '新手', '无论是', '日日', '显示', '晦涩', '智联', '最老', '最高', '期望', '机会', '权威', '极大', '核心', '正确', '每周', '毕业证书', '永不', '泥潭', '测试', '海量', '消灭', '深入浅出', '深陷', '清华大学', '清除', '游戏', '点滴', '热情', '物以稀为贵', '特别', '班主任', '用心', '男朋友', '疑难', '百度', '盲点', '直播', '真正', '督学', '督导', '知识', '知道', '硬件', '科学', '称为', '移动', '稀缺', '程序', '稳固', '稳定性', '稳居', '竞争力', '童鞋', '答疑', '精学', '线上', '组织', '经验', '结业证书', '结合', '绿色通道', '编程', '编程语言', '缺乏', '缺口', '网络', '老师', '考核', '职位', '职友网', '联合', '能比', '自己', '获得', '薪水', '薪资', '虽然', '行业', '规划', '视频', '计划', '计算机专业', '计算机系', '认证', '训练营', '讲练', '设备', '证明', '试图', '语言', '课程', '调整', '足够', '跨平台', '转行', '过时', '还是', '进步', '远非', '适合', '逆袭', '通讯', '那些', '郑莉', '金牌', '阶段性', '陪伴', '难懂', '需求', '颁发', '题库', '驱动', '高薪', '高额']"
【第1期】郑莉教授的C++编程训练营,"
	


	
		我们为什么要学习C++？ 
	


	


	
 


	1. 人才需求大： 


	C/C++ 语言虽然年头最老，但在世界语言排行榜中仍然稳居前列。据百度招聘数据显示，北京C++工程师招聘数量达11018个；据职友网数据显示，上海C/C++工程师招聘数量达51343个，人才需求数量极大（缺口大）。


	


	2. 就业薪水高：
所谓“物以稀为贵”，需求大又稀缺就是C++的核心竞争力，就意味着有很多高薪职位。据智联招聘数据不完全显示，北京C++工程师薪资基本上在10K以上。


	


	3.就业前景广：
相较于其他编程语言，C++可从事的独有领域多：网络安全、算法实现、区块链、图形/视频/多媒体处理、反向代理、底层数据处理、物联网.....


	能做的领域也十分多：互联网、云计算、大数据、机器人、人工智能、大型游戏.....


	且C++可以与其他编程语言完美切换，无需担心被淘汰。


	


	


	
		0基础入门C++，5周逆袭大神 
	


	


	


	学堂在线特别联合清华大学计算机系郑莉教授一起打造“C++编程大神培养计划”，将助那些0基础入门C++却不知道怎么学、一直在学却学不会的深陷C++泥潭的童鞋一臂之力，完成小白到大神的完美逆袭，垒起高薪offer的筑基石！


	


	1.双师教学，不怕看不懂：
清华大学计算机系郑莉教授沉淀几十年教学经验主讲近200个课程知识视频，金牌助教每周组织1-2次直播答疑、分享学C经验。

2.在线伴学，不怕学不会：
金牌助教全天候在线伴学，4h内快速响应，24h内批改作业、审验代码，快狠准消灭学习中的“拦路虎”，清除盲点。

3.讲练结合，不怕不会用：
针对课程内容的精编习题、测例丰富而经典，基于当期学员编程水平的大量解题练习，让你不断走出舒适区，突破自我。

4.因材施教，不怕跟不上：
每周组织阶段性测试、班会复盘，生成个性化学习报告，学习更具针对性，越来越爱学习，不放过任何一个小问题。

5.全程督导，不怕拖延症：
按学员当前编程水平划分班级，小群互助+班主任全程督学，关注你的点滴进步，比男朋友都还懂你，学习从未如此有趣哦！

6.权威认证，不怕求职难： 


	学堂在线将特别为完成课程学习和考核的学员颁发郑莉老师亲笔签名的训练营毕业证书，助力你的IT高薪之路！


	


	


	
		你将获得什么？ 
	


	


	


	☑完成C++编程小白到大神的完美逆袭！
☑可获得专业、权威的结业证书，证明自己！
☑优秀学员可获得高额奖学金，最高可减免学费！


	☑优秀学员还可获得名企就业/实习内推机会，更有机会获得免试绿色通道！


	


	
		
			适合人群
		
	

①计算机专业的在校大学生
②期望稳固编程基础的新手程序猿
③试图学好却缺乏正确指点的学员
④想学/转行却对编程语言一无所知的小白



	 
","['10k', '24h', '4h', 'it', 'offer', '一个', '一无所知', '一直', '一臂之力', '一起', '上海', '不会', '不怕', '不放过', '不断', '专业', '世界', '个性化', '丰富', '为什么', '主讲', '习题', '互助', '互联网', '亲笔签名', '人工智能', '人才需求', '人群', '什么', '仍然', '从事', '从未', '代理', '代码', '以上', '任何', '优秀', '伴学', '免试', '入门', '全天候', '全程', '关注', '其他', '减免', '几十年', '分享', '切换', '划分', '前列', '前景', '助力', '助教', '北京', '区块', '十分', '却学', '双师', '反向', '可以', '名企', '周逆袭', '响应', '因材施教', '图形', '在校', '在线', '培养', '基于', '基本上', '基石', '基础', '处理', '复盘', '多媒体', '大型', '大学生', '大神', '大量', '奖学金', '如此', '学习', '学员', '学堂', '学好', '学费', '完全', '完成', '完美', '实习', '实现', '审验', '将助', '小白', '小白到', '小群', '就业', '就是', '工程师', '年头', '底层', '当前', '当期', '很多', '快狠准', '快速', '怎么', '意味着', '我们', '所谓', '打造', '批改作业', '报告', '担心', '拖延', '招聘', '拦路虎', '指点', '排行榜', '教学', '教授', '数据', '数据处理', '数量', '新手', '无需', '显示', '智联', '更具', '最老', '最高', '有趣', '期望', '机会', '机器人', '权威', '权威认证', '极大', '核心', '正确', '每周', '毕业证书', '水平', '求职难', '沉淀', '泥潭', '测例', '测试', '消灭', '淘汰', '深陷', '清华大学', '清除', '游戏', '点滴', '物以稀为贵', '特别', '独有', '班主任', '班会', '班级', '生成', '男朋友', '百度', '盲点', '直播', '相较', '看不懂', '督学', '督导', '知识', '知道', '稀缺', '程序', '稳固', '稳居', '突破', '竞争力', '童鞋', '答疑', '算法', '精编', '练习', '组织', '经典', '经验', '结业证书', '结合', '绿色通道', '编程', '编程语言', '缺乏', '缺口', '网络安全', '老师', '考核', '职位', '职友网', '联合', '联网', '自己', '自我', '舒适', '获得', '薪水', '薪资', '虽然', '视频', '解题', '计划', '计算', '计算机专业', '计算机系', '训练营', '讲练', '证明', '试图', '语言', '课程', '课程内容', '走出', '越来越', '跟不上', '转行', '进步', '适合', '逆袭', '那些', '郑莉', '金牌', '针对', '针对性', '问题', '阶段性', '需求', '颁发', '领域', '高薪', '高额']"
2016年清华大学研究生学位论文答辩（一）,"
	学位论文答辩环节是研究生培养的重要环节，为了充分发挥该环节的育人作用，搭建学术交流的平台，进一步保障和提高研究生培养质量，清华大学研究生院从2014年开始，从申请学位的博士、硕士研究生中选取了部分具有代表性的学位论文答辩进行录像，并首次将答辩视频上传学堂在线，获得了社会各界的认可和积极反响。


	2016年，清华大学将继续这一形式，遴选不同专业的博士、硕士研究生的学位论文答辩视频，继续以MOOC形式共享呈现给大家，以使更多的人能够分享这些资源，搭建更为广阔的学术交流平台。


	如果这些视频能对您的学术研究有所帮助和启发，则是我们十分期待并愿意看到的事。
","['mooc', '上传', '不同', '专业', '为了', '代表性', '以使', '作用', '保障', '充分发挥', '共享', '具有', '分享', '十分', '博士', '反响', '启发', '呈现', '在线', '培养', '大家', '如果', '学位', '学堂', '学术交流', '学术研究', '帮助', '平台', '广阔', '开始', '录像', '形式', '愿意', '我们', '提高', '搭建', '更为', '有所', '期待', '清华大学', '环节', '申请', '看到', '研究生', '研究生院', '硕士', '社会各界', '积极', '答辩', '继续', '育人', '能够', '获得', '视频', '认可', '论文答辩', '质量', '资源', '这一', '这些', '进一步', '进行', '选取', '遴选', '部分', '重要环节', '首次']"
2015年清华大学研究生学位论文答辩（二）,学位论文答辩环节是研究生培养的重要环节，为了充分发挥该环节的育人作用，搭建学术交流的平台，进一步保障和提高研究生培养质量，清华大学研究生院从2014年开始，从申请学位的博士、硕士研究生中选取了部分具有代表性的学位论文答辩进行录像，并首次将答辩视频上传学堂在线，获得了社会各界的认可和积极反响。2015年，清华大学将继续这一形式，遴选不同专业的博士、硕士研究生的学位论文答辩视频，继续以MOOC形式共享呈现给大家，以使更多的人能够分享这些资源，搭建更为广阔的学术交流平台。如果这些视频能对您的学术研究有所帮助和启发，则是我们十分期待并愿意看到的事。,"['mooc', '上传', '不同', '专业', '为了', '代表性', '以使', '作用', '保障', '充分发挥', '共享', '具有', '分享', '十分', '博士', '反响', '启发', '呈现', '在线', '培养', '大家', '如果', '学位', '学堂', '学术交流', '学术研究', '帮助', '平台', '广阔', '开始', '录像', '形式', '愿意', '我们', '提高', '搭建', '更为', '有所', '期待', '清华大学', '环节', '申请', '看到', '研究生', '研究生院', '硕士', '社会各界', '积极', '答辩', '继续', '育人', '能够', '获得', '视频', '认可', '论文答辩', '质量', '资源', '这一', '这些', '进一步', '进行', '选取', '遴选', '部分', '重要环节', '首次']"
2017年清华大学研究生学位论文答辩（一）,"
	学位论文答辩环节是研究生培养的重要环节，为了充分发挥该环节的育人作用，搭建学术交流的平台，进一步保障和提高研究生培养质量，清华大学研究生院从2014年开始，从申请学位的博士、硕士研究生中选取了部分具有代表性的学位论文答辩进行录像，并首次将答辩视频上传学堂在线，获得了社会各界的认可和积极反响。


	2017年，清华大学继续这一形式，遴选不同专业的博士、硕士研究生的学位论文答辩视频，继续以MOOC形式共享呈现给大家，以使更多的人能够分享这些资源，搭建更为广阔的学术交流平台。


	如果这些视频能对您的学术研究有所帮助和启发，则是我们十分期待并愿意看到的事。
","['mooc', '上传', '不同', '专业', '为了', '代表性', '以使', '作用', '保障', '充分发挥', '共享', '具有', '分享', '十分', '博士', '反响', '启发', '呈现', '在线', '培养', '大家', '如果', '学位', '学堂', '学术交流', '学术研究', '帮助', '平台', '广阔', '开始', '录像', '形式', '愿意', '我们', '提高', '搭建', '更为', '有所', '期待', '清华大学', '环节', '申请', '看到', '研究生', '研究生院', '硕士', '社会各界', '积极', '答辩', '继续', '育人', '能够', '获得', '视频', '认可', '论文答辩', '质量', '资源', '这一', '这些', '进一步', '进行', '选取', '遴选', '部分', '重要环节', '首次']"
2014年清华大学研究生学位论文答辩（二）,"学位论文答辩环节是研究生培养的重要环节，为了充分发挥该环节的育人作用，搭建学术交流的平台，进一步保障和提高研究生培养质量，清华大学研究生院从2014年春季学期申请学位的博士、硕士研究生中选取了部分具有代表性的学位论文答辩进行录像，并首次将答辩视频上传学堂在线，以使更多的人能够分享这些资源，搭建更为广阔的学术交流平台。
本学期将会有来自经管学院、五道口金融学院、化学系、马克思主义学院、建筑学院、人文学院、交叉信息研究院、航天航空学院、计算机系、工程物理系、自动化系、物理系、新闻学院等不同院系的二十余名博士、硕士研究生的学位论文答辩视频，涵盖十余个学科。
如果这些视频能对您的学术研究有所帮助和启发，则是我们十分期待并愿意看到的事。","['上传', '不同', '为了', '二十余名', '五道口', '交叉', '人文学院', '代表性', '以使', '作用', '保障', '信息', '充分发挥', '具有', '分享', '化学系', '十余个', '十分', '博士', '启发', '在线', '培养', '如果', '学位', '学堂', '学期', '学术交流', '学术研究', '学科', '学院', '将会', '工程', '帮助', '平台', '广阔', '建筑', '录像', '愿意', '我们', '提高', '搭建', '新闻', '春季', '更为', '有所', '期待', '本学期', '来自', '涵盖', '清华大学', '物理系', '环节', '申请', '看到', '研究生', '研究生院', '研究院', '硕士', '答辩', '经管', '育人', '能够', '自动化系', '航天航空', '视频', '计算机系', '论文答辩', '质量', '资源', '这些', '进一步', '进行', '选取', '部分', '重要环节', '金融', '院系', '首次', '马克思主义']"
2016年清华大学研究生学位论文答辩（二）,"
	学位论文答辩环节是研究生培养的重要环节，为了充分发挥该环节的育人作用，搭建学术交流的平台，进一步保障和提高研究生培养质量，清华大学研究生院从2014年开始，从申请学位的博士、硕士研究生中选取了部分具有代表性的学位论文答辩进行录像，并首次将答辩视频上传学堂在线，获得了社会各界的认可和积极反响。


	2015年，清华大学将继续这一形式，遴选不同专业的博士、硕士研究生的学位论文答辩视频，继续以MOOC形式共享呈现给大家，以使更多的人能够分享这些资源，搭建更为广阔的学术交流平台。


	如果这些视频能对您的学术研究有所帮助和启发，则是我们十分期待并愿意看到的事。
","['mooc', '上传', '不同', '专业', '为了', '代表性', '以使', '作用', '保障', '充分发挥', '共享', '具有', '分享', '十分', '博士', '反响', '启发', '呈现', '在线', '培养', '大家', '如果', '学位', '学堂', '学术交流', '学术研究', '帮助', '平台', '广阔', '开始', '录像', '形式', '愿意', '我们', '提高', '搭建', '更为', '有所', '期待', '清华大学', '环节', '申请', '看到', '研究生', '研究生院', '硕士', '社会各界', '积极', '答辩', '继续', '育人', '能够', '获得', '视频', '认可', '论文答辩', '质量', '资源', '这一', '这些', '进一步', '进行', '选取', '遴选', '部分', '重要环节', '首次']"
2015年清华大学研究生学位论文答辩（一）,学位论文答辩环节是研究生培养的重要环节，为了充分发挥该环节的育人作用，搭建学术交流的平台，进一步保障和提高研究生培养质量，清华大学研究生院从2014年开始，从申请学位的博士、硕士研究生中选取了部分具有代表性的学位论文答辩进行录像，并首次将答辩视频上传学堂在线，获得了社会各界的认可和积极反响。2015年，清华大学将继续这一形式，遴选不同专业的博士、硕士研究生的学位论文答辩视频，继续以MOOC形式共享呈现给大家，以使更多的人能够分享这些资源，搭建更为广阔的学术交流平台。如果这些视频能对您的学术研究有所帮助和启发，则是我们十分期待并愿意看到的事。,"['mooc', '上传', '不同', '专业', '为了', '代表性', '以使', '作用', '保障', '充分发挥', '共享', '具有', '分享', '十分', '博士', '反响', '启发', '呈现', '在线', '培养', '大家', '如果', '学位', '学堂', '学术交流', '学术研究', '帮助', '平台', '广阔', '开始', '录像', '形式', '愿意', '我们', '提高', '搭建', '更为', '有所', '期待', '清华大学', '环节', '申请', '看到', '研究生', '研究生院', '硕士', '社会各界', '积极', '答辩', '继续', '育人', '能够', '获得', '视频', '认可', '论文答辩', '质量', '资源', '这一', '这些', '进一步', '进行', '选取', '遴选', '部分', '重要环节', '首次']"
