job_title,job_country,job_city,job_category,job_responsibility,job_available
0,22989-经营平台高级php后台开发,中国,深圳,技术,负责腾讯云经营系统的后台架构的设计、开发与优化,True
1,25925-超核玩家后台开发工程师C++/Go(深圳),中国,深圳,技术,"负责腾讯超核玩家后台相关设计和开发工作；
参与用户平台部后台框架、公共组件的设计和开发工作；
参与相关产品需求讨论、架构设计以及后期优化工作。",True
2,25928-后台开发高级工程师（深圳）,中国,深圳,技术,"负责游戏AI在线服务，包括但不限于在线预测模块，任务调度模块以及运营监控模块；
负责相关系统模块的设计、开发与维护，确保相关系统稳定运行。",True
3,25928-G6后台开发工程师（深圳）,中国,深圳,技术,"为腾讯游戏提供高效、稳定的基础组件与服务，负责其设计、研发工作；
负责腾讯游戏支撑平台的设计、研发工作；
负责底层基础技术的预研与实现。
",True
4,PCG22-创新项目后台开发工程师,中国,深圳,技术,"负责创新项目后台系统的设计和开发；
高性能服务框架设计、海量数据存储设计",True
5,TEG11-搜索后台开发工程师（深圳）,中国,深圳,技术,"负责云搜引擎平台相关模块的开发与运营；
负责NLP平台相关模块开发与运营；
负责业务逻辑开发与运营。",True
6,33881-113 微信安全后台开发工程师（广州/深圳）,中国,广州,技术,"工作内容：
微信安全后台开发团队负责打造最专业最稳当最可靠的安全后台系统。
当前微信用户已经达到11亿，微信用户和微信平台面临的安全风险越来越高。
我们要全方位保护微信用户安全，就需要在万亿级调用量的架构体系下开发和设计业界领先的风控系统、基础安全组件、安全产品等。

注：广州深圳两地办公均可。",True
7,TEG15-海外支付计费系统后台开发(深圳),中国,深圳,技术,"负责腾讯海外充值中心相关业务需求的后台侧设计与开发；
负责在全球不同地区本地化渠道和营销平台的架构设计和建设工作；
负责推动和搭建适合海外场景的高效研发流程。",True
8,TEG15-海外对账平台后台开发(深圳),中国,深圳,技术,"负责腾讯海外业务对账稽核平台的设计、开发和日常维护工作，包括：
负责腾讯海外支付渠道账单数据采集模块的开发、接入、对账、异常定位及风险收敛等工作，支撑平台服务有效运行；
负责腾讯计费账单中心的平台能力建设工作，包括实时计算与对账、智能监控等，提高平台可用性、稳定性、扩展性；
负责腾讯计费反洗钱稽核平台的开发及建设工作。",True
9,WXG08-113 微信服务搜索后台开发工程师（广州）,中国,广州,技术,负责微信服务搜索后台系统的搭建，包括服务搜索功能开发和系统优化，优化用户搜索体验。,True
10,30622-腾讯广告后台开发工程师（深圳）,中国,深圳,技术,"负责腾讯广告系统后台开发，参与广告检索、播放、日志回流等核心模块研发工作；
负责腾讯内部流量广告变现，参与产品架构设计；
负责腾讯广告新产品形态研发工作；",True
11,PCG14-应用宝推荐架构后台开发（深圳）,中国,深圳,技术,"负责应用宝后台推荐系统架构服务（推荐、搜索、流式计算）的开发、优化、维护等；
负责应用宝后台推荐系统逻辑（内容推荐、应用推荐、搜索召回排序）；
负责pcg中台的算法embedding向量的分布式检索系统开发和维护；",True
12,25926-后台开发工程师（深圳）,中国,深圳,技术,"负责安全系统后台海量数据平台性系统设计与功能开发；
负责安全系统运营,并对运营数据进行分析，优化系统设计，提升运营效率。",True
13,25663-腾讯云泛互联网后台开发高级工程师（深圳）,中国,深圳,技术,"负责腾讯云泛互联网行业PAAS、SASS产品研发工作； 
参与相关系统的架构设计和评审，参与项目的技术攻坚和优化； 
参与系统文档的撰写、维护；
负责为客户提供行业云端解决方案、架构优化方案 。",True
14,22989-云监控后台开发工程师,中国,深圳,技术,"1.、负责腾讯云监控产品中后台架构开发、优化；
2.、大数据流处理相关开发、智能算法实现。
3、数字化运营，用户体验后台优化。",True
15,22989-腾讯会议WEB高级后台开发工程师,中国,深圳,技术,"1. 负责部门WEB项目的前后端开发，重点是WEB后台开发；
2. 负责部门内部运营平台的开发与运营
3. 负责部门产品云接口的开发与运营",True
16,22989-腾讯会议C/C++高级后台开发工程师,中国,深圳,技术,"1、负责为腾讯会议规划和建设全球化的后台系统，确保系统的质量和稳定性。
2、运用大数据、分布式系统、多地容灾等技术，不断优化系统架构，提升用户的体验。",True
17,30628-腾讯广告后台开发工程师（深圳）,中国,深圳,技术,腾讯广告服务框架，研发流程工具后台开发。,True
18,25664-后台开发工程师（腾讯云全资子公司）（西安）,中国,西安,技术,"负责ToB，ToG协同产品后台模块设计和开发；
负责产品后台新功能迭代开发，保证按时高质量项目交付；
撰写相关技术文档，以及跨团队协作。
",True
19,25664-golang后台开发工程师(腾讯云全资子公司)（西安）,中国,西安,技术,"负责服务器端研发维护工作，保障系统稳定性；
负责产品安全策略的制定；
负责产品后台功能模块的开发和维护，根据相关需求对功能性进行调整。
",True
20,25664-Java后台开发工程师（腾讯云全资子公司）（西安）,中国,西安,技术,"参与技术方案和架构设计；
负责政务中台子产品研发工作；",True
21,25664-Java高级后台开发工程师（腾讯云全资子公司）（西安）,中国,西安,技术,"参与政务中台产品架构设计与开发工作；
负责中台子产品研发管理工作；


",True
22,TEG02-网管系统后台开发工程师（深圳）,中国,深圳,技术,"负责网络基础架构网管系统后台架构设计与性能优化；
负责海量网络设备分布式采集与控制；
负责网管后台模块的运营和维护，保证系统稳定运行；
参与网管系统的后台需求分析、解决方案设计等工作。",True
23,WXG10-企业微信运营中心后台开发工程师（广州）,中国,广州,技术,"负责安全相关系统的后台开发和维护；
 负责数据支撑系统的后台开发和维护；
 负责运营门户等后台开发工作。
",True
24,PCG17-后台开发高级工程师（深圳）,中国,深圳,技术,"负责后台Server的架构设计、开发、优化以及运营工作；
负责提出海量服务的解决方案，针对高并发高负载服务开发基础设施。",True
25,28600-113 微信支付后台开发工程师（广州）,中国,广州,技术,"负责微信支付商户质量体系建设开发；
负责微信支付商户平台风控、投诉申诉等业务管理等相关功能开发；
负责微信支付商户平台创新型探索开发。",True
26,PCG04-腾讯看点高级后台开发工程师（深圳）,中国,深圳,技术,负责PCG直播中台、腾讯看点和信息流各业务工具链平台开发；通过对接业务系统，解决研发流程痛点，持续提升研发效率。,True
27,25663-腾讯云泛互联网后台开发高级工程师（北京）,中国,北京,技术,"负责腾讯云互联网行业PAAS产品研发工作；
负责腾讯云互联网行业产品架构设计工作；
负责为互联网客户提供行业云端解决方案、架构优化方案。",True
28,25663-腾讯云泛互联网后台开发高级工程师（深圳）,中国,深圳,技术,"负责腾讯云泛互联网行业PAAS、SASS产品研发工作； 
参与相关系统的架构设计和评审，参与项目的技术攻坚和优化； 
参与系统文档的撰写、维护；
负责为客户提供行业云端解决方案、架构优化方案 。",True
29,30360-增值研发中心后台开发,中国,深圳,技术,"负责手机QQ，QQ空间百亿级广告系统架构设计和开发维护；
负责会员，黄钻等千万级会员包月服务后台架构设计和开发维护；
负责手机QQ，QQ空间自助运营活动配置发布平台架构设计和开发维护。",True
30,30360-QQ增长后台开发工程师,中国,深圳,技术,"负责QQ用户增长及后台大请求量服务端开发方向
参与建设QQ用户增长后台架构的设计和优化工作；
参与建设程序化投放和推送系统，基于数据驱动，自动化评估体系，最大化投入以及拉动收益；
搭建增长中控及试验平台，建立相应的数据监控体系，以驱动精细化运营策略的快速迭代。",True
31,30361-创新产品后台开发,中国,深圳,技术,"负责腾讯新阅读app后台开发；     
负责平台业务的开发和维护；
负责部门相关业务的后台开发及维护。 ",True
32,30361-腾讯文档资深Golang后台开发工程师,中国,深圳,技术,"1.负责腾讯文档后台业务开发。
2.负责腾讯文档后台架构优化。",True
33,30361-腾讯文档资深C++后台开发工程师,中国,深圳,技术,"1.负责腾讯文档后台业务开发。
2.负责腾讯文档后台架构优化。",True
34,WXG10-企业微信基础应用后台开发工程师（成都）,中国,成都,技术,负责企业微信应用类后台系统开发、核心系统的架构设计和开发、基础设施研发等,True
35,WXG10-企业微信基础应用高级后台开发工程师（成都）,中国,成都,技术,负责企业微信应用类后台系统开发、核心系统的架构设计和开发、基础设施研发等,True
36,WXG10-企业微信高级分布式架构后台开发工程师（广州）,中国,广州,技术,负责企业微信核心系统的架构设计和开发；负责分布式存储/数据库、消息队列、分布式事务、票据系统、网络框架等基础设施的研发,True
37,WXG10-企业微信基础应用后台开发工程师（广州）,中国,广州,技术,负责企业微信应用类后台系统开发、核心系统的架构设计和开发、基础设施研发等,True
38,WXG10-企业微信基础应用后台开发工程师（深圳）,中国,深圳,技术,负责企业微信应用类后台系统开发、核心系统的架构设计和开发、基础设施研发等,True
39,WXG10-企业微信基础应用高级后台开发工程师（深圳）,中国,深圳,技术,负责企业微信应用类后台系统开发、核心系统的架构设计和开发、基础设施研发等,True
40,WXG10-企业微信基础应用高级后台开发工程师（广州）,中国,广州,技术,负责企业微信应用类后台系统开发、核心系统的架构设计和开发、基础设施研发等,True
41,18427-理财通后台开发工程师（深圳）,中国,深圳,技术,"负责理财通金融产品接入，清算，零钱通等系统的开发维护；
建设基金销售业务相关的技术基础平台。",True
42,CSIG07-企业安全后台开发工程师,中国,深圳,技术,"1、参与腾讯企业安全产品的后台架构建设工作（需求分析、架构设计、核心框架及组件开发）
2、 持续从技术上提升服务性能、稳定性，提升研发效能
3、 优化和改进现有产品以提升用户体验",True
43,WXG07-QQ邮箱后台开发工程师,中国,广州,技术,负责QQ邮箱账号、邮件反垃圾等业务安全类后台系统的开发和维护,True
44,29777-腾讯云后台开发组长（深圳）,中国,深圳,技术,"负责腾讯CSIG能源行业产品的后台框架设计和研发；
独立承担相关业务的后台开发任务，完成系统设计，功能开发，测试验证和灰度发布，确保开发质量和开发效率，推进能源行业产品版本的落地；
负责整个代码架构的持续优化和技术改进，通过技术改进提升团队工作效率和质量；
能够快速响应并定位解决线上突发问题。",True
45,25923-CodeCC高级后台开发工程师（深圳）,中国,深圳,技术,"负责CodeCC后台功能特性开发；
负责CodeCC后台性能调优；
负责CodeCC安全、容灾等基础设施建设。",True
46,25923-后台开发工程师（深圳）,中国,深圳,技术,"负责TGPA系统后台的设计和开发； 
负责TGPA运营系统的数据分析和开发；
负责TGPA后台系统的性能优化和高并发调优。",True
47,25925-后台开发工程师（深圳）,中国,深圳,技术,"负责用户平台部相关业务的后台开发； 
负责后台技术架构选型，基础组件开发，研发流程优化；
负责游戏社区相关产品后台开发的开发和架构设计。",True
48,15579-游戏后台开发工程师（深圳）,中国,深圳,技术,"手机游戏后台功能模块的设计和开发工作；
手机游戏后台系统运营和问题分析和解决。",True
49,27092-腾讯手游助手后台开发（深圳）,中国,深圳,技术,"负责手游助手平台的高性能后台服务开发，需要参与后台架构设计和性能稳定优化
负责手游助手后台业务组件的开发和维护",True
0,CSIG17-创新医疗测试开发高级工程师,中国,深圳,技术,"1，负责腾讯医疗健康业务的质量保证工作，通过对技术架构、代码到产品及设计模式的全面理解，发现产品的弱点，定位缺陷并推动修复； 
2，参与到创新医疗高可用系统的稳定性保障工作中，通过对技术架构的深入研究，搭建高效的质量保障工具体系，对其进行相应功能可用性、性能、稳定性等质量保证； 
3，有精益思想，能通过自动化建设、CI/CD流程优化、以及推进质量内建等方式优化研发效率；",True
1,30620-腾讯广告微信广告测试开发工程师（深圳）,中国,深圳,技术,"深入业务，参与微信广告测试效率提升工作建设：包括但不限于持续集成，自动化测试，docker系统，mock系统建设，终端专项等；
负责挖掘能提升广告测试质量的工具需求，规划并能独立完成工具架构和模块设计，开发工作；
能够在关键技术上给与团队技术指引和支持；
为团队探索和引入行业相关测试技术和理念，并推动实施。",True
2,CSIG17-云行业测试开发工程师（腾讯云全资子公司）,中国,西安,技术,"1.负责行业产品业务的质量保障工作
2.优化测试全流程，提高测试质量和效率
3.云行业产品质量相关的技术方案质量和推进
注：此岗位为腾讯集团旗下全资子公司编制岗位",True
3,PCG04-看点直播高级测试开发工程师（深圳）,中国,深圳,技术,"1、负责NOW直播和腾讯直播中台业务的质量保障工作； 
2、负责业务前后台自动化（如接口自动化，分层自动化）建设工作；
3、负责业务测试过程中devops工具链的建设。
",True
4,PCG04-测试开发工程师（上海）,中国,上海,技术,"负责支持业务和及优化项目研发效率；
通过工具引入、打通、建设提升项目团队研发流程顺畅度和自动化能力，保障项目效率和质量提升。",True
5,TEG13-测试开发高级工程师,中国,深圳,技术,"负责部门相关系统或服务的测试工作，包括：功能、安全、接口、性能、兼容性等，把控整体测试质量； 
行业优秀自动化测试平台工具的引入及搭建，推动质量保障过程中高效自动化建设； 
负责自动化测试框架设计开发，效率提升工具和平台开发，保障测试交付效率，提升整体研发效能与产品质量；
",True
6,20016-移动游戏测试开发工程师（成都）,中国,成都,技术,"从客户的角度，捍卫产品的质量；
通过对技术、代码到产品的全面理解，定位缺陷并推动修复，确保高品质的产品体验；
设计、开发和维护自动化系统，提高产品开发和测试环节的效率。",True
7,PCG04-高级测试开发工程师,中国,深圳,技术,"负责腾讯的IM和办公产品等业务的后台、Windows或移动端的架构、代码层面的专项分析及优化，包括但不限于性能自动化、接口自动化、可测性分析等质量保障工作； 
结合业务推进测试体系的建设，并配合进行相关工具平台设计及开发工作，加速产品研发效率； 持续探索引用行业相关测试技术和理念，帮助团队提升质量和效率。",True
8,WXG10-116 企业微信测试开发工程师（广州）,中国,广州,技术,"负责企业微信产品的各项专项测试，评估特性潜在性能瓶颈和风险，设计和执行专项测试方案；
负责设计并开发测试相关工具和平台，帮助团队提升测试效率和质量。",True
9,GY0-后台测试开发工程师（深圳）,中国,深圳,技术,"负责Linux平台软件的测试开发工作；
负责Linux平台组件的接口测试、单元测试和自动化测试工作；
能够在关键技术上给予团队技术指引和支持；
按时完成安排的后台测试开发任务；
负责与项目组之间的协调，推动工作，帮助项目组推动整个项目质量的提升和改进。",True
10,25927-移动游戏高级测试开发工程师（成都）,中国,成都,技术,"负责移动游戏自动化测试工具的开发、维护和完善；
负责移动游戏专项测试工具的开发、用例设计和测试执行；
负责游戏整体的质量把控，制定测试方案、计划、跟踪实施，监控项目外网质量并实施改进； 
负责收集和分析业务测试需求，探索更多的测试手段和维度，帮助提升部门的测试质量、效率和深度。",True
11,PCG04-腾讯视频测试开发工程师（北京）,中国,北京,技术,"1、负责小企鹅乐园日常测试工作管理；
2、负责支持和优化项目研发效率；
3、通过工具引入、打通、建设提升项目团队研发流程顺畅度和自动化能力，保障项目效率和质量提升。",True
12,23294-互娱移动电竞测试开发工程师,中国,深圳,技术,"1.负责移动游戏内嵌赛事直播平台的专项技术测试,开展问题挖掘，包括但不限于自动化、性能，压力测试，可测性分析等质量保障工作；
2.结合业务推进测试体系的建设，并配合进行相关测试工具的开发、维护和完善；
3.持续探索引用行业相关测试理念和技术，帮助团队提升产品质量； ",True
13,30628-腾讯广告测试开发工程师（深圳）,中国,深圳,技术,"参与腾讯广告系统后台测试，包括参与需求分析、设计评审、制定测试计划，设计和执行测试用例，进行缺陷跟踪和软件质量分析等；
制定测试计划，构建测试环境，执行集成测试，回归测试等；
保证被测系统的质量，并通过测试流程和方法创新，努力提升研发的质量和效率。
",True
14,PCG04-短视频测试开发工程师（深圳）,中国,深圳,技术,"负责微视终端app、h5或后台的自动化测试工作，包括白盒自动化、性能自动化、接口自动化等；
负责微视的质量保障及研发效能提升工作；
参与PCG研发部DevOps工具链和平台的建设工作，包括需求分析、架构设计、核心框架及组件的编码开发等；",True
15,PCG04-短视频测试开发工程师（北京）,中国,北京,技术,"负责微视终端app、h5或后台的自动化测试工作，包括白盒自动化、性能自动化、接口自动化等；
负责微视的质量保障及研发效能提升工作；
参与PCG研发部DevOps工具链和平台的建设工作，包括需求分析、架构设计、核心框架及组件的编码开发等；",True
16,CSIG17-云产品测试开发工程师（腾讯云全资子公司）,中国,西安,技术,"1、负责腾讯云及公司业务的项目管理、研发支撑、CI/CD服务相关系统和工具的建设和研发，应用行业前沿的优秀的工程实践经验，提升研发和工程生产力和效率；
2、设计、构建并落地各产品自动化构建、测试和发布的工程基础设施；
3、驱动研发团队落实优秀的代码规范、代码设计原则和高质量的测试；
4、基于产品视角，完善内部系统的产品形态、系统能力、体验交互、性能等各方面能力，配合腾讯云完成产品化对外输出。
注：此岗位为腾讯集团旗下全资子公司编制岗位",True
17,21557-音视频测试开发工程师（深圳）,中国,深圳,技术,"1. 测试大规模音视频SDK软件项目，并开发测试工具； 
2. 设计具有高度扩展性、可靠性强、与高性能的测试框架； 
3. 优化软件开发周期，提高产品质量，推动内建的产品质量； 
4. 测试方法/工具的创新；
",True
18,WXG11-微信读书测试开发工程师（广州）,中国,广州,技术,"负责微信读书产品各平台的专项测试，评估特性潜在性能瓶颈和风险，设计和执行专项测试方案；
负责设计并开发测试相关工具和平台，帮助团队提升测试效率和质量。",True
19,PCG04-信息流商业化高级测试开发工程师（深圳）,中国,深圳,技术,"负责信息流商业化后台架构、代码层面的专项分析及优化，包括但不限于性能自动化、接口自动化、可测性分析等质量保障工作； 
结合业务推进测试体系的建设，并配合进行相关工具平台设计及开发工作，加速产品研发效率； 
持续探索引用行业相关测试技术和理念，帮助团队提升质量和效率。",True
