job_title,job_country,job_city,job_category,job_responsibility,job_available
0,14914-高级公关经理-（教育方向）,中国,深圳,营销与公关,"负责腾讯教育公关定位、体系构建、策略规划；
统筹腾讯教育新闻传播、社会化传播总体规划；
负责腾讯教育新闻传播策划和执行；
重大项目策划、统筹、执行。


",True
1,14914-综合内容平台公关经理（深圳）,中国,深圳,营销与公关,"负责腾讯看点等信息流内容产品的日常公关事务；
围绕该平台产品进行公关体系建设及统筹管理，负责KPI设定并对效果负责；
结合项目需求，制定传播策略计划、输出核心传播观点，策划新闻话题；
能综合运用传播工具和方法，如：洞察报告、案例、发布会、联合营销等形式，提升项目影响力；
为相关业务板块负责人的对外活动，策划演讲、采访及新闻传播内容；
管理内容合作方，高效完成新闻话题和事件策划和执行。
",True
2,14914-金融科技公关经理（深圳）,中国,深圳,营销与公关,"围绕金融科技产品进行传播和研究体系建设及维护；
根据行业动态、热点，结合自身产品特性和行业动态，系统规划各类稿件和研究文章等内容发布并执行；
参与产品全年传播策略制定，制定周期性的传播计划或输出研究策划计划。",True
3,34468-互娱公关经理（品牌战略传播）,中国,深圳,营销与公关,"1)负责腾讯电竞的整体品牌战略及相关业务（城市计划、国际化、教育、科技等）的战略表达、项目管理、传播策划及舆情分析；
2)基于对腾讯电竞业务的充分理解，对外内容撰写、参与品牌日常信息的统筹与梳理，分析把握腾讯电竞的对外传播口径；
3)负责腾讯电竞日常公关传播和行业影响力项目传播，落实电竞大众化的策划执行和商业文化价值挖掘，拓展第三方合作，持续构建电竞产业独立性及腾讯电竞的品牌战略影响力。",True
4,14914-腾讯医疗健康公关经理,中国,深圳,营销与公关,"负责腾讯医疗健康（医保卡、健康卡、腾讯健康）社会化传播体系构建、策略制定；
负责腾讯医疗健康整体社会化传播规划及执行，包括日常及重大项目；
事件营销、微博、微信、视频、H5、海报等传播创意执行；
辅助跟进传播项目管理及跟进。
",True
5,14914-腾讯动漫公关传播经理,中国,深圳,营销与公关,"负责腾讯动漫平台及相关作品的营销策划、项目管理及传播落地；
负责腾讯动漫品牌口碑打造
",True
6,14914-智慧零售高级公关经理,中国,深圳,营销与公关,"负责智慧零售行业传播支持，具体包括结合业务需求，制定商超、服饰、美妆、奢侈品、商业地产、生鲜等垂直细分行业传播策略、输出核心传播主题和行业报告，策划日常新闻话题和传播落地执行；
负责产品侧重点功能传播支持，具体包括智慧零售相关的新能力传播，具体包括TO B侧的行业影响力策划以及TO C侧的用户体验教育，相关话题的传播策划与舆论引导； 
搭建、扩充、维护零售行业专家及智库资源；实时了解相关政策，策划和推动与零售消费相关的社会议题传播，挖掘和探索更多正面社会价值的传播项目",True
7,14914-云产品公关经理（深圳）,中国,深圳,营销与公关,"负责腾讯云相关产品及项目的公关传播；
结合项目需求，制定传播策略计划、输出核心传播观点，策划新闻话题；
能综合运用To B传播工具和方法，如：洞察报告、案例、发布会、联合营销等形式，提升项目影响力；
为相关业务板块负责人的对外活动，策划演讲、采访及新闻传播内容；
管理内容合作方，高效完成新闻话题和事件策划和执行。
",True
8,14914-危机公关经理（深圳）,中国,深圳,营销与公关,"梳理、沉淀具有探索性、前瞻性的公关方法论，包括对舆情传播模型的研究、危机公关响应与内控机制的构建等，并将研究成果实际应用、服务于公司内外；
整合内外部资源，推动相关等项目的进展。",True
9,14914-互动传播公关经理（深圳）,中国,深圳,营销与公关,"负责集团官方品牌策划与传播、官方新媒体的内容策划与运营；
负责为集团品牌提供专业的社会化传播创意方案，不限于图文、视频、H5、社群运营以及其他新型传播形态；
独立负责线上互动活动传播与运作；为业务线提供公关传播策略；
负责线下大型品牌活动的策划和执行协同。",True
10,34468-互娱高级公关经理（媒介方向）,中国,深圳,营销与公关,"1. 根据业务需求和行业变化，制定公关部媒介拓展和维护计划，并长线维护媒体人和媒体关系；
2. 深入挖掘公司各业务的新闻传播价值和传播素材，根据媒体特性策划具有传播力的媒体传播项目；
3. 参与公关危机处理、大型线下公关活动筹备等工作；
4. 制定完善的媒介及传播的评估体系，积累和总结，管理和改进各项媒介和传播项目；",True
11,14914-信息传播公关经理（深圳）,中国,深圳,营销与公关,"参与公司对外内容撰写工作；
参与公司日常信息的统筹和梳理，包括分析把握公司层面各类信息的对外传播口径；
公司各业务线深度内容撰写和商业文化价值挖掘，成为公司深度内容和重要活动贡献者。",True
12,30629-腾讯广告高级公关传播经理（深圳or北京）,中国,深圳,营销与公关,"·	负责腾讯广告营销服务线日常公关传播和行业影响力项目传播
·	负责财报、高管采访及其他腾讯广告整体议题的策划和传播实施
·	根据整体业务或重点项目需求，构建和维护专家智库，拓展第三方合作
·	负责公关传播评估衡量体系的建设和相关传播效果的动态评估
·	对主要公关传播和内容营销供应商进行对接和管理
",True
13,14914-微信公关经理-创意策划方向（广州）,中国,广州,营销与公关,"负责微信业务整合公关传播及核心资源开拓与管理；
结合业务需求及外部热点，输出创意传播策划、运营短视频平台帐号、开拓社交媒体平台渠道资源；
能综合运用多元化传播工具与方法，如：热点话题策划、短视频创意策划、新闻事件策划等形式，增强品牌用户端好感度。",True
14,14914-智慧产业高级公关传播经理（深圳）,中国,深圳,营销与公关,"协同腾讯智慧产业相关业务团队，制定并输出公关传播体系，推动相关项目执行及深度传播内容组织，主动策划并链接内外部资源，寻求传播创新和突破；
协同媒介团队搭建并管理腾讯产业生态的行业KOL、媒介资源体系；
协同组织、主导策划相关市场活动，包括不限于行业圈层峰会、发布会、公关传播项目、媒体专访等工作。
",True
15,TME-腾讯音乐-公关传播经理（热点宣发方向）,中国,深圳,营销与公关,"*负责音乐平台热点项目和亮点功能在多个热门社区的内容策划、话题规划、推进执行和效果追踪；
*跨团队协调，挖掘和推广站内优质内容，提升品牌和产品的美誉度；
*对接外部伙伴，负责产品在社区的优质内容产出（包括文字与视频内容）和相关话题，营造社区口碑美誉度，维持并提升社区用户对产品的粘性；
*社区红人、KOL及MCN机构等热门社区资源库的建立、维护与不断拓展。
",True
16,TME-腾讯音乐高级公关经理（深圳）,中国,深圳,营销与公关,"1.负责持续拓展和维护党央类、财经类、科技类、音乐产业类、音乐娱乐类主流媒体及自媒体关系，建立核心媒体网络，能建立并系统梳理资源评估体系及价值衡量体系，开展策略性媒体合作，为产品营造良好的媒体舆论环境；
2.负责管理层对外内容输出的行业洞察与撰写，分析把握各层面对外信息的口径，具备制定和把握业务对外宣传的深度内容的能力；以及甄选适合的行业峰会/外部重要活动、组织参与并进行相关传播的能力；
3.及时关注和监测国家重点媒体、消协、网监等有关网络消费及安全相关的信息和舆情，前瞻分析可能对产品业务产生的影响和应对措施，产出定期报告，尤其关注互联网与文娱行业类信息，并与相关机构建立联系并保持沟通；
4.负责预警并有效应对各种类型的危机舆情公关；
5.完成部门交付的传播项目，能制定项目的全面传播规划并善于把控节点，监控全程的准确执行，保证传播效果；
6.基于业务和品牌需求，善于多角度挖掘具有传播价值的素材，持续沟通媒体，主动输出优质的报道；
7.熟悉互联网公关工作、拥有较全面的媒体关系，并对行业趋势和规律有洞察和思考，包括与时俱进的传播渠道的研判体系、媒体传播的发展趋势和新的变化、传播效果的有效评估等。",True
17,14914-品牌经理（深圳）,中国,深圳,营销与公关,"以腾讯企业声誉建设为目标，策划和执行集团层面创意性联合营销项目，拓展和管理各类集团品牌的合作伙伴：
策划公司级别品牌营销项目，推动项目落地并保证品牌影响力的有效提升；
策略地拓展商业品牌、社会机构、国际组织等各类合作伙伴，创造更广泛的营销场景和营销资源，并不断孵化创新型联合营销项目；
创造多样化的合作交流活动，管理外部伙伴的交流需求，持续制造外部影响力；
根据公司战略或业务需求，灵活地参与到特别营销项目中提供专业支持。",True
18,29050-CII政策发展经理,中国,深圳,法律与公共策略,"1.搜集CII及其周边相关监管的政策、标准，参与单位组织、监管措施与解决方案；
2.研究、设计、制定关于CII相关合规的技术、业务解决方案；
3.联合个人信息保护、跨界安全、信息安全策略等方向，研究并推动CII相关政策、标准、法规的研究与合规工作。
",True
19,29050-CII政策发展经理,中国,北京,法律与公共策略,"1.搜集CII及其周边相关监管的政策、标准，参与单位组织、监管措施与解决方案；
2.研究、设计、制定关于CII相关合规的技术、业务解决方案；
3.联合个人信息保护、跨界安全、信息安全策略等方向，研究并推动CII相关政策、标准、法规的研究与合规工作。
",True
20,33676-移动游戏市场运营（深圳）,中国,深圳,产品,"负责宝可梦项目的市场运营工作，根据游戏特色、目标用户特点和运营目标，制定游戏品牌策略及不同运营阶段的市场营销及推广方案，并能够推动产出高品质创意内容；
对接项目的市场部，跟进包括官网、公众号、媒介等推广方案的落实与执行；
负责游戏各运营阶段的外部合作沟通，跟进合作方式、活动计划及执行，并通过数据分析对合作效果进行监控。
",True
21,14914-高级创意策划经理（北京）,中国,北京,营销与公关,"负责公司形象片的创意策划；
负责公司大型活动类视频的创意策划；
负责公司与媒体合作的新媒体互动产品的创意策划；
负责拓展及维护视频及新媒体互动产品资源库及供应商库；
负责上述项目的流程管理和品质把控。",True
22,23294-电竞明星经纪（深圳）,中国,深圳,营销与公关,"负责公司签约电竞明星(包含平台主播，职业选手，电竞KOL)的推广宣传和活动计划；
制订并实施明星宣传及公关计划；
负责电竞明星的粉丝运营规划和监测；
协助宣传经理与各媒体及合作伙伴建立良好关系；
协助宣传经理负责明星宣传物料的策划、设计和制作管理；
根据游戏品牌经理的需求，与直播平台、经纪公司、洽谈及策划直播活动，传播话题等对公司签约的明星进行新闻稿件撰写及媒体推广；
责任心强，注重团队合作精神和执行能力。",True
23,31967-创作者平台运营市场经理,中国,深圳,产品,"负责腾讯游戏创作者平台项目运营市场工作；针对项目目标制定具体产品运营市场计划和活动计划，跟公关市场团队确方案，跟合作伙伴联动提升宣发效果；
负责创作者平台的内外部内容平台合作和项目组合作事宜；与合作方深度沟通，了解项目组和平台需求，定制合作方案，协调各方资源驱动合作落地，并为创作者平台贡献价值。",True
24,34468-互娱游戏传播经理（深圳）,中国,深圳,营销与公关,"负责腾讯新品类/新游戏产品整体公关传播策略制定与执行；
负责游戏展会/行业会议开展线上活动策划，多维度统筹并主动跟进传播效果；
负责推动游戏类公关传播方法论研究与试点。",True
25,26699-智慧零售高级市场经理,中国,深圳,营销与公关,"·	负责腾讯智慧零售运营和生态的市场支持，根据行业解决方案与高价值标杆案例进展进行相关市场包装推广；
·	TO C：负责智慧零售小程序的推广策划，如“小程序值得买”的订阅号推广拉粉，搭建社群等，为智慧零售小程序积累私域流量；
·	TO B： 负责倍增计划的推广和执行支持，如进行客户采访对标杆案例进行相关市场曝光推广、运营倍增计划小程序和学员社群，进行日常客户联合推广，如签约发布会、企业培训等
",True
26,29912-短视频平台营销运营（北京）,中国,北京,产品,"1、负责微视营平台营销能力建设，通过平台运营能力通路满足业务运营部门需求、提升微视多样化营销能力，高效连接市场、公关及创意策略及推动落地；
2、建设营销能力，梳理运营数据漏斗等运策略落地；
3、通过数据分析、用户调研，制定并优化可执行方案；了解行业内竞品动向及用户营销策略 。",True
27,29912-短视频平台营销运营（深圳）,中国,深圳,产品,"1、负责微视营平台营销能力建设，通过平台运营能力通路满足业务运营部门需求、提升微视多样化营销能力，高效连接市场、公关及创意策略及推动落地；
2、建设营销能力，梳理运营数据漏斗等运策略落地；
3、通过数据分析、用户调研，制定并优化可执行方案；了解行业内竞品动向及用户营销策略 。",True
28,37090-MMORPG高级市场运营,中国,深圳,产品,"负责大世界类型RPG手游运营工作，对接市场部，跟进市场方案的落实与执行； 
负责梳理提炼游戏核心卖点，定位目标用户；
根据游戏特色、目标用户特点和运营目标，制定游戏品牌策略及不同运营阶段的市场营销及推广方案；
制定官网、公众号、媒介等内容阵地的推广方案，推动产出高品质创意内容和广告素材；",True
29,18924-CSIG云与智慧产业事业群——部门秘书（深圳）,中国,深圳,行政支持,"对一位或多位经理的日程管理、差旅出行、商务活动、团队管理给予专业的辅助支持；
协助制定并实施部门的管理规章制度及各项流程，并进行流程优化；
运用沟通、组织、协调能力，及时进行员工答疑和员工指引；
担任一个或多个部门行政人事工作接口人，统筹管理行政类成本、办公资源、外部供应商、氛围文化沟通类项目等；
协调、维护部门外各团队的合作关系，正确处理员工投诉，维护团队形象；
根据规划，与行政、HR配合，推动执行不定期的福利活动或团建、沟通、文化建设。",True
30,18924-CSIG-云与智慧产业事业群-部门秘书（北京）,中国,北京,行政支持,"对一位或多位经理的日程管理、差旅出行、商务活动、团队管理给予专业的辅助支持；
协助制定并实施部门的管理规章制度及各项流程，并进行流程优化；
运用沟通、组织、协调能力，及时进行员工答疑和员工指引；
担任多个部门行政人事工作接口人，统筹管理行政类成本、办公资源、外部供应商、氛围文化沟通类项目等；
协调、维护部门外各团队的合作关系，能够灵活处理各类员工投诉及内部公关；
根据规划，与行政、HR配合，推动执行不定期的福利活动或团建、沟通、文化建设。",True
