job_title,job_country,job_city,job_category,job_responsibility,job_available
0,27092-商业分析师（深圳）,中国,深圳,战略与投资,"1. 关注国内外创新产品模式，持续关注研发、发行、平台、变现产业链条，输出行业分析及产品分析为决策提供依据
2. 结合外部市场趋势，分析与研判品类选择及进入策略，搭建创新产品及打法系统性框架，输出建议并推动落地
3. 研究创新产品商业化变现机会及模式，结合业务情况匹配最佳实现
4. 与合作方建立良好合作关系，搭建平台与合作模式，分阶段协助平台引入优质合作伙伴",True
1,34975-高级海外商业分析经理,中国,深圳,战略与投资,"持续跟进全球游戏市场发展动向，捕捉新趋势，为海外发行业务提供前瞻视野；
关注代表厂商的优秀打法实践，帮助积累针对特定品类/特定地区的发行经验；
基于海外各市场具体情况，协助建立数据仪表盘，支持出海目标和策略的制定；
从海量业务信息中抽丝剥茧（市场/产品/用户等），为管理层和内外部发行合作伙伴提供高价值的战略洞察和建议。",True
2,27566-内容行业商业分析（深圳）,中国,深圳,战略与投资,"负责互动叙事类产品及相关内容领域研究分析，积极探索业务发展机会，诊断业务现有状况，输出准确清晰的策略建议，为业务决策提供有价值参考和思路扩充；
根据业务需求，独立输出部门重点专项报告，撰写内外部合作所需资料；结合业务情况及时获取内外部重要信息，建立有效的部门内业务信息管理体系；
负责策略落地推进的项目管理工作，联动与协调内外资源，共同达成业务目标。
",True
3,27016-高级商业分析经理（深圳）,中国,深圳,战略与投资,"分析行业发展趋势或创新的物联网、云计算等相关产品和技术，并确定腾讯基础技术的潜在机会；
监测行业竞争对手动态，深入了解企业客户、消费者对特定技术驱动的产品的需求，态度和使用情况；
与全球其他技术公司和高校开展外部合作，帮助加快产品创新和科研进度；
在企业和业务部门层面对广泛的管理问题提供战略分析和建议；
参加年度和季度业务规划和审查；
促进业务部门和职能部门的关键举措的执行；
工作地点：深圳，按需要前往美国等国家。",True
4,23295-互娱市场商业分析经理,中国,深圳,战略与投资,"1.扫描国内外移动游戏市场，关注行业前沿动态，探索新市场推广模式和机会；
2.持续关注移动游戏的市场、研发、发行、运营等模块，输出分析报告，为移动游戏业务市场策略制定及决策提供专业指导，同时协助市场业务团队高效获取和使用资源，解决业务问题；
3.根据业务发展方向和策略，拟定和执行资源配置标准，把控资源使用效率；
4.协助市场业务团队梳理和落地资源使用和管理流程，解决业务问题；管理和优化流程各关键环节，为决策层和管理层提供决策支持和管理支撑；",True
5,ZL-商业分析经理（长视频方向）,中国,北京,战略与投资,"Analyze new business models or innovative Internet applications, and identify potential growth opportunities；
Monitor competitive activities, and develop a deep understanding of consumers' needs, attitudes, and usage of specific Internet services;
Provide strategic analyses and recommendations over a broad range of management issues at corporate and business unit level;
Participate in annual/quarterly business planning and reviews;
Facilitate execution of key initiatives across business units and functions.
",True
6,ZL-商业分析分析师（医疗方向）,中国,深圳,战略与投资,"Analyze new business models or innovative technology applications, and identify potential growth opportunities in healthcare industry;
Monitor competitive activities, and develop a deep understanding of individual and institutional user needs, attitudes, and usage of specific technology services;
Provide strategic analyses and recommendations over a broad range of management issues at corporate and business unit level;
Participate in annual/quarterly business planning and reviews;
Facilitate execution of key initiatives across business units and functions.",True
7,21882-高级商业分析经理,中国,深圳,战略与投资,"支持业务战略输出，对行业有敏锐的嗅觉，识别业务潜在增长点和问题点，完成专项的分析报告，并推动策略落地，辅助平台实现增长；
负责腾讯医疗业务的数据分析与洞察，对业务的数据进行深入挖掘、从数据的角度识别和解决业务痛点及问题；
在企业和业务部门层面对广泛的管理问题提供战略分析和建议。",True
8,29569-商业分析师,中国,深圳,战略与投资,"-参与VB创新产品部商业分析工作，基于研究分析提出可落地战略方案，并推动项目落地
-支持跨部门项目推进，通过产品布局策略与公司战略协助项目落地，共同达成业务目标
-协助财务测对本部门的预算及费用编制、执行、检视进行跟进跟进和管理

",True
9,30626-腾讯广告渠道商业分析,中国,深圳,销售、服务与支持,"1、多视角分析腾讯广告大客户渠道的业务现状，理清业务数据逻辑并提出有切实价值的策略及优化方案
2、根据业务洞察搭建并维护BI报表，指引团队进行数据的持续跟进
3、具有商业直觉，独立的分析以及方案交付能力，敢于挑战及问问题
4、有良好的沟通协调能力、团队合作精神及开放的心态",True
10,14137-WXG财务管理-商业分析（深圳） ,中国,深圳,财务,"进行财务及业务数据分析，提供财务分析报告,为业务决策提供支持； 
进行成本费用监控，确保内部控制有效实施；
参与预算编制并进行日常考核及预算管理配合总部财务处理月结相关事宜；

",True
11,30630-腾讯广告商业分析（行业分析）（深圳/北京）,中国,深圳,战略与投资,"腾讯广告营销服务业务旨在为品牌及商家提供高效的营销解决方案，助力商业增长和为资源方提供更强的流量变现能力。互联网内容生态的兴起及逐步繁荣，我们正全力探索内容领域多样的、创新的商业化模式，为客户提供除了标准资源外的更多元营销解决方案，同时助力铺设内容领域的商业化路径并提升内容商业化效率。
岗位职责：
提供行业洞察支持，给出销售业务提升的具体方案及建议； 
和销售线团队一起推动方案的具体执行与落地，并后续跟进、提出完善建议； 
从海量数据分析中精准找到商业逻辑和问题，并通过调研/专家访谈/外部研究进行佐证和综合分析。
",True
12,21228-游戏商业分析经理（深圳）,中国,深圳,战略与投资,"跟踪部门相关游戏业务板块（女性、体育及国内、海外大型战略合作伙伴相关品类）市场发展，整合公司内外渠道，建立相关情报体系，定期输出各细分市场竞争报告；
针对部门整体，结合行业发展及经营策略，分析、拟定部门游戏业务发展战略及产品布局，供管理层决策；
针对各细分品类，高质量、多维度的分析相关市场、用户、竞争、产品情况，输出策略建议并推动业务落地；
针对相关游戏业务周边、衍生娱乐等业务，输出策略建议，推动部门游戏娱乐整体联动布局；
建设和整合部门相关商业分析资源，提升部门商业分析专业能力。",True
13,23518-商业分析经理,中国,深圳,战略与投资,"研究与分析：对手游发行相关流量市场（包括但不限于硬件厂商、第三方store、社区型APP、垂直APP）进行持续监测与分析，关注行业动态、商业模式和市场机会。从公司战略和部门业务发展角度出发，主动提出研究或发展方向
专项方案推进与落地：负责立项方案推动和落实，负责项目进度、质量和交付管理
经营分析：周期性对部门核心业务进行分析，总结业务发展现状，并识别可提升点或风险点",True
14,ZL-商业分析经理 (社交平台方向）,中国,深圳,战略与投资,"分析并深入洞察市场趋势，为业务负责人提供战略性发展方向指引建议；
定期对业务进行经营分析和诊断，识别关键问题并提出改进举措；
作为PM，横向协同业务各部门，为战略性攻坚方向、或战略性项目的实施落地负责；
负责推动与战略合作伙伴、投资公司等生态企业的合作，并创造业务协同机会。
",True
15,ZL-商业分析经理（短视频方向）,中国,北京,战略与投资,"分析并深入洞察市场趋势，为业务负责人提供战略性发展方向指引建议；
定期对业务进行经营分析和诊断，识别关键问题并提出改进举措；
作为PM，横向协同业务各部门，为战略性攻坚方向、或战略性项目的实施落地负责；
负责推动与战略合作伙伴、投资公司等生态企业的合作，并创造业务协同机会。
",True
16,ZL-商业分析经理 (信息流方向）,中国,深圳,战略与投资,"Analyze new business models or innovative Internet applications, and identify potential growth opportunities;
Monitor competitive activities, and develop a deep understanding of consumers' needs, attitudes, and usage of specific Internet services; 
Provide strategic analyses and recommendations over a broad range of management issues at corporate and business unit level;
Participate in annual/quarterly business planning and reviews;
Facilitate execution of key initiatives across business units and functions.",True
