job_title,job_country,job_city,job_category,job_responsibility,job_available
0,15605-高级多媒体设计师（深圳）,中国,深圳,设计,"构思游戏相关的视觉创意，参与游戏动效的设计和制作；
审核外包制作，把控外包资源质量；
与其他环节合作，指导制作过程，跟进成品质量。

",True
1,WXG01-微信视频号多媒体设计师,中国,广州,设计,"1. 负责视频号功能的动效设计工作
2. 高效输出，并且保证动效设计的还原度
3、制作符合用户需求的各种视频特效（如特效、滤镜、画面效果等）
3. 制定动效设计规范，建立动效设计组件库，完善设计流程，分享设计经验",True
2,PCG19-腾讯视频移动端多媒体开发工程师,中国,深圳,技术,"负责中台播放器的应用层架构设计和代码开发；
负责中台播放器接入业务的需求迭代开发和技术支持；",True
3,21557-新多媒体网络高级工程师(北京/美国/深圳),中国,深圳,技术,"· Research cutting edge technology of VR360 streaming.  
· Develop related algorithm in prototype, sdk module or server module.",True
4,15571-使命召唤手游高级多媒体设计师（深圳）,中国,深圳,设计,"负责游戏产品市场推广动态视觉表现；
负责海外网络媒体广告创意与设计执行；
负责线上广告外包质量审核跟进及其他相关多媒体设计。",True
5,30934-海外创意多媒体设计师,中国,深圳,设计,"1：参与腾讯游戏海外市场相关产品的广告素材创意、设计及监制；
2：负责视频和平面广告制作的前期策划、技术难度评估、进度及质量监控；
3：负责相关agency资源的开发与维护；
4：参与海外用户市场研究工作，能结合数据分析，挖掘用户需求、喜好及使用习惯等，优化广告创意等；
1: Create, design and review advertising assets for Tencent Games’ overseas publishing products;
2: Responsible for planning, technical difficulty assessment, progress tracking and quality assurance on video and Print advertising 
production;
3: Responsible for the development and relationship maintenance of related agency resources;
4: Work on overseas market user research, able to consolidate data analysis, understanding on users’ needs, preferences and 
common practice to boost advertising creativity.",True
6,21557-多媒体标准高级研究员（北京/深圳）,中国,北京,技术,"- 负责跟进，研究业界前沿多媒体标准制定进展
- 负责开发并推动新技术进入各个多媒体前沿标准，扩大公司的影响力
",True
7,WXG01-微信视频号高级多媒体设计师,中国,广州,设计,"1. 负责视频号功能的动效设计工作，各类特效及创意玩法的预研
2. 把握动效流行趋势，通过合理的研究方法制作符合用户需求的各种视频特效
3. 制定动效设计规范，建立动效设计组件库，完善设计流程，分享设计经验",True
8,TEG07-CDC高级多媒体视觉设计师（深圳）,中国,深圳,设计,"负责品牌传播规划和品牌传播创意输出，参与项目的落地制作；
负责创意构思，从品牌定位、品牌策略延展出具体成型、可被执行的视频创意方案；
在创意落地执行中，能独立完成做到关键性设计的设定，如内容脚本，关键画面设定等，并能把控最终的创意落地品质；
具有整合新媒体或营销传播项目的管理和把控能力；
协助团队组织搭建品牌设计知识体系；
",True
9,21309-教育子公司--多媒体设计师（深圳）,中国,深圳,设计,"负责在线教育类产品的多媒体动画设计，包括教学场景MG图形动画、角色MG图形动画、品牌2D动画、视频剪辑、平面设计、UI界面动效等；
制定相关动画或动效的设计风格和设计规范，以及角色造型设计和角色动画系统；
审核协调外部供应商制作，保证动画或视频风格输出质量和一致性。",True
10,21882-腾讯医典-产品体验设计师/多媒体设计师(深圳/北京)（深圳）,中国,深圳,设计,"负责腾讯医疗视频模块的创意、设计以及监制；
负责视频或平面广告制作的前期策划、技术难度评估、监控；
在有限的时间及项目资源内，联动内外部执行资源，确保概念到执行的有效落地；
解决项目实施过程中可能出现的问题，确保最终的用户体验质量；
进行设计规范的输出，并推动规范在整个项目团队执行；
与编辑内容团队、产品相关人员讨论产品核心热点，并输出视觉产品体验创意企划方案。
",True
11,21882-腾讯医典-产品体验设计师/多媒体设计师(深圳/北京)（北京）,中国,北京,设计,"负责腾讯医疗视频模块的创意、设计以及监制；
负责视频或平面广告制作的前期策划、技术难度评估、监控；
在有限的时间及项目资源内，联动内外部执行资源，确保概念到执行的有效落地；
解决项目实施过程中可能出现的问题，确保最终的用户体验质量；
进行设计规范的输出，并推动规范在整个项目团队执行；
与编辑内容团队、产品相关人员讨论产品核心热点，并输出视觉产品体验创意企划方案。
",True
12,21557-多媒体实验室音频开发工程师(深圳/北京),中国,北京,技术,"负责实时音频领域端到端解决方案的工程研究、开发、算法在设备和云端的集成，涉及的问题包括但不限于：
PC，手机操作系统中语音和音频的系统架构开发和相关算法模块集成；
PC，手机操作系统中的音频信号采集和回放，性能调优；
音视频多媒体框架的开发和相关音视频模块的集成和调试，i.e., 音视频同步；
基于云的端到端实时语音引擎的开发和部署；
音频处理和传输/网络层的交互开发。
",True
13,21557-多媒体实验室视频SDK开发工程师,中国,深圳,技术,负责开发实时音视频SDK；负责音视频引擎的设计、开发和性能调优；,True
14,21557-多媒体实验室音频工程师(深圳/北京),中国,深圳,技术,"负责实时音频领域端到端解决方案的工程研究、开发、算法在设备和云端的集成，涉及的问题包括但不限于：
-	PC，Mac，手机操作系统中语音和音频的系统架构开发和新算法模块集成；
-	PC，Mac，手机操作系统中的音频信号采集和回放链路开发，性能调优；
-	音视频多媒体框架的开发和相关音视频模块的集成和调试，i.e., 音视频同步；
-	解决实时语音通信系统中的常见声学问题，i.e., 无声，声音卡顿，漏回声，杂音
-	基于云的端到端实时语音引擎的开发和部署；
-	音频处理和传输/网络层的交互开发",True
15,21557-多媒体系统工程师(美国/深圳),中国,深圳,技术,"1、设计和开发直播、点播、视频处理、沉浸式媒体等服务相关产品或特性；
2、优化端到端视频播放体验；",True
16,TME-腾讯音乐多媒体算法科学家,中国,深圳,技术,"探索前沿机器学习技术在音视频、文本理解的应用； 
基于多媒体技术提升用户体验及商业化实现； 
推动多媒体新技术在QQ音乐/全民K歌落地，或驱动新应用产生。",True
17,TME-全民K歌平台多媒体设计师（深圳）,中国,深圳,设计,"负责K歌APP相关创新业务的视频动效设计；
负责礼物、道具等运营素材动效和UI动效的设计；
负责与开发同事沟通保证设计在实际手机中的实现效果完美呈现及各种极限情况的妥善处理；
能够发掘和思考产品设计方向，参与团队的专业化建设和知识传播；",True
18,TME-腾讯音乐多媒体AI研究员,中国,深圳,技术,"负责视频、图像等多媒体领域的智能算法研究与产品化落地；
负责肢体识别、AR、智能生成等前沿技术探索与实现；
负责优化现有视频、图像的编解码、质量控制体系。",True
19,29923-相机产品视觉设计师,中国,上海,设计,"1. 支持手机QQ与相机产品研发业务，负责拍摄/图像/视频玩法相关的多媒体内容创意与prototype创作；
2. 负责将有价值的创意推动落地，包括方案陈述、设计输出与技术对接，跟进用户数据与反馈； 
3. 探索多媒体社交及相机产品的功能创新与体验优化，不断为用户提供更新更好的愉悦与体验。

Responsibilities 
- Design animated contents for consumer facing camera products / applications (QQ). 
- Work with product manager and engineers to create a good and pleasing user experience. 
- Deliver innovative prototypes and present ideas to improve the product. 
",True
20,30361-创新文学/音频平台Android开发工程师,中国,深圳,技术,"负责腾讯创新文学及音频平台的Android客户端研发工作；
负责移动端文学音频终端应用版本现有功能的维护及新功能模块的开发；
负责定位并解决现有模块存在的问题；
负责承担版本的系统设计、性能及内存等调优工作；
拥有前端/混合开发技术栈经验者优先。",True
21,30361-创新文学/音频平台iOS开发工程师,中国,深圳,技术,"负责腾讯创新文学及音频平台的iOS客户端研发工作；
负责移动端文学音频终端应用版本现有功能的维护及新功能模块的开发；
负责定位并解决现有模块存在的问题；
负责承担版本的系统设计、性能及内存等调优工作；
拥有前端/混合开发技术栈经验者优先。",True
22,22989-腾讯云视频&通信前端开发工程师（深圳）,中国,深圳,技术,"1、负责视频与通信相关云产品前端架构与业务开发，包括但不限于云通信、云直播、云点播、云游戏、云剪、导播台等；
2、负责与产品、后台同事协作，深度参与产品的需求讨论、功能定义；
3、负责系统优化，效率工具、技术平台建设，新技术调研与应用等。 
",True
23,WXG03-小程序基础能力产品策划（广州）,中国,广州,产品,"负责小程序基础能力建设，包括接口和组件的设计等，能够独立完成产品设计、功能优化和项目推进；
从功能场景出发，负责梳理并完善小程序各细分场景下的通用产品解决方案，包括多媒体解决方案、硬件场景解决方案等，能够独立进行行业研究，产品分析，并根据分析结果设计可行方案；
3跟进用户反馈功能，对需求进行梳理、拆解、沉淀，并协同各行业伙伴对开发者进行引导、教育，为用户构建更优的小程序生态。",True
24,22989-腾讯视频云前端开发工程师（腾讯云全资子公司）,中国,西安,技术,"1、负责云直播、云游戏、云剪、导播台等产品前端架构与业务开发；
2、负责与产品、后台同事协作，深度参与产品的需求讨论、功能定义；
3、负责系统优化，效率工具、技术平台建设，新技术调研与应用等。 ",True
25,PCG19-播放器中台内核高级工程师,中国,深圳,技术,"参与PCG视频技术中台及公司级ThumbPlayer Oteam等研发项目；
参与底层组件性能优化，流媒体/全能影音格式分析等工作；
研究音视频编解码、流媒体传输及播放、图像处理相关算法，并落地产品实施；
参与中台项目对接业务产品，打造移动平台高效的通用型视频业务技术方案；",True
26,TEG13-C++后台开发工程师（深圳）,中国,深圳,技术,"海量请求的多媒体AI服务后台设计、研发、性能优化等工作

对系统架构进行全面优化，构建海量数据传输、存储、计算、检索平台

对研发体系进行全面优化，构建AI服务化全流程体系

支撑AI能力的快速落地及业务的快速发展",True
27,25928-语音传输算法高级工程师（深圳）,中国,深圳,技术,"负责多媒体服务QOS系统建设和监控系统建设；
使用大数据分析工具，对现有的数据进行筛选、处理分析和输出告警信息；
负责分析服务质量上报数据，并对数据进行深入挖掘，找出主要影响因素，并输出改进方案；
应用机器学习、数据分析、商业智能等技术，并结合具体业务场景，进行应用系统探索。",True
28,WXG02-117 微信通话后台开发工程师（深圳/广州）,中国,广州,技术,"微信多媒体团队专注于最实用的音视频、图片技术研究。目前自研技术已经应用于微信的音视频通话、多人通话、多媒体消息、朋友圈、公众平台等各项功能。每天支撑了数亿的视频通话、数十亿的视频播放、数百亿的图片查看。专业&专注，我们一直在多媒体领域砥砺前行，努力为用户提供最佳的语音视频业务体验。

负责微信音视频通话后台服务器及相关系统的开发优化工作。
",True
29,28598-高级android系统开发工程师,中国,深圳,技术,"负责Android Framework系统开发和性能优化；
参与产品的核心系统设计，架构设计，模块编码；
负责Android平台关键技术的攻克，新技术的研究和创新。


",True
30,22989-云服务图像算法开发工程师（北京）,中国,北京,技术,"负责智能图像／视频相关核心技术算法与产品化等研究工作，包括但不限于如下方向：人脸检测和识别、静态／动态物体检测、场景识别、OCR文本识别等；
跟踪学术界和业界最新进展，并且能够快速应用到业务中；
进行技术分享、专利申请和学术文章发表，提高腾讯在计算机视觉/多媒体领域的的技术影响力。",True
31,21309-教育子公司--插画设计师（深圳）,中国,深圳,设计,"负责在线教育类产品相关插画设计，包括多媒体场景插画，多媒体角色设定插画，多媒体内容元素插画，运营活动H5插画，产品界面插画设计等；
参与建设在线教育类产品多媒体前期设计讨论分析、脚本梳理、多媒体视觉风格设定、高保真分镜执行、制定多媒体视觉规范和动画规范；
审核及协调外部供应商动画输出，保证多媒体视觉还原质量；
参与相关运营设计，制定设计风格及推动设计还原落地。",True
32,29912-微视工具产品运营（剪辑方向）,中国,深圳,产品,"1、独立负责微视相机功能模块，针对用户使用场景深度挖掘需求；
2、对产品核心后编辑/视频剪辑功能进行独立运营，可独立完成方案规划，挖掘和创造爆款效果（不限于智能编辑、贴纸、多媒体特效、模板玩法等）；
3、通过数据挖掘和用户调研洞察，捕捉用户痛点，挖掘潜在需求，利用运营手段和策略，解决功能使用阻塞点、提升微视发布用户的渗透与留存，提升核心用户指标；
4、联动各方资源，将效果进行有效包装，促进端内外用户感知和使用。",True
33,29912-微视工具产品运营（音乐策划方向）,中国,深圳,产品,"1、独立负责微视相机功能模块的音乐支持，针对用户使用场景深度挖掘需求；
2、对产品核心玩法（挂件、模板、剪辑功能）中的音乐模块，以及微视平台的歌单曲库能够进行独立运营，可独立完成方案规划，强化功能模块中的音乐效果，并挖掘和创造爆款音乐玩法；
3、通过数据挖掘和用户调研洞察，捕捉用户痛点，挖掘潜在需求，利用运营手段和策略，解决功能使用阻塞点、提升微视发布用户的渗透与留存，提升核心用户指标；
4、联动各方资源，将效果进行有效包装，促进端内外用户感知和使用。",True
34,21557-音视频SDK高级开发工程师,中国,深圳,技术,"负责研发下一代音视频技术的底层框架;
",True
35,WXG02-121 微信视频内核研发工程师（深圳/北京/广州/成都/上海）,中国,深圳,技术,"团队介绍：
微信多媒体团队专注于最实用的音视频、图片技术研究。目前自研技术已经应用于微信的音视频通话、多人通话、多媒体消息、朋友圈、公众平台等各项功能。每天支撑了数亿的视频通话、数十亿的视频播放、数百亿的图片查看。专业&专注，我们一直在多媒体领域砥砺前行，努力为用户提供最佳的语音视频业务体验。

岗位职责：
负责视频图像编解码算法研究与优化实现，主要面向微信视频通话、图片和视频文件类业务，以及未来视频图片相关应用。",True
