job_title,job_country,job_city,job_category,job_responsibility,job_available
0,30361-腾讯文档数据分析师 ,中国,北京,产品,"1、负责腾讯文档、TIM等产品的用户数据体系建设工作，构建完善的数据体系和基础技术，支撑业务快速发展； 
2、深入理解用户，运用数据挖掘、机器学习、深度学习等技术，构建多维度用户画像，从行为、兴趣、风险等等方面深刻理解用户；
 3、推动用户数据体系和技术在内容推荐等业务场景落地，提升用户体验。深入探索业务数据，创新性的思考和发现问题，并提出有效解决方案。 ",True
1,23674-数据分析产品,中国,北京,产品,分析腾讯新闻业务团队实际需求，负责团队数据整理、上报规范；规划、推进基于用户数据分析的策略和产品方案制定、挖掘用户需求和功能痛点，参与产品策划落地和效果评估，并对进一步优化提供建议,True
2,16810-腾讯动漫数据分析工程师（用户增长）,中国,深圳,技术,"负责动漫业务增长方向分析指标体系建设，挖掘增长目标，拆解获取、激活、留存、付费、自传播等不同用户生命周期细分指标
负责动漫内容分析，包括分类聚类、内容评价体系等工作；
负责用户画像建设，基于用户行为挖掘用户内容偏好、行为习惯；
针对产品运营相关业务问题，进行数据分析与建模，提出优化方案、设计AB试验测试等；",True
3,36321-运营分析/数据分析,中国,北京,技术,进行技术服务能力指标设计与监控分析；自主挖掘与分析数据，实现技术引擎优化的运营支撑；通过规范化的项目管理推动完成项目目标；通过数据爬取、挖掘、清洗为相关项目提供高质量的样本源,True
4,25925-高级数据分析师（深圳）,中国,深圳,技术,"岗位特色：
在腾讯游戏海量的用户数据的基础上，深度挖掘用户的知识信息，为游戏运营提供更加精准的特色服务。
负责游戏业务的数据分析工作，包括数据提取、清洗、计算、分析和报告等工作；
负责各游戏业务基础指标建设和开发；
快速深入了解业务，从产品用户生命周期的角度，分析新进、活跃、付费、留存、流失及回流相关数据，深入挖掘用户行为、产品、体验等数据价值，并能为后续运营提供优化建议；
应用数据分析经验，搭建数据分析模型和预测模型，精准定位用户、市场，推演发展趋势；
完成游戏运营中的重点专项报告输出，针对目标用户及细分群体独立输出研究报告；
通过持续数据分析形成方法论，提炼数据产品需求，形成数据产品解决方案，并推进方案落地执行。",True
5,25927-数据分析师,中国,深圳,产品,"独立完成数据后台搭建及分析工作，包括数据提取、清洗、分析和报告等工作；
通过数据分析深入挖掘用户行为、产品、体验等数据价值；
持续发现产品问题及业务增长点，支撑产品、运营决策，驱动业务增长，提出数据结论和有效建议，并推动落地解决；
通过持续数据分析形成方法论，提炼数据产品需求，形成数据产品解决方案，并推进方案落地执行；
行业监控及情报系统建设。      ",True
6,30360-高级数据分析算法工程师-用户增长方向,中国,深圳,技术,"用系统的方法分析业务变化趋势，快速定位变化原因，并进行解读；
对用户行为、业务数据的分析，从数据角度分析业务中存在的问题，提出可执行的建议，高效拆析业务当前核心痛点与机会；
通过数据分析，大数据机器学习发掘业务增长机会，提升业务业绩；
应用先进的统计建模、数据挖掘等方法解决实际问题，并研发创新方法解决业务难题。",True
7,30360-高级数据分析算法工程师-用户增长方向,中国,深圳,技术,"用系统的方法分析业务变化趋势，快速定位变化原因，并进行解读；
对用户行为、业务数据的分析，从数据角度分析业务中存在的问题，提出可执行的建议，高效拆析业务当前核心痛点与机会；
通过数据分析，大数据机器学习发掘业务增长机会，提升业务业绩；
应用先进的统计建模、数据挖掘等方法解决实际问题，并研发创新方法解决业务难题。",True
8,WXG01-111 微信视频号数据分析工程师（广州）,中国,广州,技术,"参与微信视频号业务的数据分析工作；
制定产品功能的数据采集方案，并协助搭建产品的数据指标体系；
监测业务的日常数据，关注数据波动并能够及时分析和解读数据异动；
针对产品和运营相关的业务问题，能够进行量化分析和数据建模，并提出优化策略；
设计和分析A/B Testing实验以验证策略有效性，辅助业务决策。",True
9,WXG01-微信视频号数据分析高级工程师（广州）,中国,广州,技术,"负责微信视频号业务的数据分析工作；
搭建和完善产品各模块的数据指标体系；
负责产品和运营核心策略的分析建模，指导业务科学决策；
设计和分析A/B Testing实验以验证策略有效性，并提出优化的业务策略；
探索并落实用户生命周期、产品体验优化和用户增长点。",True
