job_title,job_country,job_city,job_category,job_responsibility,job_available
0,22989-腾讯云大数据&AI web前端开发工程师（深圳）,中国,深圳,技术,"1、负责腾讯云大数据（OCEANUS,  ES产品、大数据处理套件TBDS产品）、AI智能钛系列产品的功能设计和开发工作；
2、负责大数据、机器学习、深度学习、弹性推理等平台的工程化和服务化；
3、参与web前端新技术的探索和预研。
",True
1,22989-腾讯云大数据&AI web前端开发工程师（北京）,中国,北京,技术,"1、负责腾讯云大数据（OCEANUS,  ES产品、大数据处理套件TBDS产品）、AI智能钛系列产品的功能设计和开发工作；
2、负责大数据、机器学习、深度学习、弹性推理等平台的工程化和服务化；
3、参与web前端新技术的探索和预研。
",True
2,22989-腾讯云大数据&AI web前端开发工程师（深圳/北京）,中国,深圳,技术,"1、负责腾讯云大数据（OCEANUS,  ES产品、大数据处理套件TBDS产品）、AI智能钛系列产品的功能设计和开发工作；
2、负责大数据、机器学习、深度学习、弹性推理等平台的工程化和服务化；
3、通过技术手段优化用户端操作体验；
4、参与一些web前端新技术的探索和预研。",True
3,25664-Web前端开发工程师（腾讯云全资子公司）（西安）,中国,西安,技术,"参与产品的Web前端开发工作
（包括PC网页、以及移动端H5、公众号H5、小程序开发）；
与设计师沟通，完成设计交互的UI实现；
与后端开发人员紧密配合，完成项目；
维护已有线上项目，根据客户需求修改网页。
",True
4,TEG05-Web前端开发工程师（深圳）,中国,深圳,技术,"负责腾讯ToB等安全产品的前端架构与业务开发；
负责安全大数据平台的前端建设； 
负责部门可视化前端开发的研究和实践。",True
5,PCG19-腾讯视频web前端开发工程师（深圳）,中国,深圳,技术,"负责腾讯视频移动端hybrid架构下的web前端模块化设计与开发
负责腾讯视频App hybrid架构下跨越手机、pad多屏自适应能力的开发和优化
负责后台部分数据接口的规范定义和实现
负责页面性能优化和质量运营，并保持对前沿技术的预研和引入。",True
6,18427-理财通web前端开发工程师,中国,深圳,技术,"负责理财通PC、移动端、小程序的视觉稿还原页面等UI开发工作；
负责理财平台金融业务web前端开发；
负责互联网金融理财类相关产品管理系统页面的开发工作，包括js，html5，css等。",True
7,PCG17-web前端开发工程师（深圳）,中国,深圳,技术,"负责通过技术提升用户体验和可用性；
负责实现突破web多终端设备限制，为更多用户群体提供更好地产品体验。",True
8,29777-泛工业互联网web前端开发高级工程师（深圳）,中国,深圳,技术,"负责腾讯泛工业互联网web平台和SaaS服务的研发和持续迭代工作； 
负责项目开发中重点、难点技术攻坚； 
与后端一起完成系统的对接联调及集成工作； 
参与前端标准化，探索前端新技术并落地实践。",True
9,30360-QQ-Web前端开发工程师,中国,深圳,技术,"负责QQ移动端，PC端页面的功能开发和维护；
负责亿级流量Node框架的性能优化和维护；
负责定位并解决现有模块存在的问题；
持续优化页面，保证网站的高性能和可维护性；
规范和文档的编写、维护。",True
10,30360-QQ会员-Web前端开发工程师,中国,深圳,技术,"负责QQ移动端，PC端页面的功能开发和维护；
负责亿级流量Node框架的性能优化和维护；
负责定位并解决现有模块存在的问题；
持续优化页面，保证网站的高性能和可维护性；
规范和文档的编写、维护。",True
11,30359-灯塔web前端开发工程师（深圳）,中国,深圳,技术,"腾讯灯塔大数据产品数据可视化工作；
负责前端架构设计，通用组件抽象和建设；
研究和探索前端新技术，能帮助团队建立对前端新技术的引导评估与应用，产生创新性价值。
",True
12,32268-腾讯视频儿童版web前端开发工程师（北京）,中国,北京,技术,负责腾讯视频儿童版的web前端开发； 负责腾讯视频儿童版移动端H5页面的前端开发； 负责腾讯视频儿童版公共js类库的编写和优化。,True
13,22989-腾讯云中间件高级web前端开发工程师（深圳）,中国,深圳,技术,"负责腾讯云中间件产品中心WEB前端开发工作；
负责前端页面的开发和性能优化；
负责前端架构建设，公共组件的设计开发； 
重点负责Serverless，微服务治理，API网关，前端监控系统等产品的前端方案落地；
负责解决Serverless客户复杂应用场景的具体实现（小程序，Node.js）；
负责Serverless场景中Node.js以及小程序相关生态建设。",True
14,WXG10-企业微信技术合作中心web前端开发工程师（成都）,中国,成都,技术,"负责企业微信Web前端开发和优化工作；
",True
15,30623-腾讯广告联盟广告Web前端开发工程师(北京）,中国,北京,技术,"负责腾讯联盟广告的产品设计和研发，工作包括：
参与联盟广告需求分析、产品设计、数据采集和功能研发工作；
参与H5 SDK、Native SDK产品设计和研发；
参与广告相关效果技术研究；
参与广告联盟系统开发、优化和维护；
联盟广告现有系统的运营、维护和优化工作。",True
16,25664-Web前端开发工程师（腾讯云全资子公司）（重庆）,中国,重庆,技术,"参与产品的Web前端开发工作
（包括PC网页、以及移动端H5、公众号H5、小程序开发）；
与设计师沟通，完成设计交互的UI实现；
与后端开发人员紧密配合，完成项目；
维护已有线上项目，根据客户需求修改网页。
（注：此岗位为腾讯集团旗下全资子公司编制岗位）",True
17,31112-腾讯视频web前端开发工程师（深圳）,中国,深圳,技术,"负责腾讯视频游戏中心的前端开发工作,前端架构以及整体性能调优",True
