job_title,job_country,job_city,job_category,job_responsibility,job_available
0,22989-高级交互设计师,中国,深圳,设计,"1、参与腾讯云行业产品各个环节，业务调研，交互设计，最终输出界面原型。
2、负责产品的交互信息架构与任务流程等设计，依据业务需求提出有效设计方案保证产品的可用性，对最终落地的产品体验和效果负责；
3、提供概念设计方案，完成客户提案，并推动方案的落地实施和后续版本体验规划；
4、负责产品的可用性测试和评估提出改进方案，持续优化产品的用户体验。 
",True
1,15712-游戏高级交互设计师（深圳）,中国,深圳,设计,"负责游戏产品相关交互设计，保证产品的可用性和易用性；
基于游戏世界观为游戏产品提供流程的UI体验设计，为最终的产品体验和效果负责; 
参与游戏的用户研究，策划沟通，市场和运营沟通，并结合多方需求提供优秀的交互设计方案；
参与团队的专业化建设，提高团队专业水准。",True
2,31967-海外直播平台交互设计师,中国,深圳,设计,"负责海外直播平台的多端交互设计，帮助团队了解海外用户、设计趋势及市场机会；
能够洞察解决用户痛点问题，输出优秀的交互原型以帮助用户研究及设计实现；
有效沟通设计和想法，让上下游同事理解认同你的设计想法，并推动方案落地；
制定设计规范和交互组件库，保证平台用户体验的统一；
",True
3,31677-腾讯地图数据平台高级交互设计师,中国,北京,设计,"-负责腾讯位置服务 to B 业务的 app 与 web 端的相关产品以及数据可视化相关业务的交互设计工作；
-独立承担所负责模块的迭代和优化，并追求极致的用户体验；
-与用研同事共同或独立调研用户需求与痛点，进行完整详细的原型设计；
-确保所负责项目的落地效果并持续跟进数据结果，与项目组共同优化打磨后续体验效果；
-优化与提升项目中的沟通合作流程以达到效率最大化；
-参与团队的专业化建设和知识传播。",True
4,31677-SMAD 高级交互设计师（深圳）,中国,深圳,设计,"您将负责云小微行业配置平台等相关产品的交互和视觉设计；
参与客户的需求挖掘，快速理解智能产品的复杂逻辑，将之转化为简单可理解的设计解决方案；
通过数据分析和可用性测试等手段，评估产品交付后的效果，提出持续的体验改进计划；
提炼后台型产品设计经验沉淀个人见解，并在团队内推行。
",True
5,31677-腾讯地图移动端高级交互设计师（北京）,中国,北京,设计,"-负责腾讯地图移动端产品的需求分析和产品体验框架的制定； 
-参与用户场景挖掘和用户行为细分，跟进产品需求制定的整个过程，提出设计目标以及用户体验目标； 
-基于用户需求和产品理念，建立长效的体验机制并输出相应的交互设计方案； 
-提炼设计方法与设计准则，并在设计团队内推行，对地图类产品进行深入的思考并沉淀个人见解。",True
6,WXG07-412 广研交互设计师（广州）,中国,广州,设计,"1.参与企业应用的孵化与设计
2.参与邮箱在更多场景的应用扩展的设计
3.优化邮箱可用性，改善用户体验；

",True
7,15575-《王者荣耀》-高级交互设计师（成都）,中国,成都,设计,"对游戏整体的信息架构、使用流程和玩家体验进行完整的规划、创意、设计；
输出并确认最优的系统流程、游玩体验、玩家指引帮助等交互设计详细方案；
跟进并确认最终美术呈现与交互设计的一致性，关注界面传达的有效性； 
持续完善游戏的交互设计规范并推动落地； 
关注玩家游戏行为和体验反馈，主动推进游戏体验的迭代优化；",True
8,EC-交互设计师,中国,深圳,设计,"1、负责青少年教育创新产品的交互设计，保证产品最终的用户体验，包括WEB端和移动端。
2、了解与熟悉产品与市场，进行竞品分析，参与产品需求分析和目标制定，提出用户体验优秀的整体解决方案；
3、参与用户研究，结合可用性测试方法，关注用户反馈；
4、结合产品上线后数据的分析和评估，提出改进建议，持续优化用户体验。
",True
9,22989-腾讯云高级交互设计师（深圳）,中国,深圳,设计,"参与腾讯云平台类产品的用户体验设计工作，主要负责交互设计环节，分析产品需求、挖掘典型用户场景、设计用户行为及产品的交互信息框架； 
负责项目产品的交互信息架构与任务流程等设计，保证产品的可用性和易用性，对最终落地的产品体验和效果负责； 
发起和参与用户研究，根据用研结果对设计方案进行优化； 
负责产品的可用性测试和评估提出改进方案，持续优化产品的用户体验； 
参与项目各个环节并且构建逻辑框架，推动设计落地。",True
10,22989-腾讯会议高级交互设计师（深圳）,中国,深圳,设计,"参与腾讯会议及其他协同办公类产品的用户体验设计工作，主要负责交互设计环节，参与产品的规划构思，洞察真实需求，输出有理有据的设计方案。参与制订设计规范，并推动在整个团队中的实施，参与团队的专业化建设，提高团队专业水准；
负责项目产品的交互信息架构与任务流程等设计，保证产品的可用性和易用性，对产品最终体验和效果负责；
发起和参与用户研究，根据用研结果对设计方案进行优化；
关注用户反馈，收集产品需求，为产品新功能提供设计想法；
负责产品的可用性测试和评估提出改进方案，持续优化产品的用户体验。
",True
11,22989-交互设计师(腾讯云全资子公司)（西安）,中国,西安,设计,"参与腾讯云控制台基础体验打磨及其他行业云产品的用户体验设计工作，主要负责交互设计环节，参与产品的规划构思，洞察真实需求，输出有理有据的设计方案。参与制订设计规范，并推动在整个团队中的实施，参与团队的专业化建设，提高团队专业水准。
负责项目产品的交互信息架构与任务流程等设计，保证产品的可用性和易用性，对最终落地的产品体验和效果负责；
发起和参与用户研究，根据用研结果对设计方案进行优化；
关注用户反馈，收集产品需求，为产品新功能提供设计想法；
负责产品的可用性测试和评估提出改进方案，持续优化产品的用户体验；
",True
12,29911-增长中台交互设计师,中国,深圳,设计,"负责增长中台和游戏发行相关项目的交互设计；
参与需求的讨论制定，确立设计目标，给出有效的交互解决方案，并推动方案执行和实施；
通过主动数据分析和可用性测试等手段，评估设计效果，提出持续的改进计划；
乐于分享设计经验，推动提高团队的设计能力。",True
13,WXG01-微信多平台高级交互设计师,中国,广州,设计,"• 负责多类终端设备上微信客户端的设计工作，如电脑端、手表端、车载终端、智能硬件等；
• 负责微信客户端在不同终端上的体验设计工作，如基础通讯、社交体验、小程序等；
• 结合软硬件层面，完成多终端、跨平台的设计工作，探索在触控屏幕以外的交互模式；
• 独立承担项目，为产品功能和特性提供合理的系统化解决方案",True
14,26699-智慧零售产品中心高级交互设计师,中国,深圳,设计,"1.腾讯智慧零售相关产品的用户体验设计； 负责腾讯智慧零售中台、小程序等项目的交互设计和实现； 
2.参与需求的讨论制定，确立设计目标； 参与用户体验设计，给出有效的交互解决方案，并推动方案的落地； 
3.参与文案的撰写与把控，使内容通俗、清晰、流畅，并更有吸引力；
4.参与用户研究，根据结论对产品进行优化； 
5.梳理产品设计规范，推动规范在团队执行，让体验更一致，迭代更高效。
",True
15,30633-腾讯广告高级交互设计师（深圳）,中国,深圳,设计,"负责营销广告相关产品的交互与创新设计；
有完整的项目经验，能从系统的角度，提出交互设计方法；
设定平台的整体交互模式，保证产品交互的可用、易用与行为方式的一致性，参与界面规范的制定并且推动实施；
乐于分享设计经验，推动提高团队的设计能力。
",True
16,CSIG07-桌面安全产品部高级交互设计师（深圳）,中国,深圳,设计,对腾讯云安全的用户体验负责； 负责腾讯云业务安全、基础安全的交互设计和实现； 参与需求的讨论制定，确立设计目标； 参与用户体验设计，给出有效的交互解决方案，并推动方案的落地； 参与文案的撰写与把控，使内容通俗、清晰、流畅，并更有吸引力； 参与用户研究，根据结论对产品进行优化； 梳理产品设计规范，推动规范在团队执行，让体验更一致，迭代更高效。,True
17,29910-交互设计师,中国,深圳,设计,"负责移动浏览器的产品交互设计，包括Android和iOS端；
参与产品需求分析和目标制定，提出用户体验优秀的整体解决方案；
参与用户研究，结合可用性测试方法，关注用户反馈；
结合产品上线后数据的分析和评估，提出改进建议，持续优化用户体验。",True
18,28966-移动端高级交互设计师,中国,深圳,设计,"负责梳理游戏移动端社区的信息架构，保证产品的可用性；
负责参与游戏社区的的规划构思，归纳用户目标和用户任务；
负责输出已有游戏社区的迭代交互方案，输出新兴产品的交互方案；
参与团队专业建设，输出方法论并分享给团队。
",True
19,31112-腾讯视频游戏中心交互设计师,中国,深圳,设计,"负责游戏相关业务和产品的交互体验设计，保证产品最终的用户体验；
对产品设计持续优化、提升用户体验；
归纳用户目标、任务、制定相应设计目标，了解与熟悉产品与市场，进行竞品分析，提出合理的交互解决方案，高效完成系统化的交互设计，跟进整个设计流程并推进实现方案设计；
针对上线结果或设计效果进行评估，提出体验优化计划并于产品侧推进；
在团队中参与工作流程优化、沉淀设计方法，制定规范等专业建设。",True
20,TEG07-CDC高级交互设计师,中国,北京,设计,"负责设计用户行为及产品的信息构架，保证产品的可用性；
负责互联网产品的规划构思，归纳用户目标和用户任务；
参与用户研究，根据用户研究的结果对设计方案进行优化；
负责对现有产品的可用性测试和评估提出改进方案，持续优化产品的用户体验；
参与团队专业建设，把控团队最终输出质量。",True
21,WXG01-微信视频号交互设计师,中国,广州,设计,"1. 负责视频号相关功能的交互设计工作
2. 参与产品需求分析，归纳用户需求以及设计目标，搭建体验框架
3. 高效输出产品原型方案，验证质量并推动落地
4. 关注测试结果及用户反馈，持续优化用户体验",True
22,WXG01-微信多平台交互设计师（广州）,中国,广州,设计,"1.负责多类终端设备上微信客户端的设计工作，如电脑端、手表端、车载终端、智能硬件等；
2.结合软硬件层面，完成多终端、跨平台的设计工作，探索在触控屏幕以外的交互模式；
3.独立承担项目，为产品功能和特性提供合理的系统化解决方案。",True
23,29923-社交娱乐交互设计师（深圳）,中国,深圳,设计,"主要负责社交产品及创新项目的交互设计
对用户需求进行分析定位
梳理设计问题与设计目标
梳理用户任务流程与产品的信息架构
能提出完整的设计解决方案并推动落地
对设计方案进行验证与跟踪",True
24,18425-交互设计师,中国,深圳,设计,"负责跨境支付，外汇业务的产品体验设计工作；
快速理解业务目标，具备梳理复杂需求的能力，高效输出合理的解决方案，专注产品和交互逻辑，并持续跟进方案落地的效果；
支持业务相关的其他综合设计工作。",True
25,21882-腾讯医典-交互设计师（深圳/北京）（深圳）,中国,深圳,设计,"负责腾讯医疗相关产品的交互设计与探索，并对产品最终的用户体验和落地负责；
参与用户研究及产品需求制定整个过程，提出设计需求及体验目标；
在有限的时间及项目资源内，给出最合理的交互解决方案，并推动方案的落地；
解决项目实施过程中可能出现的问题，确保最终的用户体验质量；
进行设计规范的输出，并推动规范在整个项目团队执行；
进行数据分析和可用性测试，评估产品上线后的效果，并提出用户体验改善计划。
",True
26,21882-腾讯医典-交互设计师（深圳/北京）（北京）,中国,北京,设计,"负责腾讯医疗相关产品的交互设计与探索，并对产品最终的用户体验和落地负责；
参与用户研究及产品需求制定整个过程，提出设计需求及体验目标；
在有限的时间及项目资源内，给出最合理的交互解决方案，并推动方案的落地；
解决项目实施过程中可能出现的问题，确保最终的用户体验质量；
进行设计规范的输出，并推动规范在整个项目团队执行；
进行数据分析和可用性测试，评估产品上线后的效果，并提出用户体验改善计划。
",True
27,WXG01-微信多平台交互设计师（广州）,中国,广州,设计,"1.负责多类终端设备上微信客户端的设计工作，如电脑端、手表端、车载终端、智能硬件等；
2.结合软硬件层面，完成多终端、跨平台的设计工作，探索在触控屏幕以外的交互模式；
3.独立承担项目，为产品功能和特性提供合理的系统化解决方案。",True
28,WXG01-微信基础功能交互设计师,中国,广州,设计,"1. 负责微信客户端基础功能的交互设计，如基础通信、社交体验、平台能力等
2. 参与产品需求分析，归纳用户需求以及设计目标，搭建体验框架
3. 高效输出产品原型方案，验证质量并推动落地
4. 关注测试结果及用户反馈，持续优化用户体验",True
29,15614-手游交互设计（上海）,中国,上海,产品,"负责设计用户行为及游戏的交互构架，保证游戏的可用性；
负责参与用户研究，根据用户研究的结果对设计方案进行优化；
负责对现有产品的可用性测试和评估提出改进方案，持续优化产品的用户体验；
负责参与界面规范的制定与实施。",True
30,29911-短视频发布器交互设计师,中国,深圳,设计,"负责短视频内容发布产品、创意玩法研究等方向的交互体验设计；
参与需求讨论，制定设计目标，并给出合理的交互解决方案；
定期结合用户反馈及使用数据，对设计效果进行评估，持续优化产品体验并推进实施落地；
参与设计团队工作流程改进，设计方法提升，设计规范制定等专业建设工作",True
31,28481-资深交互设计师,中国,深圳,设计,"1、负责腾讯健康相关产品的交互设计，并对产品最终的用户体验负责；
2、参与用户研究及产品需求讨论，确定设计需求及体验目标；
3、有能力在有限的时间及资源内，给出合理恰当的交互解决方案，并推动方案的落地；
4、制定体验设计的规范，并在项目的设计与迭代过程中，有独立的思考和坚持；
5、有基本的数据分析和可用性测试能力，通过数据和用户测试发现用户体验问题。",True
32,29911-短视频交互设计师,中国,深圳,设计,"负责短视频创意设计中心的交互设计工作，对产品最终的用户体验质量负责；
主导设计规范的制定，执行和维护；
参与用户研究，梳理体验设计目标",True
33,24012-游戏交互设计师（深圳）,中国,深圳,设计,"负责游戏系统UI交互设计，把控游戏整体UI交互;
负责游戏交互总结及系统设计，跟进系统功能开发和执行; 
负责游戏系统交互资源跟进和维护，并对游戏最终交互体验负责。",True
