job_title,job_country,job_city,job_category,job_responsibility,job_available
0,25664-iOS客户端开发工程师（深圳）,中国,深圳,技术,"负责协同办公产品的功能特性开发；
参与和负责客户端在性能优化、稳定性方面的建设；
负责高质量的方案设计和编码，不断迭代重构；
负责项目重点、难点的技术攻坚以及移动端新技术预研等。",True
1,25664-Android客户端开发工程师（深圳）,中国,深圳,技术,"负责协同办公产品的功能特性开发；
参与和负责客户端在性能优化、稳定性方面的建设；
负责高质量的方案设计和编码，不断迭代重构；
负责项目重点、难点的技术攻坚以及移动端新技术预研等；
",True
2,25664-iOS客户端开发工程师(腾讯云全资子公司)（西安）,中国,西安,技术,"1，负责协同办公产品的功能特性开发；
2，参与和负责客户端在性能优化、稳定性方面的建设；
3，负责高质量的方案设计和编码，不断迭代重构；
4，负责项目重点、难点的技术攻坚以及移动端新技术预研等；
",True
3,25664-Android客户端开发工程师(腾讯云全资子公司)（西安）,中国,西安,技术,"负责协同办公产品的功能特性开发；
参与和负责客户端在性能优化、稳定性方面的建设；
负责高质量的方案设计和编码，不断迭代重构；
负责项目重点、难点的技术攻坚以及移动端新技术预研等。
",True
4,15573-手游客户端开发高级工程师（上海）,中国,上海,技术,"研发跨平台（iOS和Android等）精品移动终端网络游戏产品；
工作包括但不限于技术设计、开发编码和各类协作；
实现新特性，实现并保证架构稳定，提高研发效率；
持续优化性能、需求表现和兼容性；
与游戏服务器，运营，平台等功能模块做开发对接联调；
优化工作流程，优化开发工具。
",True
5,15612-游戏客户端开发(北京）,中国,北京,技术,"主要从事MMO游戏相关功能的开发工作与性能优化工作；
与策划、美术协调数据与资源相关的需求及跟进；
与后台开发协商通信协议并完成前端开发与前后台联调工作；
与测试沟通Bug的细节，分析并修复功能Bug；
进行多分支开发，及时将开发分支内容合并到需要的分支。",True
6,25927-游戏高级客户端开发工程师,中国,深圳,技术,"负责游戏客户端逻辑功能、SDK、工具等的开发;
负责游戏版本的改造、优化工作，并沉淀经验形成方案。
",True
7,WXG01-微信支付Android客户端开发工程师,中国,广州,技术,主要负责微信支付客户端功能开发，涉及到红包、转帐、刷卡付款、卡包等相关支付需求。,True
8,WXG01-微信支付iOS客户端开发工程师,中国,广州,技术,主要负责微信支付客户端功能开发，涉及到红包、转帐、刷卡付款、卡包等相关支付需求。,True
9,22989-腾讯会议客户端开发专家（深圳/北京）,中国,深圳,技术,"负责腾讯会议终终端架构设计及优化工作；
负责性能优化，稳定性流畅度提升；
负责业务核心基础模块的抽象，设计和搭建工作，以提升研发团队的工作效率；
负责项目重点、难点的技术攻坚以及移动端新技术预研等。",True
10,15573-手游客户端开发高级工程师（上海）,中国,上海,技术,"研发跨平台（iOS和Android）精品移动终端网络游戏产品；
工作包括但不限于技术设计、开发编码和各类协作；
实现新特性，改善易用性，提高研发效率；
持续优化性能、表现和兼容性；
与游戏服务器，运营，平台等功能模块做开发对接联调；
优化工作流程，优化编辑器等开发工具；
以改善游戏体验为核心共同目标，与美术和策划无间协作。",True
11,15585-游戏客户端开发（深圳）,中国,深圳,技术,负责游戏客户端逻辑功能和核心模块的开发； 负责对Unreal Engine进行性能优化和支持； 负责美术、策划工具的开发。,True
12,15575-《王者荣耀》高级玩法客户端开发（成都）,中国,成都,技术,"在王者荣耀的体系基础上负责开发和扩展多种类型的玩法；
参与玩法框架的设计和优化，负责对程序结构进行一定的扩展和重构以满足不同的玩法需求；
负责对玩法编辑工具集、玩法创作、验证管线的设计和开发，满足工具使用者在白盒编辑环境中快速创作、编辑、迭代和验证玩法；",True
13,15579-海外游戏高级客户端开发工程师（深圳）,中国,深圳,技术,"负责手游架构开发和技术攻坚；
负责手游性能优化和基础体验优化，低端机性能下沉研究；
和美术对接负责图形效果的开发。",True
14,15570-端游客户端开发工程师（深圳）,中国,深圳,技术,"负责3D MMORPG游戏前台逻辑开发；
负责游戏玩法和功能模块开发；
负责游戏引擎和相关工具的开发。",True
15,23294-iOS客户端开发工程师（深圳）,中国,深圳,技术,"参与移动游戏内嵌赛事电视台相关的功能需求讨论，开发流程和计划制定；
负责移动游戏内嵌赛事电视台相关的功能需求开发；
负责移动游戏内嵌赛事电视台创新功能与技术平台的开发与建设。",True
16,SD3-PUBG MOBILE 高级客户端开发工程师(深圳),中国,深圳,技术,"负责客户端的架构开发和技术攻坚；
负责客户端的性能优化和基础体验优化；
和美术对接负责图形效果的开发。",True
17,24012-游戏客户端开发工程师,中国,深圳,技术,"负责游戏模块开发工作；
参与游戏构架设计，公共组件的开发和维护；
与游戏服务器，运营，平台等功能模块做开发对接联调。",True
18,33851-游戏客户端开发工程师（深圳）,中国,深圳,技术,"负责海外大型游戏项目的工程质量评估、代码梳理和技术沉淀；
负责与海外优秀游戏开发商进行技术沟通与协作；
在立项初期、原型开发、正式版本开发等多个阶段，在技术层面协助海外游戏开发顺利推进。",True
19,25923-手游网络加速移动客户端开发（深圳）,中国,深圳,技术,"负责手游SDK网络诊断、网络加速开发实现，保障手游业务网络稳定；
负责腾讯手游加速器APP设计及开发实现，通过APP对游戏网络进行加速，并且诊断和排查网络问题，负责项目中重点、难点的技术攻关。",True
20,25923-PC客户端开发工程师（深圳）,中国,深圳,技术,"负责Windows/Mac平台客户端产品需求开发工作；
负责相关客户端产品的功能维护、性能优化等相关工作。",True
21,21309-教育子公司--创新产品-客户端开发（深圳）,中国,深圳,技术,"负责在线教育部创新产品中心客户端开发和维护；
参与业务产品功能方案讨论及开发；
",True
22,21309-教育子公司--创新产品-Unity客户端开发（深圳）,中国,深圳,技术,"负责在线教育部创新产品中心客户端模块开发和维护；
参与业务产品功能方案讨论及开发。",True
23,28937-UE4客户端开发工程师（UE4 Client-side  Engineer）,中国,深圳,技术,"负责UE4游戏客户端功能的设计、实现和调试；
负责与策划、美术和其他开发人员讨论需求，共同合作提升产品品质；
负责优化游戏客户端性能。
Responsible for designing, implementing and debugging UE4 client-side game systems;
Responsible for discussing requirements with game designers, artists and other developers, and improving product quality via collaboration;
Responsible for optimizing performance of game client.",True
24,14703-TBS 客户端开发工程师（Windows）,中国,深圳,技术,"负责TBS Windows端SDK相关的开发工作，持续给Windows端相关应用提供内置浏览能力及相关功能需求研发；持续优化整体架构和性能，不断提升TBSWindows版本的性能和质量。
",True
25,15581-欢乐斗地主客户端开发工程师（深圳）,中国,深圳,技术,"负责游戏客户端开发，实现各种功能并进行相关的测试和优化；
与策划、美术密切配合，进行各种必要的尝试和探索，以使功能达到设计要求并体验良好；
正确客观评估工作量，与PM共同制定合理工作计划并保证进度的达成。",True
26,25925-iOS客户端开发工程师（深圳）,中国,深圳,技术,"根据要求独立完成基于iOS平台进行应用程序开发设计、调试工作；
根据项目任务计划独立按时完成软件高质量编码和测试工作；
规范文档的编写、维护，以及其他与项目相关工作；
按照开发流程编写相应模块的设计文档；
按时按需完成客户端软件的维护及更新。",True
27,15575-《王者荣耀》-高级手游客户端开发（成都）,中国,成都,技术,"负责跨平台（iOS和Android）移动终端网络游戏产品的研发；
负责手游逻辑功能及战斗模块开发；
基于Unity3D的图形图像效果开发与性能优化；
负责游戏相关工具开发;",True
28,22989-存储移动客户端开发工程师(腾讯云全资子公司),中国,西安,技术,负责腾讯云COS对象存储客户端COSBrowser的研发和维护工作,True
29,WXG03-小程序终端系统客户端开发工程师（广州）,中国,广州,技术,"负责小程序终端系统的系统服务开发；
负责小程序终端系统的系统底层开发。",True
30,30361-PC/Mac客户端开发工程师,中国,上海,技术,"负责PC/Mac客户端软件的系统设计，架构，开发和重构的工作，负责相关技术问题的攻关以及优化工作。
",True
31,21309-在线教育—PC客户端开发工程师,中国,深圳,技术,"- 负责腾讯课堂、企鹅辅导PC客户端的架构设计、开发工作；
- 负责腾讯课堂、企鹅辅导PC客户端的数据分析、监控等工作。

",True
32,15573-3A开放世界RPG手游客户端开发高级工程师（上海）,中国,上海,技术,"负责游戏移动终端系统案架构设计；
负责游戏移动终端关键技术攻关工作；
产品需求的技术可行性评估, 程序框架及技术方案的设计和具体实现；
协助美术/策划建立高效的游戏内容制作流程, 完善并持续优化工具链。",True
33,37087-安卓/IOS客户端开发,中国,深圳,技术,"负责互动阅读产品，轻游戏产品客户端研发工作；
参与设计良好的App架构，参与组件化的设计与开发；
负责版本持续优化，如内存、性能、适配、体验等调优工作。
",True
34,GY0-腾讯会议海外客户端开发工程师,中国,深圳,技术,"- 负责腾讯会议海外跨平台客户端的产品研发； 
- 负责整体项目架构设计与高质量编码实现；
- 负责公司其他海外产品的研发和难点攻坚。
",True
35,19332-企点PC客户端开发工程师(腾讯云全资子公司),中国,西安,技术,"岗位职责：
负责企业IM客户端的开发和技术支持； 
负责企业IM客户端相关开发工作； 
负责企业IM客户端的落地实施和技术支持。

",True
36,25925-手机客户端开发工程师（深圳）,中国,深圳,技术,"根据要求完成游戏社区相关产品的iOS/Android平台应用程序开发设计、调试工作；
根据项目任务计划独立按时完成软件高质量编码和测试工作；
规范文档的编写、维护，以及其他与项目相关工作；
按照开发流程编写相应模块的设计文档；
按时按需完成游戏社区相关客户端软件的维护及更新。",True
37,15575-《王者荣耀》高级客户端开发工程师（成都）,中国,成都,技术,"负责跨平台（iOS和Android）移动终端网络游戏产品的研发；
负责手游逻辑功能及核心模块开发；
基于Unity3D的图形图像效果开发与性能优化；
负责游戏相关工具开发。",True
38,CSIG07-PC客户端开发工程师（深圳）,中国,深圳,技术,"负责电脑管家开发维护工作；
负责各个主要功能模块架构设计和开发；
跟进和解决发布后的程序稳定问题与性能优化。",True
39,15571-Unity客户端开发工程师（深圳）,中国,深圳,技术,"负责Unity手机游戏客户端的设计和开发；
与后台开发以及策划设计人员进行良好的沟通；
高效的与后台开发合作设计编码和调试。",True
40,22989-客户端开发高级工程师（深圳）,中国,深圳,技术,"腾讯会议音频和视觉相关算法工程优化；
腾讯会议整体工程性能优化；
相关前沿技术探索。",True
41,25664-iOS客户端开发工程师(腾讯云全资子公司)（重庆）,中国,重庆,技术,"负责协同办公产品的功能特性开发；
参与和负责客户端在性能优化、稳定性方面的建设；
负责高质量的方案设计和编码，不断迭代重构；
负责项目重点、难点的技术攻坚以及移动端新技术预研等。
（注：此岗位为腾讯集团旗下全资子公司编制岗位）
",True
42,25664-Android客户端开发工程师(腾讯云全资子公司)（重庆）,中国,重庆,技术,"负责协同办公产品的功能特性开发；
参与和负责客户端在性能优化、稳定性方面的建设；
负责高质量的方案设计和编码，不断迭代重构；
负责项目重点、难点的技术攻坚以及移动端新技术预研等。
（注：此岗位为腾讯集团旗下全资子公司编制岗位）
",True
43,21309-在线教育-高级Unity客户端开发（深圳）,中国,深圳,技术,"负责在线教育部创新产品中心客户端开发和维护；
实现新功能，持续优化性能、表现和兼容性，提高研发效率，优化工作流程，插件工具开发等；
与产品策划、美术设计、后台密切配合，进行各种必要的尝试和探索，以应用交互体验为核心共同目标；
客观评估工作量，与PM共同制定合理工作计划并保证进度达成。",True
44,15571-Unreal客户端开发工程师（深圳）,中国,深圳,技术,"负责UE游戏客户端的设计和开发；
与后台开发以及策划设计人员进行良好的沟通，负责游戏逻辑的编码和调试。",True
45,32032-互娱沙盒类手游客户端开发（深圳）,中国,深圳,技术,负责沙盒类手游客户端开发；负责沙盒类手游游戏玩法与逻辑功能开发；基于Unity3D引擎的性能优化和渲染开发。,True
46,17229-游戏客户端开发工程师（深圳）,中国,深圳,技术,"负责UE4游戏客户端的设计和开发工作；
与相关同事进行良好的沟通，进行FPS游戏开发；
优化工具及工作流程，提高开发效率。",True
47,WXG07-微盘微文档iOS客户端开发工程师,中国,广州,技术,"1.负责微盘微文档iOS端功能特性开发；
2.负责项目重点、难点的技术攻坚以及新技术预研等；
3.探索多端的跨平台开发。",True
48,WXG07-微盘微文档Android客户端开发工程师,中国,广州,技术,"1.负责微盘微文档Android端功能特性开发；
2.负责项目重点、难点的技术攻坚以及新技术预研等；
3.探索多端的跨平台开发。",True
49,TEG14-客户端开发工程师,中国,深圳,技术,"负责腾讯云支付windows桌面产品的需求开发、功能维护、性能优化等相关的开发工作；
负责腾讯云支付android平台产品的需求开发、功能维护、性能优化等相关的开发工作；",True
