job_title,job_country,job_city,job_category,job_responsibility,job_available
0,25926-游戏安全机器学习工程师（深圳）,中国,深圳,技术,"负责腾讯游戏信用评分产品的效果跟进与算法模型优化。
负责腾讯游戏用户安全行为数据统计、分析、挖掘工作，输出安全账户画像",True
1,TEG09-机器学习平台专家工程师 ,中国,深圳,技术," 负责机器学习平台的设计与开发，包括：
性能优化，持续提升训练性能，包括多机多卡大规模训练优化，数据交换优化，自动化模型设计和参数调优等；
易用性优化，持续提升平台易用性，降低机器学习应用门槛；
积极追踪业内AI动态，优化内部技术方案，改进产品性能，不断推进AI架构升级；
关键技术攻坚项目的带头人，疑难问题的终结者；
",True
2,WXG08-122 微信推荐机器学习算法工程师（北京）,中国,北京,技术,"负责阅读推荐质量算法优化；
负责各类排序模型、特征工程相关工作；
负责机器学习算法调研和平台建设。",True
3,TEG11-机器学习算法工程师（深圳）,中国,深圳,技术,"负责机器学习（尤其是深度学习领域）的算法与相关模型开发与优化;
把机器学习模型算法用于应用场景，解决AI应用中的问题。",True
4,TEG03-机器学习平台算法工程师（深圳/北京）（深圳）,中国,深圳,技术,"负责机器学习平台的设计与开发，包括：
性能优化，持续提升训练性能，包括多机多卡大规模训练优化，数据交换优化和参数调优等；
易用性优化，持续提升平台易用性，降低机器学习应用门槛； 
积极追踪业内AI动态，优化内部技术方案，改进产品性能，不断推进AI架构升级。",True
5,WXG08-122 微信搜索机器学习算法工程师（北京）,中国,北京,技术,"负责微信搜索特征工程的建设和优化；
负责微信搜索中排序算法的研发和优化，包括LTR、点击模型、异构数据排序等；
负责微信搜索个性化排序和社交行为在搜索中的应用。",True
6,25926-机器学习算法高级工程师,中国,深圳,技术,"负责手游游戏安全业务相关数据统计、分析、挖掘工作；
通过用户行为数据建模、分析用户特征等，为业务决策提供参考。",True
7,25926-游戏安全机器学习工程师（深圳）,中国,深圳,技术,"负责工作室方案后台数据挖掘，分析相关工作；
负责游戏安全策略对抗工作；
负责腾讯游戏产品反外挂工作。",True
8,25924-机器学习高级研究员（深圳）,中国,深圳,技术,"了解并能熟练应用当前主流机器学习算法，可以跟进相关领域的前沿研究方向；
针对游戏数据挖掘和推荐应用，选择合适的算法并进行相应的开发和工具化；
负责机器学习相关课程的设计和培训。",True
9,25924-机器学习高级研究员（深圳）,中国,深圳,技术,"了解并能熟练应用当前主流强化学习算法，结合游戏运营机制设计仿真环境与强化学习算法
针对游戏数据挖掘和推荐应用，选择合适的算法并进行相应的开发和工具化；
",True
10,18796-机器学习算法leader(深圳),中国,深圳,技术,"带领团队负责海外游戏数据驱动的精细化运营算法和推荐系统研发工作；
深入了解并能熟练应用当前主流机器学习算法，可以跟进相关领域的前沿研究方向；
针对游戏数据挖掘和推荐应用，选择合适的算法并进行相应的开发和工具化；


",True
11,TEG03-机器学习高级研究员（深圳）,中国,深圳,技术,"用机器学习算法挖掘腾讯最全的海量数据, 构建和优化腾讯用户画像体系；
用数据挖掘结果支撑和服务社交广告、智慧零售、游戏、金融等核心业务；
参与和优化数据清洗、特征设计与选取、算法设计及检验评价、线上实验方法设计等数据挖掘和应用的全过程。",True
12,TEG17-机器学习研究员 ,中国,深圳,技术,"岗位职责：
1、 负责机器学习（尤其是深度学习领域）的理论研究和算法、模型开发，包括但不限于：图学习、生成学习、迁移学习、强化学习和各种优化方法尝试； 
2、 负责机器学习方向前沿问题的探索与研究，结合未来实际应用场景，提供全面的技术解决方案。包括但不限于：AI+医疗，AI+药物，AI+安全，AI+农业，AI+能源等。",True
13,18796-机器学习算法研究员(深圳),中国,深圳,技术,"负责海外游戏数据驱动的精细化运营算法和推荐系统研发工作；
了解并能熟练应用当前主流机器学习算法，可以跟进相关领域的前沿研究方向；
针对游戏数据挖掘和推荐应用，选择合适的算法并进行相应的开发和工具化；

",True
14,22989-机器学习算法工程师,中国,上海,技术,"1、基于大规模数据，对数据进行分析和建模。
2、对机器学习算法进行研究和研发",True
15,PCG19-腾讯视频机器学习算法高级工程师（北京）,中国,北京,技术,"负责腾讯矩阵产品基础机器学习平台建设以及在搜索、推荐等相关预估模型中的应用落地；
基于用户历史行为和兴趣，建立适合推荐引擎的模型与特征；
搭建在线机器学习系统，预估用户点击率并进行精准推荐。",True
16,CSIG16-地图检索机器学习算法高级研发工程师（北京）,中国,北京,技术,"负责腾讯地图搜索策略算法的研发工作，持续迭代提升转化效果和用户体验
地图场景下用户查询理解，机器学习排序，实时排序模型，深度学习模型
参与搜索引擎各个底层模块的架构设计、开发工作",True
