job_title,job_country,job_city,job_category,job_responsibility,job_available
0,S2-金融审计经理（反洗钱及法律合规方向）,中国,深圳,财务,"负责对公司金融业务（包括支付、信贷、资管及创新金融业务等）开展反洗钱及合规相关的审计工作，梳理重要业务流程，识别关键风险点，对于发现问题与业务管理层沟通，并推动问题改进实施；对于创新金融业务，及时识别重要风险，并提供内审支持；为业务提供增值服务，包括组织相关培训分享等。



",True
1,21645-互动娱乐法律顾问（深圳）,中国,深圳,法律与公共策略,"负责版权相关业务、动漫、游戏类产品的相关法律文书及文档的草拟、制定及审核；
负责版权相关业务、动漫、游戏类产品的流程制度建设；
跟进版权相关业务、动漫、游戏类产品的日常合规咨询，结合需求和目的，建设和完善相关业务法律风险控制的流程及制度，提出可行性操作建议；
跟踪行业监管政策，识别合规风险，开展合规检查和培训，督导业务合规运营。",True
2,FWZ-法律创新中心技术岗（深圳）,中国,深圳,法律与公共策略,"基于智慧法律业务愿景和创新商业模式，进行技术框架的构建，部署以及管理工作，负责平台需求梳理，关键模块框架设计，技术选型工作；
根据平台的技术需求，筛选相关战略合作伙伴并推进相关技术深度合作，推进平台研发工作实施和落地；
带领相关核心技术人员进行技术难点攻关。",True
3,21645-企业发展高级法律顾问,中国,北京,法律与公共策略,"1、负责对接业务合同文书草拟、审核及制定。
2、建设和完善业务法律风险控制的流程及制度。
3、处理业务涉及升级投诉及法律函件，防范法律风险。
4、按业务需求及目的，进行法律风险评估和管理，提出可行性建议。
5、跟踪和研究互联网行业政策法律动态，促进业务合规运营。",True
4,AQ-法律合作研究经理（深圳）,中国,深圳,法律与公共策略,"1.根据研究中心研究方向，整合多方资源与研究力量，提升研究中心综合价值；
2.基于行业动态和政策法规，组织撰写深度分析报告；
3.协助搭建研究合作平台，落实执行课题研究、会议研讨等项目工作。
",True
5,27259-法律研究员（北京）,中国,北京,法律与公共策略,"1、及时跟踪、了解、研究国内外互联网行业及法律政策动态；
2、及时掌握并解读互联网相关法律政策，分析对行业、具体业务的影响；
3、结合业务和行业，制定互联网行业及法律政策研究计划，对内对外输出研究成果；
4、组织学术会议和学术活动，有效对接监管部门和学术团体。",True
6,21645-互动娱乐法律顾问（深圳）,中国,深圳,法律与公共策略,"为游戏、版权商业化拓展等业务提供法务支持，包括起草及审阅相关法律文件，推动相关法律风控机制的建立和实施，以及为业务提供日常法务咨询；
与业务团队合作，为游戏版权管理相关制度和流程的构建及落地提供法务支持；
跟踪行业监管政策，识别合规风险，开展合规宣导，督导业务合规运营。",True
7,33326-高级法律顾问（数据隐私保护）,中国,北京,法律与公共策略,"1、负责处理金融、游戏、即时通讯产品及业务的数据隐私法律合规问题。
2、参与数据中台建设，通过合规流程和手段保护数据及个人信息。
3、参与跨境项目与产品设计，根据相关法律法规要求设计交易结构。
4、参与相关立法，及时提示新型法律风险并设计应对方案。
5、汇总整理法律、法规要求，结合业务实际情况，制定相应公司制度避免合规风险爆发。
",True
8,21645-高级法律顾问（建设工程）（深圳）,中国,深圳,法律与公共策略,"负责建设工程项目日常法律合规咨询及相应法律支持，包括从建设工程项目前期评估、土地出让、建设施工到竣工结算阶段提供法律咨询、建议和方案；并建设和完善基建部门风险控制的流程及制度； 
负责起草、审核建设工程类合同，规划建设工程项目合同体系；参与建设工程项目商务谈判，为项目合作提出建设性意见和控制合作法律风险，建立和完善建设工程相应的风控、合规流程和管理体系；
具有较丰富的处理（审理）建设工程类纠纷或争议案件的工作经验，能独立拟定案件处理策略并跟进处理相关纠纷和争议、诉讼等具体法律程序；
负责互联网产品的法律风险管控，包括日常合规咨询、产品风险评估、投诉处理、风控流程制建设、法律课程开发及培训等；
跟踪建设工程及互联网的行业动态，政府监管政策，识别合规风险，开展合规检查和培训，督导业务合规运营。",True
9,21645-平台与内容法律顾问（北京）,中国,北京,法律与公共策略,"负责平台与内容事业群合同及法律文书草拟、审核及制定，以及合同履行风险评估及防范； 
负责业务部门重点项目日常法律合规咨询及相应法律支持，建设和完善业务部门风险控制的流程及制度。
",True
