job_title,job_country,job_city,job_category,job_responsibility,job_available
0,27092-联运游戏运营经理（深圳）,中国,深圳,产品,"根据游戏运营节奏和运营数据，设计针对性的运营活动，并跟进活动效果，对活动形式进行持续优化，保证资源得到合理利用，持续提升游戏 LTV；
负责评估和调优游戏内商业化系统，挖掘付费用户诉求，拓展游戏内商业化挖掘点，管理商业化内容，策划商业化活动，确保收入目标达成；
负责与策划共同评估游戏内运营系统，并提出优化方案，推动开发商完成优化。",True
1,33676-移动游戏运营组长（深圳）,中国,深圳,产品,"负责宝可梦项目的发行和运营；
手Q、微信、应用宝和外发等渠道的活动设计、用户转化和活动效果优化；
整体项目管理包括用户测试、运营、宣发、社区等提案沟通，和外部合作伙伴对接，维护长期关系；
推动用户调研和持续的游戏版本优化；根据数据表现和版本节奏，制定日常活动运营和商业化方案；
制定社区和KOL内容策略，推动UGC内容产出，建立符合游戏调性的内外部社区生态；
团队管理。


",True
2,15665-和平精英-高级游戏运营（深圳）,中国,深圳,产品,"根据游戏特色、用户特点、版本规划结合运营目标，制定游戏不同阶段的运营主题包装推广策略，并跟进落地上线；
包括但不限于游戏包装与推广、本地化&产品优化、游戏及用户研究、版本发布相关流程和各环节工作等; 
与相关团队密切合作，推动有效协作支持，保障产品的稳定运营，并有效评估相应的运营效果。",True
3,15665-和平精英-商务合作游戏运营（深圳）,中国,深圳,产品,"根据项目需求，与品牌及合作方建立合作关系，拓展IP合作渠道，负责日常的交流及商务谈判；
根据项目目标，通过合作不断提高产品调性、品牌影响力与流行度；
对内负责与各合作部门沟通，输出合作思路方案、推广计划、落地方案；对外负责与合作方沟通，协调并跟进合作的顺利落地；
维护已有的合作关系，进行关系维护。",True
4,33851-海外游戏运营开发,中国,深圳,技术,"1. 负责海外游戏运营系统前端开发工作
2. 负责数据信息管理平台开发工作",True
5,37088-游戏运营经理（深圳）,中国,深圳,产品,"负责对接外部合作伙伴，进行新产品的孵化、运营统筹工作；
根据游戏特色、用户特点、运营目标，制定游戏不同阶段的运营推广策略；
带领团队进行本地化、商业化及活动方案的跟进落实执行,并建立稳定合作关系；
包括但不限于游戏包装与推广、本地化&商业化&产品优化、用户&社区运营、游戏数据分析、内外部合作支持、游戏及用户研究等; 
基于对接的研发商的产品，提前规划对应的筹备、测试、预热、留存、回流等运营方案，并根据相应的调研、数据表现推动产品的优化、运营方案调整，保障产品的测试数据、上线表现和稳定运营，有效评估相应的运营效果; 
与相关团队密切合作，推动有效协作支持，保障运营各项事项的顺利开展； 
通过数据分析和市场研究，挖掘业务的持续增长点。
",True
6,27563-女性向游戏运营策划 (深圳）,中国,深圳,产品,"负责女性向游戏数据系统的搭建、规划、扩展和维护；
对女性向游戏的整体数据进行挖掘和分析，输出相应的结论和报告；
对女性向游戏的运营目标及KPI进行预估和监控管理，及时提出项目运营过程中的问题；
针对游戏版本、系统玩法、活动、商业化等内容，进行专项数据分析，输出报告；
通过业务理解和数据挖掘建模，提出精细化的运营方案。
",True
7,37090-高级游戏运营（本地化及商业化）,中国,北京,产品,"负责与开发商沟通对齐产品核心玩法设计及游戏版本内容把控，跟进版本进度和内容验收，定位问题并找到解决方案；
负责评估和调整游戏内商业化结构，道具定价，付费模式等方面内容，针对项目运营节奏及运营数据，制定商业化方案；
针对产品运营数据进行分析及挖掘，输出结论及报告并输出应对建议；
负责版本及商业化执行落地，做好整体把控及目标达成。",True
8,37092-游戏运营推广(深圳),中国,深圳,产品,"负责根据产品发展阶段，梳理并制定不同阶段营销推广策略；
结合用户需求及产品核心能力，负责整合内外资源，进行市场运营活动规划和执行，并协调推动相关合作团队完成相应的推广工作，达成推广目标；
负责制定内外部合作策略，对接合作方策划合作活动方案，并能利用平台资源优化提升活动效果；
负责将运营推广进行数据化分析，并不断改进，产出与产品深度融合的推广策划。",True
9,21090-游戏运营（深圳）,中国,深圳,产品,"根据项目运营节奏和运营数据，设计针对性的运营活动，并跟进活动效果，对活动形式进行持续优化，保证资源得到合理利用，达成运营指标；
负责评估和调优游戏内商业化系统，挖掘付费用户诉求，拓展游戏内商业化挖掘点，管理商业化内容（如 道具），策划商业化活动，确保收入目标达成；
负责与策划共同评估游戏内运营系统，并提出优化方案，推动开发商完成优化。",True
