job_title,job_country,job_city,job_category,job_responsibility,job_available
0,PCG03-体育产品营销经理,中国,北京,营销与公关,"1、打造腾讯体育产品内容生态、从营销布局到内容协同
2、支持腾讯体育重点产品拉新拉活及行业侧营销推广相关工作
3、负责腾讯体育自制IP活动营销推广与业务沟通、制定营销策略、扩大传播声量等
",True
1,27087-市场营销,中国,深圳,营销与公关,"1. 负责腾讯微视下游戏品类的市场营销，包括游戏相关活动策划、游戏内容和直播推广策划、游戏短视频功能推广策划，并保证项目顺利执行落地
2. 对内负责沟通和明确整体需求和目标
3. 对外负责拓展游戏推广渠道和引入游戏市场资源",True
2,23295-互娱营销增长产品经理（深圳）,中国,深圳,产品,"关注市场和业务的有效增长策略，进行可行性分析，并组织落地；
判断各种商业模式在营销场景的应用可能性，并组织实施；
发掘数据与技术在营销的新应用场景，并组织实施；
负责扫描和盘点与营销相关的前沿技术和应用。",True
3,23295-互娱营销增长类后台/数据开发工程师（深圳）,中国,深圳,技术,"负责腾讯游戏内部广告投放系统后台架构设计，开发和实现的工作；
负责腾讯游戏内容中台KOL评估系统的架构设计，开发和实现的工作；
负责腾讯游戏营销体系DMP数据管理平台的架构设计，开发和实现的工作；
负责腾讯游戏营销体数据驱动增长类产品和工具的架构设计，开发和实现的工作。",True
4,30631-腾讯广告高级整合营销策略经理（北京）,中国,北京,销售、服务与支持,"负责制定腾讯广告产品或资源售卖策略及计划，定期对市场行业环境、目标、业务活动进行收集核查分析，并根据市场实际情况及时调整和有效控制；
负责建立广告品牌营销系统，拓宽品牌营销网络。 
负责配合内部各个业务单元进行营销策略的实施
及时掌握每季流行趋势和国内市场需求，为平台产品开新提供参考资料。
",True
5,29925-腾讯视频会员整合营销项目经理,中国,北京,营销与公关,"负责腾讯视频会员的市场营销项目，拉动会员转化和留存；
积极推动与整合内外部资源，能充分把握项目的核心目标，打造具有影响力的市场项目；
跨部门协作沟通，把控项目进度，快速推动项目落地，最大化项目效果；
通过用户的数据及行为分享，探索并搭建创新型会员营销模式。",True
6,26699-智慧零售高级内容营销市场经理,中国,深圳,,"1.	数字平台管理：官号服务号、小程序策略制定及运营；
2.	数字内容管理：主动策划并推广智慧零售品牌形象的栏目。同时结合产品、商务、运营团队的案例和市场活动等内容，统筹数字内容的创意、输出与呈现（包括图文、电子海报、视频、信息图、H5等等）；
3.	渠道管理：综合应用公司内宣、广告投放、外部自媒体、社群等进行toB受众传播 
4.	效果效果衡量和优化：持续衡量平台运营和内容效果，持续优化策略和方案
",True
7,29912-短视频平台营销运营（北京）,中国,北京,产品,"1、负责微视营平台营销能力建设，通过平台运营能力通路满足业务运营部门需求、提升微视多样化营销能力，高效连接市场、公关及创意策略及推动落地；
2、建设营销能力，梳理运营数据漏斗等运策略落地；
3、通过数据分析、用户调研，制定并优化可执行方案；了解行业内竞品动向及用户营销策略 。",True
8,29912-短视频平台营销运营（深圳）,中国,深圳,产品,"1、负责微视营平台营销能力建设，通过平台运营能力通路满足业务运营部门需求、提升微视多样化营销能力，高效连接市场、公关及创意策略及推动落地；
2、建设营销能力，梳理运营数据漏斗等运策略落地；
3、通过数据分析、用户调研，制定并优化可执行方案；了解行业内竞品动向及用户营销策略 。",True
9,35074-CSIG整合营销品牌经理（深圳）,中国,深圳,营销与公关,整合各行业和产品的营销需求，梳理有竞争力的营销组合，通过大型营销项目、实现品牌影响力和业务增长目标的营销组合策略，提升大型营销项目影响力，助力销售效果和创新实践。,True
10,29300-腾讯影业数据营销经理,中国,北京,战略与投资,"负责腾讯影业数据化营销项目的规划与执行，包括但不限于票房预测、用户分析、舆情分析、营销策略支持等；
负责腾讯影业市场趋势，竞争状况分析；
负责新型数据营销方法的研究及业务应用的探索；",True
11,25924-游戏营销平台开发高级工程师（上海）,中国,上海,技术,负责腾讯游戏增值营销平台的开发，包括：数据营销应用系统的开发、游戏营销通用服务的开发 以及 游戏营销基础平台及组件等的开发。,True
12,30934-海外增长营销负责人 Head of Overseas Growth Marketing,中国,深圳,营销与公关,"We are looking for a Senior Leader to lead Growth Marketing for Tencent Game’s portfolio of games and brands in the overseas markets. This role will contribute to the acceleration of our business growth with a focus on user acquisition, user activation and solution expansion. The ideal candidate has a strong track record in growth marketing, marketing automation, innovation marketing technology, analytics, paid media and content optimization across all channels. Candidates should possess expertise and passion for creating a big impact and build innovative new systems and processes from the group up.;
Key Responsibilities;
• Oversee all marketing analytics and optimization strategies.;
• Lead our acquisition efforts and strategic roadmap for social, display, search and affiliate marketing.;
• Partner with publishing teams to drive growth and ensure campaigns are in alignment with brand positioning and strategic
goals.;
• Continuously work to improve ROI through A/B testing, channel analysis, daily monitoring/reporting, etc.;
• Create and manage attribution model and efficiency of digital marketing spend.;
• Proactively stay abreast of industry trends and search for new opportunities to grow channels and refine strategies and tactics.;",True
13,30934-海外增长营销经理 Senior Manager of Overseas Growth Marketing ,中国,深圳,营销与公关,"We are looking for a marketing expert who will contribute the overseas growth marketing team with a focus on user acquisition, user activation and solution expansion. Candidates should possess expertise and passion for developing and executing challenging acquisition campaigns with a focus on Display, Social, Search, and Affiliate Marketing.;
Key Responsibilities;
• Utilize marketing and product metrics to prioritize investments and help product teams better understand impacts on their products and solution.;
• Execute, evaluate and iterate upon creative and data-driven growth strategies to drive new traffic and engagement throughout the product.;
• Analyze and extract meaningful marketing insights from various channels and analytics platforms to drive growth. Continuously improve strategic recommendations based on data driven insights.;
• Partner with publishing teams to drive growth and ensure campaigns are in alignment with brand positioning and strategic goals.;
• Collaborate with and provide expertise to in-house creative and production teams to produce optimized assets for growth channels.;
• Create dashboards and reporting mechanisms to track progress on key initiatives and vigilantly monitor and report on campaign performance—communicating learnings, best practices, and results to internal stakeholders/executives.;
• Continuously work to improve growth mechanism through A/B testing, channel analysis, daily monitoring/reporting, etc.;
• Proactively stay abreast of industry trends and search for new opportunities to grow channels and refine strategies and tactics.;",True
