job_title,job_country,job_city,job_category,job_responsibility,job_available
0,SH-行政运营管理,中国,上海,行政支持,"负责统筹管理楼宇运营、物业管理，对外联络工作的全面管理和监督；
负责对内与部门需求做沟通，能有效开展各类内部服务活动以及处理各类投诉；
根据行政工作发展进程的需要，建立有时效性的行政运营管理体系；
制定和优化职责内的制度和工作流程，追踪执行结果，不断改进和完善工作质量；
负责持续改善行政服务平台、办公秩序及办公环境；
负责工作内合作供应商的日常管理和考核定期评估工作；
负责制定各类行政应急预案，和突发事件的应急处理。
",True
1,35566-行政运营经理（腾讯云全资子公司）（西安）,中国,西安,行政支持,"负责办公场地的建设和装修跟进、办公资源协调分配和环境管理；
负责行政类服务供应商监督、履约考核工作组织与实施；
统筹管理公司各项行政福利类成本、物资采购等；
公司及员工各种行政需求及零星整改工程受理及评估；
公司福利项目和员工活动、氛围建设的策划和组织；
协助制定并实施管理规章制度及各项流程，并进行流程优化
上级交待的其他工作；
",True
2,35566-行政运营经理（腾讯云全资子公司）（重庆）,中国,重庆,行政支持,"负责办公场地的建设和装修跟进、办公资源协调分配和环境管理；
负责行政类服务供应商监督、履约考核工作组织与实施；
统筹管理公司各项行政福利类成本、物资采购等；
公司及员工各种行政需求及零星整改工程受理及评估；
公司福利项目和员工活动、氛围建设的策划和组织；
协助制定并实施管理规章制度及各项流程，并进行流程优化
上级交待的其他工作；
",True
3,XZ-行政拓展经理（深圳）,中国,深圳,行政支持,"负责统筹、规划、实施公司及产品各类资质（例如营业执照、增值电信业务经营许可证等）的申请、年审、变更等相关工作，确保公司各类资质的有效性和持续性；
学习并理解国家相关部门行业标准及地方标准，在公司资质管理工作中贯彻实施；
负责资质工作相关各部门的沟通与协调工作；
关注行业动态，积极办理新资质的申请。",True
4,18427-行政专员（腾讯中金合资技术公司）,中国,深圳,行政支持,"1、 行政管理：负责公司资质管理、文件档案资料的建立和归档整理工作，及时更新维护；负责协助公司大型/重要公务、商务接待和会务支持工作；负责会议室预定、基础设施管理；负责各类行政费用报销、登记，按月汇总，制作报表；制定和管理公司行政管理规章制度和流程体系，维护更新相应文档并落地执行；
2、 办公用品管理：负责公司办公用品、劳保用品等申购、管理和发放工作；
3、 活动组织：公司各类活动组织，如公司年会、部门活动、消防演习、员工生日会、员工体检等；
4、 后勤管理：协助办公场所规划和维护；
5、 其他工作：名片制作、客户接待等，及完成领导安排的其他工作。
",True
5,21532-腾讯音乐综合行政专员（深圳）,中国,深圳,行政支持,"全面配合行政中心处理跟进各项对内对外沟通、维护等重要工作；
负责协调公司行政后勤工作，保障公司正常运转；
负责大物业联动及社区关系维护；
细致严谨配合管理各供应商的引入、对接、评估等项目执行；
负责行政团队全年预算及成本核算、内控流程的把关及梳理；
负责行政制度的拟定和流程梳理；
参与重要客户的接待与外联工作。",True
6,31417-政府合作经理,中国,北京,法律与公共策略,"跟踪并解读游戏相关政策、法律法规，帮助业务团队理解执行政策，为腾讯游戏提供决策支持；
负责游戏产品政策风险识别、预警，制定管理危机处理预案，协调处理危机事件；
建立并保持与政府、行业协会、智库的公共关系，参与相关游戏产品政府事务。",True
7,PCG20-部门秘书（深圳）,中国,深圳,行政支持,"支持上级工作，负责上级日程管理及差旅行程安排，协助上级做好部门管理及团队融合，参与上级及核心团队的支持工作；
担任部门内各项行政人事工作接口人，负责统筹管理部门相关事务等；
协助制定并实施部门的管理规章制度及各项流程，并进行流程优化；
负责组织各类文化、福利、关怀活动，落实部门组织氛围建设。",True
8,18924-CSIG云与智慧产业事业群-部门秘书（广州）,中国,广州,行政支持,"对一位或多位经理的日程管理、差旅出行、商务活动、团队管理给予专业的辅助支持；
协助制定并实施部门的管理规章制度及各项流程，并进行流程优化；
运用沟通、组织、协调能力，及时进行员工答疑和员工指引；
担任一个或多个部门行政人事工作接口人，统筹管理行政类成本、办公资源、外部供应商、氛围文化沟通类项目等；
协调、维护部门外各团队的合作关系，正确处理员工投诉，维护团队形象；
根据规划，与行政、HR配合，推动执行不定期的福利活动或团建、沟通、文化建设。",True
9,18924-CSIG云与智慧产业事业群-部门秘书（成都）,中国,成都,行政支持,"支持上级工作，负责上级日程管理及重要会议组织、差旅行程安排，协助上级做好部门业务成本管理、团队管理及融合、核心团队建设，做上下内外关系的枢纽；
协助制定并实施部门的管理规章制度及各项流程，并进行流程优化；
担任部门内各项行政人事工作接口人，负责统筹管理行政类成本、办公资源、外部供应商、氛围文化类项目等；
协调维护部门外各团队的合作关系，正确处理员工投诉，维护团队形象；
与行政、HR、财务配合，规划、推动、执行部门内的行政福利、团队激励、团队文化、氛围建设、预算管理，以及与其他部门秘书配合，做好BG及业务线内大项目。",True
