job_title,job_country,job_city,job_category,job_responsibility,job_available
0,29923-相机产品视觉设计师,中国,上海,设计,"1. 支持手机QQ与相机产品研发业务，负责拍摄/图像/视频玩法相关的多媒体内容创意与prototype创作；
2. 负责将有价值的创意推动落地，包括方案陈述、设计输出与技术对接，跟进用户数据与反馈； 
3. 探索多媒体社交及相机产品的功能创新与体验优化，不断为用户提供更新更好的愉悦与体验。

Responsibilities 
- Design animated contents for consumer facing camera products / applications (QQ). 
- Work with product manager and engineers to create a good and pleasing user experience. 
- Deliver innovative prototypes and present ideas to improve the product. 
",True
1,CSIG07-资深视觉设计师,中国,深圳,设计,"1、负责腾讯安全行业SOC可视化解决方案的设计策划、管理、协调和部分商务沟通工作；
2、参与项目的前期设计、创意构思、场景和维度划分，中期视觉方向上创新研究、项目推进，后期执行落地和运维保证。",True
2,23292-互娱英雄联盟视觉设计师,中国,深圳,设计,"1.负责“英雄联盟”游戏产品的游戏设计设定及内容素材的视觉定位；
2.负责与对外执行团队的沟通与培养，执行过程中的品质及进度把控；
3.负责视频、平面、H5互动等营销素材前期创意过程中的提案草图；
4.负责衍生品设计及线下搭建活动的美术指导；",True
3,15712-高级视觉设计师（深圳）,中国,深圳,设计,"负责为游戏产品UI提供高品质的创意、风格设计；
负责制定游戏UI的设计规范与设计执行；
负责对外包制作监修与反馈，把控风格，提高制作效率与品质。",True
4,26699-智慧零售产品中心高级视觉设计师,中国,深圳,设计,"1.负责腾讯智慧零售各个产品线视觉创意设计和UI设计，包含数据类可视化产品、SaaS服务产品、移动端小程序及APP相关产品。
2.负责腾讯智慧零售产品的品牌设计和规划，提升其品牌调性，并参与各业务品牌整合推广，广告创意等。如平面广告设计，H5等。
3.具有和第三方公司合作和推进的经验，在与广告公司合作中能给出创意执行的指导。
4.思维活跃，执行力强，对产品设计流程和体验设计有深刻的认识。
",True
5,22989-高级视觉设计师,中国,深圳,设计,"参与腾讯云用户研究及交互的方案讨论；
以用户体验为基础，通过视觉设计给以产品赋予情感化、同时满足易用性的产品体验；
参与腾讯云的产品和行业相关产品视觉设计工作，并持续优化设计上的细节；
为项目提供概念设计方案，完成客户提案，并推动方案的落地实施；
跟进工程师的页面视觉还原效果。
输出规范，保证生态合作伙伴和供应商输出质量。",True
6,16810-腾讯动漫视觉设计师,中国,深圳,设计,"负责平台移动端用户运营设计，并结合数据反馈效果进行持续优化提升；
参与创意设计的前期设计创意构思，主导整体视觉风格落地执行并跟进产品最终视觉呈现效果；
有设计经验沉淀和分享、能够推动提高团队的设计能力。",True
7,31967-海外直播平台视觉设计师,中国,深圳,设计,"负责海外直播平台的视觉和品牌设计，帮助团队成员了解海外用户及设计趋势；
高效输出沟通你的设计方案以获得团队的认可，并推动落地执行,保证设计的高度还原；
可以用AE等软件实现动画Demo和动效设计；
制定设计规范和视觉组件库，保证多平台的设计统一性(Android\iOS\Web\Windows等)；
",True
8,24012-高级视觉设计师（深圳）,中国,深圳,设计,"针对互动影游类项目，根据产品风格，负责前期设计分析、视觉风格设定，并建立统一的UI框架规范；
参与制作并把控资源输出时间与品质，包括CP管理；
在开发过程中，与团队充分配合沟通，根据需求灵活提供视觉解决方案；
跟进开发结果，确保设计还原度；",True
9,31677-腾讯地图运营高级视觉设计师,中国,北京,设计,"负责腾讯地图的营销设计，包含但不限于高质量完成大促、日常活动、品牌合作、营销H5传播等方面的视觉体验设计和互动玩法创新。
关注设计趋势和技术实现，进行营销体系规范的梳理及制定，有效提升营销活动及对外传播的品质及效果。
主导运营团队设计方向，推动体验品质的提升，提高团队的综合设计能力。
",True
10,31677-腾讯智慧出行高级视觉设计师,中国,北京,设计,"* 定义出行服务的设计语言，与产品，技术团队一起合作实现出行服务的产品愿景
* 负责腾讯出行服务手机端的界面视觉设计，高保真原型制作、效果还原及迭代，动态展示设计意图的能力
* 对产品的用户体验创新和前瞻性研究进行思考和体验设计，独立输出有逻辑推导力和视觉表现力的设计并推动落地 
* 提炼设计规范与准则，并向项目团队分享与使用，建立设计影响力 
* 积极主动，对新事物富有好奇心并能持续学习，拥有良好的团队协作能力，抗压能力强",True
11,31677-腾讯车联高级视觉设计师（北京）,中国,北京,设计,"-您将负责腾讯车联网以及腾讯自动驾驶的界面体验视觉设计、高保真原型制作、效果还原及迭代，且视觉表现力优异；
-探索创新型产品的体验设计，参与产品的前期体验设计规划和构思过程，独立输出有逻辑推导力和视觉表现力的设计研究、趋势分析和概念风格原型设计；
-提炼设计规范与准则，并向项目团队推广与使用，建立设计影响力。

",True
12,31677-腾讯地图高级视觉设计师,中国,北京,设计,"1，设计或相关专业本科以上学历，3年以上的移动端地图应用设计经验，对地图设计有深入理解，图面（底图）设计经验者优先
2，对设计有热情，自我学习驱动能能力强，对不同设计风格、设计工具有探索欲望
3，卓越的审美素质和对设计品质的追求，不断创新突和破自我
4，能从用户的场景出发，思考具有独创性的设计方案
5，优秀的逻辑能力和设计驱动能力，有出色的提案能力，递设计价值和设计主张
",True
13,31677-腾讯教育平台高级视觉设计师（深圳）,中国,深圳,设计,"负责教育产品线的视觉设计工作，能够高品质、高效率的完成视觉类工作，并且带领团队提升整体视觉品质；
参与教学场景的需求挖掘，明确用户的行为细分，跟进产品需求制定的整个过程，并提出设计目标以及用户体验目标，对产品的最终体验负责；
基于用户需求和产品理念，建立长效的体验机制并输出相应的体验设计方案；
提炼设计方法与设计准则，并在设计团队内推行，对教育类产品进行深入的思考并沉淀个人见解。
",True
14,31677-腾讯教育平台高级视觉设计师,中国,深圳,设计,"* 负责教育产品线的视觉设计工作，能够高品质、高效率的完成视觉类工作，并且带领团队提升整体视觉品质；
* 参与教学场景的需求挖掘，明确用户的行为细分，跟进产品需求制定的整个过程，并提出设计目标以及用户体验目标，对产品的最终体验负责；
* 基于用户需求和产品理念，建立长效的体验机制并输出相应的体验设计方案;
* 提炼设计方法与设计准则，并在设计团队内推行，对教育类产品进行深入的思考并沉淀个人见解。",True
15,WXG07-广研UI视觉设计师,中国,广州,设计,"1.参与企业应用的孵化与设计，包括产品设计，用户分析，品牌设计，设计标准制定和输出高效规范等。
2.参与QQ邮箱的产品定位、视觉风格，品牌、运营设计工作等。
3.优化邮箱可用性，改善用户体验。
",True
16,15575-《王者荣耀》-高级UI视觉设计师（成都）,中国,成都,设计,"负责游戏内UI界面的整体视觉设计包装；
对UI设计概念的深挖和验证；
游戏内相关ICON和LOGO的设计产出；
UI资源的输出和管理；
UI界面进版本的还原跑查及调整；
UI界面动效的概念产出；",True
17,22989-视觉设计师（腾讯云全资子公司）（西安）,中国,西安,设计,"负责腾讯云控制台基础体验打磨及其他行业云产品的视觉设计，参与产品前期视觉风格探索、视觉用户研究、设计流行趋势分析，协助制定视觉风格；
参与产品的体验设计，挖掘典型用户场景、分析产品需求，优化产品的信息展示与流程等设计，对产品的可用性测试和评估提出改进方案，对产品的可用性、易用性负责；
能够独立承担并高效率、高品质的完成视觉设计相关工作，与开发协作，提升产品视觉表现、交互动效的实现还原质量；
参与制定相关的产品视觉设计规范，沉淀产品视觉设计的方法论，共同提升团队的专业水准。
注：此岗位为腾讯集团旗下全资子公司编制岗位
",True
