job_title,job_responsibility
28481-腾讯医疗高级后台开发工程师(北京/深圳),"负责腾讯健康、腾讯医典、电子医保凭证、电子健康卡等腾讯医疗在线服务的业务开发工作；
负责业务的整体架构、基础设施的规划与开发工作，设计与构建腾讯医疗的业务中台。"
WXG07-微信广研-微文档微盘后台开发工程师（广州）,为国内企业提供优质的网盘，在线文档服务；打造效率协同工具的同时负责相关领域的技术难点攻关，产品性能深度优化等
30361-WEB前端开发工程师（上海）,"参与移动端H5、运营系统、小程序的开发和维护，优化用户体验；
探索和优化前端的开发模式和流程规范，提高团队的效率；
持续优化前端体验和页面响应速度，研究新技术，沉淀相应的基础、业务组件，完善前端架构。"
30361-移动端相机3D引擎开发,"负责移动端3D引擎的开发； 
负责前沿3D渲染效果的前瞻性研究和落地实现；"
30361-Android开发工程师,"负责移动端AI算法工程化，并完成相关优化工作；
负责移动端视频图像类终端应用的架构设计；
负责移动端视频图像类终端应用版本现有功能的维护及新功能模块的开发；
负责定位并解决现有模块存在的问题；
负责承担版本的系统设计、性能及内存调优工作。"
CSIG16-路况服务策略产品经理,"负责地图路况策略的制定和优化，能独立晚安成相关的需求分析、规划和落地，对路况业务负责；
 定期进行竞品对比，分析竞品背后的思路和逻辑；
产品规划和设计：基于对业务的理解，系统性规划产品周期，并完成产品设计；
路况新功能和策略的设计与效果评测 "
30361-PC/Mac客户端开发工程师,"负责PC/Mac客户端软件的系统设计，架构，开发和重构的工作，负责相关技术问题的攻关以及优化工作。
"
30361-移动端AI软件工程师,"1. 负责深度学习框架在移动端实现和优化； 
2. 负责算法的工程化落地，根据产品需求进行算法设计和优化；"
30361-天天P图相机效果类产品策划岗（上海）,"负责相机产品的竞品分析、用户研究、制定具体产品方案；能根据不同的业务场景抽象出具体需要的能力，并跟进落地；
把控相机基础美效果，能科学评测出效果好坏，并给出优化方向；
利用AI技术、深度学习探索相机新能力和效果，主导将新技术转化为产品功能；
负责滤镜效果打磨，并将之落地到具体的产品场景中；"
30361-数据增长产品经理,"【岗位职责】
1、负责社交类影像类等产品的用户增长功能设计，基于产品特性、用户生命周期等维度制定不同的增长策略；
2、进行详细的数据跟踪与数据分析，发现新的产品增长点或改进点，提出切实可行的产品方案，探索有效的用户增长模式；
3、负责日常业务数据跟进，抽象增长业务的数据逻辑，支持各业务决策；"
